DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke,POP,City,LAT,LONG
13.8,29.2,6.9,33.6,50.8,20.9,6.3,11.3,2.9,"4,535",AL,34.63659183,-86.55271656
20.6,47.8,2.7,25.6,28.3,26.6,7.5,11.9,5.1,672,AL,34.69900293,-86.71081457
26,30.1,9.7,26.2,58.4,26.9,6.4,13.5,6.3,"2,164",AL,30.65513006,-88.07774509
8.4,41.8,8.9,33.4,56.8,22.9,4.7,11.4,2.3,"2,982",AL,34.72992685,-86.58597093
14.8,33.3,5.1,33.3,37.5,19.4,7.2,11.6,4.6,"1,167",AL,33.49715956,-86.79174407
16.1,30.47,7.9,21.4,54.4,26.3,13.9,13.1,2.9,682,AL,33.18264915,-87.61981067
18.4,49.3,5.4,36.8,49.9,27.3,6.2,9.8,7.1,"2,524",AL,33.61181177,86.72142215
9.4,45.2,9.9,39.1,45.5,22.9,4.9,11.3,6.6,"4,029",AL,30.70590955,88.09232502
9.3,29,5.7,38.4,53.1,20.3,2.5,14.1,3.4,928,AL,33.62525752,-86.69986104
10,42,4.6,35.3,39.7,20.2,6.4,12,1,"3,439",AL,30.67984343,-88.09330518
21.8,30.47,4.3,36,36.2,23.9,11.9,10.8,4.6,"3,334",AL,33.18876593,-87.54239145
18.7,43.2,11.1,37.2,44.9,17.9,5.3,11.9,4.4,931,AL,33.50940185,-86.8859082
10.81,47.1,9.8,35.7,41.2,25.1,8.9,9.7,1.7,371,AL,33.57016467,86.66643058
7.6,43.2,5.6,37.8,43,15.2,8.4,9.7,7.3,"2,200",AL,33.41742141,86.6452579
7.5,30.5,7.2,37.8,32.9,11.3,9.5,8.9,4.2,"4,554",AL,32.34098409,-86.27246383
10.7,46.2,9,34.2,50.9,32.6,4.7,12.9,3.1,"4,348",AL,32.42693676,-86.28262631
9.5,29.9,7.2,37.9,24.9,20.5,11.8,11.8,1.4,"3,571",AL,34.7319277,-86.54104816
8.3,42.9,5.2,39.6,40.4,25.5,6.9,9.6,4.7,"2,785",AL,33.1612192,-87.51613652
16.6,46.8,7.5,13.1,41,18,5.5,13.9,3.7,219,AL,30.60092058,-88.17768076
8.5,33.6,10,35.8,26.8,21.1,6.3,13.1,6.2,"4,893",AL,32.39721293,-86.28465131
9.3,29.3,7.4,41.4,30.1,17.97,9.2,12.3,3.2,"3,144",AL,30.62708316,-88.13782976
18.8,30.6,5.3,31.67,42.7,27.4,3.4,10.9,3.21,"2,134",AL,33.27016934,-87.51785264
21.2,39.4,5.7,35.4,55.9,18.1,6.3,10.2,3.21,"3,656",AL,32.38174568,-86.28182427
9.4,29.9,6.5,40.4,34.6,27.6,7.6,8.9,8.6,"2,780",AL,33.5065714,-86.91959101
13.7,27.4,3.6,38,52.2,26.8,12.1,13.5,3.1,"8,725",AL,34.75763158,-86.66923008
22.7,27.3,5,39.5,32,18.4,8.6,10.3,6.1,"1,066",AL,33.5571951,-86.8777935
18.5,48,3.4,31.9,48.8,18.3,7,10.2,5.1,"2,881",AL,33.47499418,-86.83354217
13.5,45.5,11.5,39.3,40.9,17.97,12.2,13.8,4.4,"1,815",AL,30.7055497,-88.0663775
10.8,32.1,6,30.4,34.1,19.9,8.2,9.74,6.9,"4,878",AL,33.43842176,-86.63820025
20.2,24.2,9.2,37.4,27.7,10.8,6.3,14.6,3.6,"1,185",AL,32.31768026,-86.30554599
11.6,30.2,9.9,38.7,42.9,26.5,6.2,9.8,3.21,"2,254",AL,30.58797455,-88.09021692
16.2,35.3,1.7,33.3,45.9,17.1,11.1,8.9,6.8,623,AL,32.40676931,-86.24670208
15.3,54.3,2.4,39.5,43,25.9,7.5,10,5.3,74,AL,33.47388616,86.81464878
13.8,30.9,7.7,40.4,41.6,8.8,6.6,9.3,4,896,AL,32.29358924,-86.35321491
8.6,27.7,3.8,31.67,31.7,27,6.3,13.9,4.4,644,AL,33.43959752,-86.67359594
7,26.5,3.9,34.5,45.1,19.9,8.5,9,3.3,"1,265",AL,34.73982021,-86.7028565
8.8,31.5,6,34.3,60.5,30,12.5,11.6,5.2,"3,557",AL,30.66092596,-88.14155015
8.8,39.8,8.8,37,38.3,8.5,6,11.7,7.4,"3,650",AL,34.78232821,-86.607736
9.9,41.3,10,38.9,39.8,13.3,6.5,10.5,6,"4,076",AL,33.18501798,-87.59422095
8.3,36.3,8.5,32.6,36.6,14.8,6.3,9.2,5.5,"3,769",AL,32.37431053,-86.27368234
11.9,25.5,9,30.1,55.2,30.4,5.5,11.3,5.6,"3,885",AL,33.55415741,-86.71672299
10.81,39.9,4.2,34.9,65.9,28.1,6.8,12.3,5,"5,159",AL,33.34942081,-86.84442787
10.4,26.4,6.7,38.2,26.7,12.4,12.2,11.1,2.7,"5,724",AL,32.30725387,-86.26465783
23.4,30.47,4.9,36,29.6,21.2,13.3,9.9,7.3,"5,858",AL,33.17634956,-87.53901939
15.2,28,8.7,29.8,56,16.3,4.9,9.5,5.8,"5,172",AL,34.70551739,-86.61823839
17.6,26.9,8,34.9,37.7,14.9,13.1,12.3,2.8,"4,199",AL,33.48594521,86.86969219
21,38.9,4.5,38.1,35.7,16.8,14.4,12.4,1.8,"3,659",AL,33.37360789,86.79337503
20.5,28.2,10.3,39.2,20.6,19.3,12.3,10.9,3.21,"1,369",AL,32.36846008,-86.33918514
8.2,31.4,8.8,39.3,41.6,17.1,8.9,12.1,2.6,58,AL,33.2137806,-87.44423234
12.5,30.7,7.9,38.3,44.1,10.9,7.7,11,3.21,"2,188",AL,30.64961028,-88.09227024
10.4,43.3,5.6,26.3,29.3,12,5.9,12.8,3.7,44,AL,33.58592342,-86.83570072
10.81,37.5,8.1,38.6,40.1,28.1,5.9,12.6,7.2,534,AL,33.19453946,87.46527684
12.9,30.9,5.6,42.1,39.5,24.4,16,10,7.6,18,AL,30.74941103,-88.07057647
11.2,42.6,5.6,20.6,46.1,12.9,8.6,12.5,3.7,3,AL,30.83094223,-88.0463571
19.7,42.3,6.4,32.8,36.7,14.8,6.3,11.5,1.5,"3,067",AL,33.21330012,-87.50771403
8.9,41.3,7.7,41.3,52.2,16.4,8.6,10,2.4,"5,956",AL,32.38908443,-86.23053103
21.9,47,8.2,26.3,20,16.7,6.2,13.2,3.1,"4,367",AL,33.52009812,-86.72720632
6.4,30.47,4.2,43.1,52.1,19.8,8.1,8.3,2.8,"3,035",AL,33.35860193,-86.79211659
24.9,27.1,7.9,34.6,45,30.2,14.5,12.2,2.7,"3,994",AL,30.73233375,-88.17337926
12.5,47.5,4.2,37.3,37.8,30.8,3.7,11.4,2.8,514,AL,33.52290939,-86.71026186
7.3,47.8,9,38.5,30.1,23.2,7.7,12.2,5.4,"2,181",AL,33.52614973,-86.83514661
11.4,45.9,2.9,38.9,39.6,21,6.5,13.6,6.4,"4,622",AL,32.31911833,-86.19499555
18.9,30.2,4.4,39.3,29.3,17.97,12.9,11.5,4.8,"11,386",AL,34.6739365,-86.47002427
18,39,6,40.9,34.3,15.6,10.8,13.6,2.5,"8,876",AL,32.35119843,-86.16429574
4.6,43.4,10.4,34.4,33.1,20,9.7,9.74,1.1,"1,416",AL,30.69111435,-88.04802225
6.8,32.5,4,40.1,45.5,27.8,10.4,13.3,2.2,"2,952",AL,33.5333416,-86.74795661
12.8,30.47,5.9,30.2,49.5,22.2,12.1,10.5,3.21,"2,127",AL,30.73492904,-88.20133037
7.9,48.7,10.5,36.4,47.2,17.97,8.2,10.2,3.8,"1,782",AL,33.43964436,-86.92487687
9,30.9,8.4,35.5,39.7,25.1,6.8,9.6,2.9,"4,039",AL,34.65904905,-86.54783685
22.2,46.4,6.9,39.2,39.2,21.6,8.8,10.9,3.7,209,AL,33.40999055,-86.6692094
14.2,47.5,6.5,30.4,34.6,24.9,6.3,13.5,2.1,"3,385",AL,34.7097766,-86.55139362
13.8,48.3,6.3,32.1,39.5,11.6,10.4,13.6,4.8,"2,466",AL,34.63506927,-86.52820606
9.3,42.1,7.6,39.3,27.3,12.4,6.3,15.3,6.2,"2,243",AL,30.57616134,-88.14533872
22.8,29.1,4.9,37.8,23.5,22.9,3.2,10,3,"3,618",AL,32.35265137,-86.29163559
8.2,29.8,10.2,31.4,44.1,27.7,6.2,9.5,4.5,"3,136",AL,32.33600853,-86.32305246
10.7,50.6,3.6,31.67,57.6,13.4,11.2,10.4,1.8,"5,003",AL,33.50418576,-86.80337983
16,42,6.6,36,43,17.97,8.1,8.8,5.4,"1,319",AL,33.20916996,-87.46638059
7.2,53.7,9.6,35.3,35.3,19.1,6.6,9.74,3.21,"2,864",AL,33.54424046,-86.77491307
9.9,31.5,6.2,39.6,51.9,12.3,3.1,12.1,6.3,"2,339",AL,30.69225105,-88.08970475
8.8,28.5,8,32.3,53,17.97,11.2,10.2,3.8,"4,933",AL,33.59716231,86.67667364
17.7,30.4,8.5,31.67,36.6,17.97,8.3,9.74,7.6,"3,344",AL,32.35106217,-86.35969144
10.81,39.8,3.7,39.7,35.7,23,7,9.7,4.8,"3,146",AL,33.4935824,-86.80092946
12.7,37.6,7.9,40.1,48.5,27.7,7.8,8.5,3.8,"3,343",AL,30.69103782,88.02666768
11.2,32.1,4.8,33.2,54,12.4,8,14.7,2,"4,933",AL,32.34752326,-86.20852027
20.4,42.1,6.5,32.1,26.6,13.5,5.4,14.8,3.2,"2,176",AL,30.67797658,-88.060697
16.5,37.4,5.6,30.8,55.5,23.8,14.8,9.74,2,9,AL,33.60507426,-86.63167294
7.8,30.2,10.1,35.4,38.9,25.8,12.1,9.9,7.2,"2,064",AL,33.51324989,-86.83004749
10.1,53.8,6.8,32.3,49.7,11,8.3,9.7,2.1,172,AL,33.48854935,-86.78084302
10.81,30.47,6.4,37.8,56,17.97,12.7,12.9,2.2,"5,850",AL,33.18083424,-87.49597801
21,48.6,5.6,31.67,31.4,25.6,6.4,9.74,3,27,AL,33.46720652,-86.61934333
7.3,21.2,9.3,28.1,29.3,10.7,7.6,12.9,3.5,"2,101",AL,34.71653761,-86.62989977
11.3,52.4,7.7,39.9,53.5,21.6,13.4,9.7,2.2,"5,409",AL,33.47857078,-86.89000091
20.3,35.7,5.1,38.8,42.1,20.7,13.7,11.8,2.7,"4,612",AL,33.62990175,-86.71943112
18.7,32.3,7,38.3,39.4,13,3,13.6,4.5,142,AL,30.6914801,-88.25264972
7.3,42,11.4,34.3,34.8,29.6,5.4,11.4,7.3,"1,514",AL,33.46604181,6.85672878
18.9,37.8,4.2,31.67,26.2,15.5,4.3,9.5,3,"2,492",AL,32.42075357,86.21879872
23.5,29.1,5,39.4,35.9,30.9,4.4,9.2,4.2,"3,868",AL,34.74159244,-86.63767506
9.3,49.4,6.3,39.5,27.8,25.5,11.2,12,8.2,"3,805",AL,30.68636911,-88.19819486
22.4,44.2,4.7,40.7,42.7,17.97,4.8,12.2,7.2,"3,473",AL,32.32837597,-86.2089537
23.3,28.4,6.3,32.9,52.2,19.2,9.7,9.74,3.21,"2,728",AL,33.4073892,-86.72085017
3.4,30.2,3.1,37.5,54.1,18.9,7.1,13,2,397,AL,33.42265931,-86.85086208
25.1,40,6.8,34.2,47.5,26.1,6.3,8.5,2.7,"3,667",AL,30.66664762,-88.11679505
19.8,36.9,5.5,36.2,38.8,17.4,7.5,14.4,8.2,"1,157",AL,33.64749162,-86.70429744
11.4,30.7,10.6,27.4,29.3,17.97,6.3,11.6,5.5,"2,651",AL,34.75446961,-86.60285649
15.6,29.1,5.8,24.6,34.1,21.9,13,9.9,5.6,"3,163",AL,30.65028138,-88.18408953
10.81,35.4,13.9,8.6,32.6,20.7,10,11.1,5.7,"1,148",AL,32.37155556,86.29158784
12.3,26.2,6.3,26.2,36.2,12.9,4.6,10.1,7.1,"3,828",AL,33.24475766,-87.53146436
9.9,33.7,5.6,33,31.7,20.8,10.5,12.3,3.8,44,AL,33.54840781,-86.63237735
16.7,28.3,8.3,28.8,29.3,21.1,12.3,9.74,4.2,"3,151",AL,32.39413693,-86.25138792
10.1,42.3,7.8,31.3,58.9,27.8,11.9,9.3,2.6,"2,540",AL,30.71566407,-88.19881464
11.2,40.6,10,33.4,23.5,26.4,5.3,9.6,2.3,"1,666",AL,32.40440281,-86.31341682
28.9,47.3,7.6,37.6,36.9,22.1,9.4,14.5,4.3,"3,906",AL,30.64429553,-88.1118639
19.3,24.3,5.6,29.3,40.8,14.5,5.8,10.7,3.21,4,AL,34.75495602,-86.72281977
7.8,34.8,5.6,33.6,36.2,11.9,6.4,9.74,4,35,AL,34.83772681,-86.6324691
10.81,43.8,10,36,55.3,28.5,8.1,13.7,4,"1,233",AL,30.69908407,88.05888576
18,49.4,3.6,35.6,41.4,30.5,8.7,10.3,2,"1,636",AL,33.39237929,-86.88337551
10.4,43,8.9,35.5,35.9,18,6.3,8.9,2.9,"1,608",AL,30.65687851,-88.0688374
16.7,46.8,9.7,37.9,29.3,20.8,6.5,9.7,6.7,947,AL,33.51712611,-86.89138197
15.2,39.2,13,36.5,50.8,17.2,6.3,9.3,9.7,"3,086",AL,34.75076144,-86.58793188
8.3,52.3,3.6,40.9,44.9,19.1,12.4,9.74,6.9,"4,769",AL,30.66981534,-88.13709822
23,28.3,1.8,31.9,33.8,18.7,9.3,13.8,7.2,97,AL,33.4231254,86.69639183
23.2,49.4,12.9,36.3,47.7,14.4,7.8,12.8,6.9,667,AL,30.72007218,-88.10541101
23.3,48.9,6.9,33.8,40.4,19.4,5.8,12.5,2.1,"3,774",AL,32.31866831,86.28943807
7.7,41.8,12.2,31.67,37.2,13,10.5,12.5,5.1,"2,451",AL,30.72124742,-88.09376462
23.7,45.4,8.9,33.8,33.7,33.5,4.9,12,2.4,342,AL,33.41398238,86.68875661
12.2,44.9,7.2,36.6,35.7,10.4,5.6,9.6,2.7,"2,104",AL,32.40511914,-86.22569299
10.4,27.8,10,22.4,35.9,15.7,14.3,9.7,3.6,"3,380",AL,34.73384468,-86.60540155
24.8,47,6.4,36.3,29,14.5,6.9,12.4,1.9,"1,300",AL,30.7052498,-88.18358555
7.5,35.2,4.6,30.6,48.3,22.6,7,12,2.5,730,AL,32.29292053,-86.24617469
19.8,28.1,6.9,35.1,29.3,17.97,3.1,11.9,3.21,"4,510",AL,34.80497616,86.61737868
9.7,30.47,13.2,36.6,29.3,15.8,9.7,13.7,2.9,"3,569",AL,32.36213955,6.329110636
19.3,28,5.6,35.4,30.5,26.3,10.5,8.9,1.8,13,AL,33.4037171,-87.59501583
9.2,38.7,5.5,30.4,55.8,29.2,9.1,9.9,5.6,403,AL,33.46953581,-86.96831739
10.81,35.2,9.9,32,47.6,21.3,4.9,13.2,2.1,"2,850",AL,30.65009859,-88.10009894
8.9,29.7,9.3,31.8,34.8,17.97,12.5,10.7,4.6,"2,634",AL,30.58958235,-88.07115395
9.8,46.3,7.7,25.1,52.7,23.6,6.3,8.7,2.8,937,AL,34.58714954,-86.51417578
13.1,46.5,5.6,36.7,24.1,19,12.9,8.6,2.5,49,AL,34.6454285,-86.43528487
15,34,10.6,27.8,37,16.7,7.6,9,3.8,"1,926",AL,33.19266928,-87.55650845
15.9,37.5,6.1,38.3,37.1,14.9,15.9,9.9,11.7,"3,779",AL,33.51251581,-86.85771649
28.1,29.4,7.1,33.4,25.2,25,13,10.7,1.4,"3,562",AL,30.73214198,-88.13988404
9.6,35,3.2,35.9,35.2,26.7,9.5,9.6,3.8,"4,532",AL,33.38390166,-86.7952292
14.7,31,7.5,33,34.5,7.7,10.3,13.5,3.21,"3,647",AL,30.63090434,-88.07210666
23.7,25.6,7.5,35.3,36.8,18.1,9.6,10,7.5,"3,266",AL,33.39401852,-86.81474037
19.9,29.8,5.6,37.4,39.2,30.1,6.3,10.1,2.7,5,AL,34.7976427,-86.67756808
11.8,28.8,6.7,23.1,29.3,18.7,5.1,11.2,1.8,"5,762",AL,30.62277665,-88.17905682
6.3,42.9,7.8,38.4,39,20.1,6,10.8,6.3,"1,598",AL,34.7538634,-86.63450272
16.9,46.2,10.3,25.7,44.4,10.1,6.6,14.7,4.7,"2,341",AL,33.50074394,-86.82707204
21.8,41.1,5.1,31.67,35.3,14.6,5.4,10.3,9.2,"4,848",AL,34.72300644,-86.67784933
14.1,40,6.9,36.2,46.9,11.7,11.1,11.4,1.8,"4,467",AL,32.37215195,-86.22845883
2.4,30.47,7,33.7,37.1,26,16.1,12.5,2.6,"1,532",AL,30.69908958,-88.19966362
11.9,36.2,10.6,35,59.1,13.1,6.7,13.2,2.6,"1,824",AL,33.56702939,-86.80055672
15.8,47,6.4,37,49.1,9,4.6,13.2,1.7,"3,074",AL,34.6560828,-86.52895427
10.81,31.3,8.6,25.2,38.7,17.7,6.5,8.9,3.5,"2,876",AL,33.52787677,-86.86041617
19.2,43.1,9.7,36.8,46.8,19.6,8.6,12.9,6.8,"3,760",AL,32.30767429,-86.34355454
8.3,28.9,4.8,35.2,23.3,26.9,13,9.1,2.8,"4,599",AL,32.37183842,86.17078916
15.6,26,8.2,37.6,27.5,21.3,11,11.6,6.2,"2,936",AL,33.53831532,-86.72704454
22.2,29.4,4.8,40.2,52,13.3,11.5,10.9,3.21,"3,480",AL,33.50752421,-86.78366758
10.3,46.4,4.9,28.5,45.9,24.2,11.7,9.3,2.7,"3,760",AL,32.361171,-86.28336047
18.2,49.2,5.6,31.67,36.5,20.6,8.4,13.3,5,42,AL,33.58048452,-86.6301111
11.5,38.3,4.8,42.4,40.5,13.7,5.7,10.6,8.7,"1,140",AL,33.43121367,-86.82287824
6.1,34.4,7,34.5,43.9,19.8,8.8,11.1,2.2,"2,354",AL,33.15862892,-87.53661642
10.5,28.2,11.4,38.3,29.3,24.6,4.1,11.6,4.1,"2,682",AL,30.70728678,88.1107455
22.4,33.2,4.5,37,42.1,17.97,10.1,8.9,4.4,168,AL,33.51409785,86.74669714
8.8,44.4,2,32.7,40.8,22.2,7.1,11.3,5.7,788,AL,33.40451614,-86.78765023
