DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
10.4,43.3,5.6,26.3,29.3,12,5.9,12.8,3.7
10.81,37.5,8.1,38.6,40.1,28.1,5.9,12.6,7.2
12.9,30.9,5.6,42.1,39.5,24.4,16,10,7.6
11.2,42.6,5.6,20.6,46.1,12.9,8.6,12.5,3.7
19.7,42.3,6.4,32.8,36.7,14.8,6.3,11.5,1.5
8.9,41.3,7.7,41.3,52.2,16.4,8.6,10,2.4
21.9,47,8.2,26.3,20,16.7,6.2,13.2,3.1
6.4,30.47,4.2,43.1,52.1,19.8,8.1,8.3,2.8
24.9,27.1,7.9,34.6,45,30.2,14.5,12.2,2.7
12.5,47.5,4.2,37.3,37.8,30.8,3.7,11.4,2.8
7.3,47.8,9,38.5,30.1,23.2,7.7,12.2,5.4
11.4,45.9,2.9,38.9,39.6,21,6.5,13.6,6.4
18.9,30.2,4.4,39.3,29.3,17.97,12.9,11.5,4.8
18,39,6,40.9,34.3,15.6,10.8,13.6,2.5
4.6,43.4,10.4,34.4,33.1,20,9.7,9.74,1.1
6.8,32.5,4,40.1,45.5,27.8,10.4,13.3,2.2
12.8,30.47,5.9,30.2,49.5,22.2,12.1,10.5,3.21
7.9,48.7,10.5,36.4,47.2,17.97,8.2,10.2,3.8
9,30.9,8.4,35.5,39.7,25.1,6.8,9.6,2.9
22.2,46.4,6.9,39.2,39.2,21.6,8.8,10.9,3.7
14.2,47.5,6.5,30.4,34.6,24.9,6.3,13.5,2.1
13.8,48.3,6.3,32.1,39.5,11.6,10.4,13.6,4.8
9.3,42.1,7.6,39.3,27.3,12.4,6.3,15.3,6.2
22.8,29.1,4.9,37.8,23.5,22.9,3.2,10,3
8.2,29.8,10.2,31.4,44.1,27.7,6.2,9.5,4.5
10.7,50.6,3.6,31.67,57.6,13.4,11.2,10.4,1.8
16,42,6.6,36,43,17.97,8.1,8.8,5.4
7.2,53.7,9.6,35.3,35.3,19.1,6.6,9.74,3.21
9.9,31.5,6.2,39.6,51.9,12.3,3.1,12.1,6.3
8.8,28.5,8,32.3,53,17.97,11.2,10.2,3.8
17.7,30.4,8.5,31.67,36.6,17.97,8.3,9.74,7.6
10.81,39.8,3.7,39.7,35.7,23,7,9.7,4.8
12.7,37.6,7.9,40.1,48.5,27.7,7.8,8.5,3.8
11.2,32.1,4.8,33.2,54,12.4,8,14.7,2
20.4,42.1,6.5,32.1,26.6,13.5,5.4,14.8,3.2
16.5,37.4,5.6,30.8,55.5,23.8,14.8,9.74,2
7.8,30.2,10.1,35.4,38.9,25.8,12.1,9.9,7.2
10.1,53.8,6.8,32.3,49.7,11,8.3,9.7,2.1
10.81,30.47,6.4,37.8,56,17.97,12.7,12.9,2.2
21,48.6,5.6,31.67,31.4,25.6,6.4,9.74,3
7.3,21.2,9.3,28.1,29.3,10.7,7.6,12.9,3.5
11.3,52.4,7.7,39.9,53.5,21.6,13.4,9.7,2.2
20.3,35.7,5.1,38.8,42.1,20.7,13.7,11.8,2.7
18.7,32.3,7,38.3,39.4,13,3,13.6,4.5
7.3,42,11.4,34.3,34.8,29.6,5.4,11.4,7.3
18.9,37.8,4.2,31.67,26.2,15.5,4.3,9.5,3
23.5,29.1,5,39.4,35.9,30.9,4.4,9.2,4.2
9.3,49.4,6.3,39.5,27.8,25.5,11.2,12,8.2
22.4,44.2,4.7,40.7,42.7,17.97,4.8,12.2,7.2
23.3,28.4,6.3,32.9,52.2,19.2,9.7,9.74,3.21
3.4,30.2,3.1,37.5,54.1,18.9,7.1,13,2
25.1,40,6.8,34.2,47.5,26.1,6.3,8.5,2.7
19.8,36.9,5.5,36.2,38.8,17.4,7.5,14.4,8.2
11.4,30.7,10.6,27.4,29.3,17.97,6.3,11.6,5.5
15.6,29.1,5.8,24.6,34.1,21.9,13,9.9,5.6
10.81,35.4,13.9,8.6,32.6,20.7,10,11.1,5.7
12.3,26.2,6.3,26.2,36.2,12.9,4.6,10.1,7.1
9.9,33.7,5.6,33,31.7,20.8,10.5,12.3,3.8
16.7,28.3,8.3,28.8,29.3,21.1,12.3,9.74,4.2
10.1,42.3,7.8,31.3,58.9,27.8,11.9,9.3,2.6
11.2,40.6,10,33.4,23.5,26.4,5.3,9.6,2.3
28.9,47.3,7.6,37.6,36.9,22.1,9.4,14.5,4.3
19.3,24.3,5.6,29.3,40.8,14.5,5.8,10.7,3.21
7.8,34.8,5.6,33.6,36.2,11.9,6.4,9.74,4
10.81,43.8,10,36,55.3,28.5,8.1,13.7,4
18,49.4,3.6,35.6,41.4,30.5,8.7,10.3,2
10.4,43,8.9,35.5,35.9,18,6.3,8.9,2.9
16.7,46.8,9.7,37.9,29.3,20.8,6.5,9.7,6.7
15.2,39.2,13,36.5,50.8,17.2,6.3,9.3,9.7
8.3,52.3,3.6,40.9,44.9,19.1,12.4,9.74,6.9
23,28.3,1.8,31.9,33.8,18.7,9.3,13.8,7.2
23.2,49.4,12.9,36.3,47.7,14.4,7.8,12.8,6.9
23.3,48.9,6.9,33.8,40.4,19.4,5.8,12.5,2.1
7.7,41.8,12.2,31.67,37.2,13,10.5,12.5,5.1
23.7,45.4,8.9,33.8,33.7,33.5,4.9,12,2.4
12.2,44.9,7.2,36.6,35.7,10.4,5.6,9.6,2.7
10.4,27.8,10,22.4,35.9,15.7,14.3,9.7,3.6
24.8,47,6.4,36.3,29,14.5,6.9,12.4,1.9
7.5,35.2,4.6,30.6,48.3,22.6,7,12,2.5
19.8,28.1,6.9,35.1,29.3,17.97,3.1,11.9,3.21
9.7,30.47,13.2,36.6,29.3,15.8,9.7,13.7,2.9
19.3,28,5.6,35.4,30.5,26.3,10.5,8.9,1.8
9.2,38.7,5.5,30.4,55.8,29.2,9.1,9.9,5.6
10.81,35.2,9.9,32,47.6,21.3,4.9,13.2,2.1
8.9,29.7,9.3,31.8,34.8,17.97,12.5,10.7,4.6
9.8,46.3,7.7,25.1,52.7,23.6,6.3,8.7,2.8
13.1,46.5,5.6,36.7,24.1,19,12.9,8.6,2.5
15,34,10.6,27.8,37,16.7,7.6,9,3.8
15.9,37.5,6.1,38.3,37.1,14.9,15.9,9.9,11.7
28.1,29.4,7.1,33.4,25.2,25,13,10.7,1.4
9.6,35,3.2,35.9,35.2,26.7,9.5,9.6,3.8
14.7,31,7.5,33,34.5,7.7,10.3,13.5,3.21
23.7,25.6,7.5,35.3,36.8,18.1,9.6,10,7.5
19.9,29.8,5.6,37.4,39.2,30.1,6.3,10.1,2.7
11.8,28.8,6.7,23.1,29.3,18.7,5.1,11.2,1.8
6.3,42.9,7.8,38.4,39,20.1,6,10.8,6.3
16.9,46.2,10.3,25.7,44.4,10.1,6.6,14.7,4.7
21.8,41.1,5.1,31.67,35.3,14.6,5.4,10.3,9.2
14.1,40,6.9,36.2,46.9,11.7,11.1,11.4,1.8
2.4,30.47,7,33.7,37.1,26,16.1,12.5,2.6
