DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
7.9,46,3.8,38.1,37.3,11.2,6.6,9.3,3.3
5,44.4,5.3,35.4,36.7,25.5,4.3,8.7,2.9
10.8,24.7,5.4,28.8,21.4,20.5,10.9,9.2,2.4
20.4,30,3.6,36.2,26.8,25.5,4.2,9.6,3.21
7.7,24.6,7.4,28.8,22.2,22.2,3.7,8.7,2.9
16.9,25.9,2.4,36.3,24.4,9.7,6.9,8.5,2
7,31.9,8.8,38.1,31.5,12.6,8.4,11.1,2.4
14.4,34.3,6.3,24.3,29.3,24.9,8.2,10.3,2.2
5.6,40.3,6.8,29.7,27.5,29.1,4.1,9.9,1.6
10.81,25.8,6.3,32.2,33.9,22.8,7.5,10.3,5.9
8,27.9,7.6,35,27.4,23.9,8.3,9.8,3.1
6.3,24.9,5.6,24.3,31.7,22.5,7.6,10.1,3.21
5.4,26.7,10,35.3,32.4,26.3,8.3,7.8,4.4
7.6,35.8,5.7,31.4,29.7,17.97,4,10.3,2.9
10.1,31.2,3.1,28.1,27.5,23,6.6,10,4.1
5,50.1,4.9,38.5,34.7,10.1,3.9,9.5,2
12,24.6,6.3,34.9,51.4,17.6,7.1,10.4,2.9
13.3,38.2,5.7,32.9,31.6,21,4.9,8,2.3
10,43.4,6.5,40.3,42.4,12.1,6.9,9,2
8.8,27.1,6.7,35.4,32.8,31.7,9.7,9.7,3.4
6.1,54.7,2.9,31.6,22.1,16.2,5.6,8.2,2.9
15.3,46.9,8.7,41.6,26,17.97,3.5,9.5,2.3
8.9,37.4,6.5,33.7,33.5,15.2,4.4,8.3,2.7
13.9,25.4,2.6,27.9,35.9,11.6,4.9,10.7,2
9.4,34.4,5.6,34.7,25.9,11.1,9.6,9.4,2.8
5.7,22.7,3.6,35.1,29.1,17.1,6.3,9.3,1.2
16.2,33.9,7.2,31.1,40.8,21.8,5.4,10.6,1.8
8.1,29,4.9,33.9,18.3,19.9,9.1,8.6,2.5
15.8,29.2,6.1,36.6,45.1,28.5,3.5,8.2,3.2
10.2,26.8,8.5,33.5,30.1,17.4,9.7,9.7,2.5
19.7,29.8,6.9,34,38.1,10.5,9.7,10.7,2.1
16.4,40,5.1,34.8,38.3,11.2,10,9.9,2.1
7.7,50,5.6,33.8,29.3,28.9,7.3,8.9,2.1
7.7,43.3,5.8,36.4,30.3,25.3,5.2,11,1.8
18.1,44.3,6.5,30.6,32.1,17.97,5.6,10.3,3.9
9.2,41.8,7.6,28.2,35.4,19.1,6.3,9.4,3.21
8.1,26.5,5.1,35.4,33.8,23.8,7.3,8.3,3.7
6.3,25.8,6.9,34.4,29.7,25.7,5.1,8.9,1.7
13.9,24.4,7.6,36.1,23.9,18.2,7.9,9.74,3.8
8.5,25.4,6.9,11.8,27.5,24.7,5.8,9.4,2.6
8.6,38.9,3.5,31.67,38.4,13.8,8.1,11,1.6
9.5,25.6,7.9,35.2,37.2,12.9,3.8,10.7,3.8
8.6,42.6,7.3,34.2,33.4,14.9,6.2,7.8,2.8
10.2,33.9,4.9,38.7,21.3,32.6,4.2,9.9,2.7
9.6,35.4,6.8,31.9,24.5,30.7,7.5,8.5,2.3
15.1,30.47,7.6,34.5,31.8,12.9,3.5,12.1,4.4
10.7,40.6,5.2,32.5,37.2,28.6,5.6,8.4,1.8
9.9,26,4,33.1,33.4,26.1,12.9,8.5,3
11.2,33.2,4.9,38.2,38.4,11.5,3.9,10.7,5.3
8.3,31.1,7.3,30.9,30,12.2,6.3,9.4,1.9
10.81,30.6,5.4,36.4,22.4,17.97,4.3,9,3.9
9.8,41,7.8,38,35.1,21.7,6.2,8.5,4
8,27.5,4.2,34.6,39.4,16.1,4.2,9.9,2.7
8.9,28.1,3.5,31.7,29.3,16.4,8.1,8.3,3.9
5.3,26.8,3.1,25.5,32.9,13.1,6.1,8.5,2.5
20.8,30.47,4.1,29.6,28.7,18.3,10,8.8,3.5
16.7,34,8.9,35.3,43.6,24.1,5,8.8,2
12.9,49.2,5.1,31.67,32.3,29.2,6.5,10.9,6.6
19.8,43.7,5.5,32.6,47.5,28.1,8.6,8.2,1.6
15.8,26.4,2.9,29.3,19.9,19.6,4.8,10,1.6
8.7,34,4.2,29.8,26.2,13.5,4.8,8.7,2.4
15.8,44.9,4.1,30.5,29.3,11.6,7.5,11.5,1.9
5.8,23.6,4.8,33.5,38.6,22.6,8.7,9,1.2
13.7,27.4,4.8,34.4,24.7,18.1,4.4,8.9,3.2
7.9,47.1,4.2,34.1,22.4,21,5.5,9.2,2.1
6.3,30.7,8,33.8,26,14.9,4.9,8.2,2.8
26.7,29.9,5.7,28.6,29.3,11.9,5.1,11.2,3.5
12.9,26.2,7.3,34.3,35.5,17.1,7.4,12.7,4.1
10.81,34.5,5.7,24.8,29.9,28.1,5.3,7.9,3.1
7.9,44.5,5.4,31.4,35.3,8.3,5,9.7,1.6
9.9,25.5,4.4,33.9,56,10.5,4.1,9.8,2.3
11.2,32.8,2.9,28.8,32.1,10.1,7,8,6.7
8.7,43.8,6.7,31.67,35.9,6.8,3.3,9.1,2
20.1,44.7,8.1,32.4,45.2,30.5,4.1,10.2,2
17.4,25.1,5.6,35.4,32.1,21.1,9.2,7.8,4.9
6.5,32.3,2,33.6,27,30.2,4.3,8.9,5.2
8.6,32,3.4,31.67,51.7,25.9,6.8,10.7,3
6.8,30.47,8.1,37.8,34.6,18.4,8.2,9.3,1.6
13.6,30.1,5.1,31.7,29.3,19.6,3.9,7.7,2.8
6.3,28.4,4.7,35.5,24.1,9.8,5.1,8.4,3.4
4.9,45.4,5.7,31.6,42.5,31.1,4.7,9.74,3.1
6.8,31,5,36.3,26.4,12.1,6.3,10.7,3.1
12.7,28.5,3.7,16.2,23.6,26.1,5.5,10.4,8.8
10.6,44.7,4.6,33.4,33.6,11.3,10.5,9.6,2.6
9.5,29.7,7,34.3,13.4,23.9,8.5,8.4,2
7.4,37.1,7.6,31.1,26.1,30.2,5.5,9.1,3.2
5.3,40.7,8.3,33.5,34,28.3,9.6,8.6,3.5
10,26.3,4.8,34,22.4,18.5,4.5,9.3,3.8
8.4,44.8,5.6,31.3,31.3,18.3,9.6,10.4,1.4
8.3,25.8,6.9,38,23.8,31.8,4.6,12.4,1.5
6,26,4.4,33.4,29.3,12.1,5.8,8.1,2.7
9.5,32.8,6.4,35.7,31.2,11.6,7.2,10.1,4.8
7.3,26.9,7.3,29.5,42.3,10.9,9.9,9.8,3.5
8.6,41.7,6.1,34.5,26.9,23.8,11,8.8,2.8
7,33.6,8.2,27.1,57.5,27.4,5.8,10.5,2.6
10.8,27.3,4.5,34.8,35,23.1,4.8,9.7,2
20.4,42.3,5.5,36.2,35.3,17.97,3.3,8.4,4.1
11.2,43.7,4.1,34.8,40.9,26.8,6.3,11.3,2.3
13.7,34.1,11.4,38.1,24.3,14.4,8.6,9.9,1.6
11.3,39.4,5.2,32.1,37.4,17.6,5.4,10.5,6.3
14.3,24.1,6,31.7,29.4,28.1,5.1,9.6,1.5
7.3,26.2,6.3,21.7,27.9,15.6,8,10,4.9
10.6,50.5,4.3,29.2,27.7,8.7,7.8,9.74,3
25.9,40.9,6.7,33.1,24,22.3,7,8.1,2.6
13.3,25.2,4.9,32.1,22.3,17.5,6.3,8.1,2.4
11.3,34.9,6,42.6,35.2,19.9,4,11,4.2
6.6,31.2,5.8,34.2,33.8,15.9,4.1,11.2,1.8
8.3,47.6,7.3,31.5,36.7,19.2,6.9,8.3,1.2
8.2,28.5,6.2,35.6,47,9.7,3.2,9.3,1.5
15.2,30.3,8.1,28.7,52.3,29.7,4.8,9.3,4.2
9.2,30.4,6.9,31.67,31.2,10.1,5.4,12.8,3
20.5,38.2,5,36.5,32.4,11.6,7.7,8.2,4.1
9.3,31.7,3.4,31.4,29.8,21.5,7.1,8.9,2.9
11,24.5,6.4,29.2,41.9,19.6,10.7,9.8,2.5
15.7,30.4,2.7,38.9,49,21.2,5.1,8.1,4.1
13.4,30.47,6.2,24.1,28.6,10.9,4.7,8.7,7.1
8.9,27.9,9.9,33.9,24.8,19.7,3.4,8.2,5.1
21.2,36,8.1,37,21.9,27.4,8,9.5,2.4
13.1,36.9,8.1,30,37.4,17.9,6.2,10.1,3.9
7.6,31.4,5.5,31.4,30.1,18.1,10.5,10.1,2.7
12.8,33.1,4.5,37.4,25.8,19.3,4.9,8.5,3.6
13.1,28.8,4,34.4,38.2,30.2,5.3,9.6,2
11.7,37.7,6.4,33.5,29.3,15.4,8.3,10.6,7.1
14.5,24.5,4.5,35.6,30.6,18.2,7.8,10.3,3.4
8.9,41.7,9,32.2,40.6,10.8,8.2,10,3.3
6.8,35.7,6.1,33.1,48.8,29.7,7.3,11.7,3.1
22.4,39.8,8.7,35.6,28.3,15.1,5.6,10.2,1.4
8.6,25.5,7.4,26,28.9,23.6,2.5,8.4,3.5
10.9,38,7.8,33.3,28.3,16.7,4.7,11,3.21
6.3,42.2,5.7,32,37.1,16.3,3.9,9.8,4.3
8.1,33.5,3.8,29.2,41.2,18.5,6.3,8.7,2.5
13.4,29.1,2.8,39.6,19.7,10.3,8.7,9.8,2.7
13.1,32.2,5.1,34,39,17.2,6.8,8.3,1.2
7.3,22.5,6.3,28.9,35.3,12.2,7.2,7.9,5.4
6.8,25.1,7.3,31.2,28.9,20.8,5.8,10.4,1.7
11.9,37.5,5.2,35,41.2,27,3.8,9.6,2
12.8,37.9,6.4,29.1,39.3,16.5,4.7,8.5,6.5
13.7,48.8,5.6,30.1,40.3,27.6,8.3,8.4,4
6.8,42,4.6,40.5,30.1,21.7,5.6,9.74,2.2
6.9,24,3.8,29.5,44.4,27.4,8,8.3,2.5
11.3,36.5,4.3,36.1,41.3,17.3,10.3,9.1,3.8
12.9,50.9,4.8,26.9,46.9,32.8,5.7,8.5,2.1
4.4,26.2,6,33.5,25.5,15.1,6.3,9.1,3.3
6.4,29.5,6.2,33.8,39.6,17.1,3.3,10.2,1.9
21,26,7.7,26,22.2,22.2,6.4,9.7,2.3
12.7,26.4,6.4,26.4,45.9,19.7,9.1,9.8,1.7
12.7,26.8,8.8,31.6,24.3,17,7.6,9.8,4.4
5.9,36.6,7.9,35.3,28.8,13,7.5,14.2,6.6
8.8,27.2,5.4,30.5,27.6,11.3,3,11.5,1.7
13.7,35.4,11.5,27.6,27.5,27.1,8.2,9.9,3.5
6.7,33.8,5.6,37.8,31.5,13.2,3.9,9.8,1.1
9,33.5,4.3,31.2,31.3,17.3,6.2,9.6,3.2
2.8,40.6,2.9,33,34.7,10.4,12.8,7.8,1.4
5.6,53.1,7.3,36.6,21.9,15.5,6,9.9,3.6
14.5,30.47,5.6,35.2,24,17.97,6.2,9.9,3
8.4,24.5,5.2,37.9,32.8,17.97,8.9,9,3.3
19.8,28.8,2.2,31.5,41.2,19.1,6.3,10.2,2.6
15.1,27.3,3.9,26.6,32.4,26.4,7.9,10.7,2.4
13.1,29,6,22.8,27.8,18.1,9.7,13.2,2.3
11,41,5.4,35.8,15,33.4,5.2,9.1,1.9
11.5,49.6,6.6,36.8,31,24.7,6.9,7.9,2.1
7.9,30.4,6.4,34.7,18.7,13.5,6.4,9.8,2.5
7.4,39.2,2.7,40.2,35.9,22.1,3.4,8.3,3.9
9.1,31.3,5.7,35.1,25.5,13.7,5.9,8.9,2.8
9.4,37.4,3.5,32.9,25.3,31.9,4.2,8.3,2
12.8,33.1,7.5,36,33.1,21.9,7.6,8.8,5.4
17.4,26.2,4.9,28.7,37.1,14.5,5.1,12.5,3
9.1,29.8,6.1,31.3,20.8,26.1,5,11.2,4.7
9.2,25.8,3.1,35.3,28.3,22.6,8.5,10.1,1.8
7,28.4,7.5,36.5,37.2,11.2,8,8.1,1.6
23.1,37.1,5.8,33.2,30.5,26.4,9.9,10.2,2
11.6,32.2,4.8,35.2,29.3,10.3,6,11.8,5.4
11.9,30.47,3.8,29.6,36.8,28.4,7.6,8.6,2.3
8.3,28.8,5.3,36.4,18.3,27.4,7.4,12.2,3.8
12.8,34.6,6.7,35.9,32.1,19.9,6.3,7.4,3.6
7.6,33.6,7,33.7,31.7,13.6,2.5,12.7,2.2
10.81,34.1,3,34.4,26.2,16.1,4.3,9.74,2.8
12,45.6,5.5,30.3,24.4,23.7,3.6,11,3.5
7.7,27.5,6.2,31.7,33.9,21.2,7.9,9.6,3.7
14.6,39.5,3.9,27.4,25,21.9,7.6,8.5,2.4
14.3,32.4,4.2,35.4,28.5,19.2,9.4,8.9,4.2
17.6,34.6,5.6,36.6,25.5,16.1,4.1,7.9,2
10.4,29.1,5.6,37.8,34.6,11.4,10.1,10.6,3.4
13.8,30.4,8.8,33.3,35.6,18.3,4.7,9.2,3.4
9.2,33.7,8,35.9,54.3,15.9,9.1,11.3,3.2
7.8,43.2,9.9,33,36.9,25.7,6.4,8.2,3.3
12.1,37.3,2.5,31.5,31.7,21.8,3.4,9.3,2.7
9,36.1,4.2,35.1,27.4,25,10.3,11.1,4.1
6.1,32.7,8.3,37.4,29.7,22,5.4,8.4,4
12.2,30.47,4,40.6,41.4,28.1,7.8,8.8,3.4
9,36,7.1,39.5,23.7,10.1,6,9.4,3.6
15.9,30.47,7,33.2,35.1,17.97,9,7.8,1.6
7.2,38.9,5.6,34.1,37.4,17.2,8.6,9.3,3.7
13.3,30.1,5,28.6,41.1,26.3,4.7,8.1,3.5
7.6,30.3,6.1,35.4,39.5,25.9,6.3,9.3,3.6
10.3,31.6,10.3,36.8,26.8,8.6,7.1,8.7,3.1
15.4,29.9,5.1,38.6,35.2,25.9,4.3,8.7,7.2
9.6,36,5.7,35.8,36.5,18.9,3.8,8.7,3.2
7.1,39.2,6.6,36,27.7,24.9,8.1,9.3,2.6
20.8,37.1,6.4,37.5,42.6,18.3,5.5,8.4,2.1
9.6,26.7,6.9,35.1,26,29.2,6.6,8.3,3.1
10.7,29,5.6,31.9,50.8,21,3.9,9.3,3.8
10.81,43.8,3.6,34.2,35.2,21.5,6.3,9.6,2.7
10.2,29.8,7.9,34.3,29,25.1,4.7,7.5,6.1
11.6,38.5,2.3,25.6,31.8,25.7,9.3,9.8,2.7
13.8,37.8,8.5,33.7,24.2,14.8,5.1,8.8,3.3
9.9,48.2,5.3,31.1,35.2,30.6,3.5,8,4.1
12.1,36.9,7.9,35.4,27.8,18,3.3,8.4,3.5
9.8,29.8,4.5,40.2,33.5,13.4,5.9,9.1,3.3
13.4,41.2,6.9,33.2,35.5,14.1,9.3,10,2.6
10.1,43.5,9.2,35.1,37.6,9.3,4.4,10.6,3.5
8.6,28.9,6.9,36.5,28.3,16.6,4.4,9.4,2.3
14.7,28.3,7.1,34.4,36.1,29.5,4.9,13.3,4.3
11.5,30.5,3.8,33.3,28.2,24.3,7.2,9.3,4.2
12.1,42.1,6,37.1,33.2,23.2,12.7,9.6,2
9.6,33.4,3.9,30.1,40.7,19.4,7.5,8.7,3.6
11.9,40.3,9.4,39.7,17.4,10.9,4.8,9.4,3.5
10.1,28.7,5.3,36.5,29.6,13.3,6.3,9.74,3.21
12.7,30.47,6.9,41.9,37.9,18,9.3,10.6,2.8
10.81,39.4,4.7,37.9,32.8,23.2,4.6,11.3,2.2
10.9,29.7,3.7,34.8,31.3,19.9,12.1,8.8,2.2
8.9,30.6,1.4,34.6,35,28.8,4.2,8.6,2.5
13.2,28.4,3.6,36.2,33.3,19.5,9.1,9.5,2.6
11.6,29.2,4.3,34,31.8,26.4,7.4,8.3,4.4
6,35,4.8,27.6,34.3,21.5,6.9,10.2,3.7
8.8,43.3,7,33.6,48.7,20.1,7,8.1,3.7
12.1,32.7,6.6,27.3,38.1,29.1,3.5,9.6,4.1
12.5,32,6.9,35.3,27.1,26.7,3.8,12.4,3.21
15,36.4,6.4,36.3,37,17,5.6,11.3,2.9
9.1,37.8,6.3,34.1,38.8,12.2,6.2,10.1,2.3
12.6,29,7.7,33.9,38.1,28.9,8.8,8.1,3.1
11.6,26,10.4,37,25.7,28.1,6.6,8.8,3
8,37.1,4.1,38.5,51.2,23.3,9.2,9.2,8.3
14.7,29.5,3,36.4,33.7,13,5.3,10.4,1.5
14.1,33.5,9.5,31,35.6,16.2,8.3,10,3.8
11,35.5,9.4,37.5,25.6,10.9,5.1,8.3,2.9
11,39.3,4.6,35.6,24.2,11.5,12.1,9.1,3.1
9.7,27.9,3.7,32.3,39.9,26.5,8.6,9.2,2.3
15.2,30,9.2,33.3,21.9,13.1,5.1,8.8,3
10.3,37.5,3.3,37.3,30.9,16.6,5.6,10.3,3.5
10.6,27.8,7.2,32.3,26.1,32.3,3.6,9.3,3.21
10.81,34.9,3.5,29.9,23.9,16.5,6,8.6,3.2
16.7,38.6,4.7,39.4,23.9,25.7,7.4,8.3,2.3
7.6,39.9,3.2,38.3,33.3,17.1,6.8,8.2,1.8
14.6,30.2,5.6,36.6,33.6,15.3,2.7,9.74,2.8
7.4,35.8,6.4,32.9,33.8,16.8,4.6,9.8,2.8
9.5,38.6,5.5,39.1,30.1,21,8.4,9.7,2.6
6.5,41.2,10.9,25,27.1,11,6,10.6,3.2
10.81,29.6,6.4,26.9,33.6,26,9,8.1,4.6
12.6,31.4,7.4,37.9,36.3,13.1,6.1,9.74,3.21
9.2,26.6,5.3,31.67,36.9,12.2,4.3,9.1,3.3
11.7,37.3,4.7,39.8,29.6,21.2,7.5,9.1,2.5
12.4,30.1,5.6,39.7,29.5,18.2,8.3,8.5,1.4
9.9,51.4,4.7,30.1,36,16.3,3.2,8.8,3.5
10.81,29.8,6,36.3,26.8,21.9,12.5,12,3.8
13.9,36.7,5.8,39.1,27.7,21,4.4,10.3,5
8.3,42.2,7.1,31.67,29.8,29.6,9.9,9.3,2.5
9.4,31.3,4.1,38.9,35.3,21.4,6.8,11.9,4.4
11.7,38.2,3.7,31.67,22.9,14.9,5,9.3,2.6
12.8,40.2,3.8,33.7,34.8,17.8,2.9,12.9,2
16.6,31.9,7.3,31.67,23.1,9.8,8.2,10.4,3.6
6.7,28.5,3.6,34.5,38.2,11.5,7.3,8.2,3.5
8.5,28.2,8.6,36.8,41.4,26.3,5.7,8.6,1.8
12.2,39.5,5,34.8,28.6,22.4,6,9.6,3.6
10.5,34.7,9,36.7,23,14.4,8.8,10.1,2.1
10.4,30.3,4.7,31.4,29.3,19.5,6.3,9.74,1.9
9.9,28.7,7.7,31.9,32.1,24,5.8,11,2.2
12.5,40.7,6.8,33.5,28.1,22.6,4.5,12.7,3.6
7.5,27.1,4.8,31.7,25.7,30.8,6.1,8.1,2.3
7.3,27.6,13,35.9,34.4,15.1,5.4,10.9,4.8
13.2,31,7.5,34.8,35.1,27.1,7.8,9.3,5.2
17.4,27.6,4.5,33.6,39.6,23.2,5.1,8.5,1.8
6.7,49.3,6.5,30,37.5,11.1,5.7,10,2.2
12.7,31.1,3.1,35.7,24.9,23.8,7.4,8.4,2.8
11.5,35.1,5.9,35.3,33.3,16.6,4,9.2,5
8.6,34.1,6.3,36.4,26.6,16.6,5,9.6,3.1
9.1,34.6,3.2,36.3,32.5,17.97,7,9.7,4.5
12.2,34.3,7.1,35.9,24.2,12.6,9.4,9.9,2.3
8.9,33.6,3.5,32.5,38.8,25.5,5.3,8.6,4
8.3,32.9,7.6,28.3,28.5,19.2,7.8,9.1,7
10.8,33.3,4.6,34.6,29.5,24.3,7.3,11,2.6
9.1,31.5,10.6,20,33.4,18.4,5.6,13.1,3.5
11.4,41.4,8.8,28.1,33.6,27.7,8.9,9.3,3.9
13.1,26.2,3.8,34.7,37.4,30,10.7,10.5,2.7
8.3,36.6,4.2,37.4,38.7,15,7.6,10,2
10.9,27.8,9,32.4,38.5,18.4,9.9,9.7,3.8
3.3,28.3,8.5,37.1,56.1,14.9,5,10,5.2
22.6,30.5,7.7,32.5,35.1,15.5,9.7,11.9,2.5
22.3,35.1,6.5,38.9,49.3,37.9,6.3,11,2.2
11.8,48,6.1,37.7,29.7,21.7,7.7,10.6,2.3
8.5,26.8,4.8,32,40.6,16.2,12.2,9.4,3.6
11.6,47.1,10,33.6,21.9,33.3,8.8,10,0.8
11.5,31.9,5.8,34.3,39.6,22.8,11.6,10.1,4.8
14,28.3,10.6,31.8,36.9,12.6,12.8,10,2.8
14,27.4,7.5,36.6,52.8,18.1,8,12.5,2.1
7.4,35,4,28.9,32.5,26.6,4.2,10.1,4.4
9.7,25.1,6.2,37.3,26.1,10.5,10,9.4,4.1
9.7,32.9,4.9,24.1,55.5,32.7,11.6,8.7,4
15.2,26.7,4.9,37.4,41,25.1,5.3,10.6,4.3
5.6,34.4,8.1,37,36.1,25.2,11.4,10.3,2.4
20.7,33,6.8,37.9,55.9,37.3,17,9.1,3.2
7.1,41.9,9.4,33.1,24.7,19.1,6.6,11.5,2
9.3,31.2,5.8,40.7,36.7,22.5,17.2,12,6.7
13.6,31.7,5.9,37.5,35.1,12.9,7.8,9.6,3.21
8.1,49,9.2,31.67,38.9,19.8,5.7,12.1,3.1
21.5,50.3,6.9,35.6,35,27.7,7.8,11.3,2.8
9.9,31.2,6.7,36.9,29.9,24.4,11.2,13.7,7.2
9.7,34.1,2,34.4,28.1,31.5,8.9,14.1,5.2
18.2,27.7,7.8,35.8,38.8,25.4,14.2,9.4,2.6
10.5,25.4,8.6,39.1,33.2,16.8,5.8,9.1,5.6
7.4,26.5,10.9,28.8,31.2,16.4,9.1,11,3.1
10,30.1,8.4,34.8,42.3,16.3,8.6,8.7,3.9
12.9,22,9.6,32.7,33.3,23.1,12.1,9.8,2.2
9.9,31.9,9.8,39.5,41.4,21.2,8,14,7.4
7.6,30.5,7.2,31.3,30.2,18,7.9,11.3,4.6
12.4,35.8,5.7,33.6,55.3,34.3,13.7,10.8,2.4
7.6,30.5,7.9,44.9,39.9,29.9,13.8,9.1,2.9
14.3,52.7,4.7,35.1,28.7,25.3,9.1,9.74,3.21
8.8,28.6,9.3,33.4,34.3,18.3,7.6,16.2,2.1
16.6,27.8,8.8,33.4,21.3,19.2,10.1,8.8,3.3
15.7,43.4,5,33.6,40.9,17.1,12.8,10.6,2.6
8,27.4,7.2,33.8,41.8,11.4,9.8,9.1,3
10.3,25.1,9.1,38.8,30.1,14.7,12.3,13.4,4.9
14.1,30.9,5.9,34.4,23.6,24.4,6.9,12.1,6.1
21.5,47.1,9.9,36,42.1,25.1,7.7,10.5,2.2
11.4,24,13.6,34.9,29.7,18.7,16.6,14.1,4.2
7.3,25.7,7.8,31.2,38.2,16.7,8.7,11.4,4.9
19.7,45.8,6.2,28.7,16.2,15,5.2,9.8,3.4
10.6,36.8,5.6,26.5,35.9,29.9,6.3,11,8
6.7,27.4,4.8,37.8,30.5,27.8,5.2,9.1,2.4
11.3,31.5,7.6,34.6,41.1,25.1,9.2,9.2,2
10.4,30.1,7,32.4,49.4,22.5,8.6,8.9,4.9
5.8,30.4,6.9,35.3,35.6,14.5,9.6,8.8,4.3
14.4,26.6,5.6,31.9,44.7,23.6,6.9,12.2,3.5
17,25.1,5.6,38.3,37.4,32.7,10.5,9.8,4.2
10.6,45.1,8.8,33.3,33.5,25.9,4.3,9.7,2.3
11.8,51.2,9.5,33,29.7,22.5,6.9,9.7,5.7
12.9,35.7,9.8,29.7,29.6,13.9,7.5,10.8,2.2
10.6,32.7,7.3,35.6,35.3,20.2,10.4,13.5,3.7
12.1,28.2,6.9,30.8,54.3,17.8,7.9,9.2,7.2
6.4,43.4,9.6,36.9,36,12.1,8.6,10.2,4.4
11.9,31.2,3.9,34.2,37.9,22.3,6,10.5,3
19.7,29.5,4.5,38.2,29.3,21.4,4.1,9.74,3.1
10.8,36,5.1,31.8,29.5,24.1,7.1,9.4,4
8.1,41.9,11,36.1,38.1,15.3,10.4,10.6,2.6
7.6,42.4,5.5,33.2,40.6,14.8,10.5,9.2,4.7
10,26.1,6.8,30,30.8,23.4,5.4,11,2.5
12.4,33.2,6.1,37.5,25.6,28.8,8.1,10.4,2.2
9.7,26.1,6.6,28.4,52.3,11.9,8.2,8.7,3.7
5.9,35,8.5,29.8,33.5,25.6,12.7,9.9,4.4
9.1,27.9,7.9,37,40.5,20.3,6.3,13.1,3.5
3.8,55.5,7.4,36,27.7,14.2,5.9,9.7,5.8
7.2,41.7,9.3,27.4,30.8,35.2,9.6,11.7,3.1
22.5,35.6,5.5,35.7,35.3,13.4,9.9,10.6,4.9
12.1,28.2,5.8,24,41,13.5,13.3,11.2,4.3
9.4,30.7,5.3,33.6,36.3,13.3,10.1,10.5,2.1
21,28.9,6.4,33.5,48.2,28.1,11,9.6,2.2
14.6,32.5,6,31.5,35.6,19.5,8.1,14.5,3.3
22,46.3,8.3,32,37.9,32.5,6.9,11.7,4.2
14.5,46.6,6,35.2,25.6,20.9,12.5,10.4,5.8
16.1,30.4,6.8,32.9,44.2,20.4,8.6,11,1.6
7.8,25.4,4.8,25.8,32.4,14.3,6.1,10.6,3.3
11.8,33.2,6.3,39.5,41.2,22.7,7.9,8.4,6.8
18.9,33.3,5.4,31.2,31.8,17.97,6.7,9.1,7.4
10.81,36.5,7.3,39.5,37.4,19.3,10,10.8,3.3
9.9,24.1,7.7,39.1,39.6,29.5,13.7,9.2,3.1
23.7,33.8,6.9,29.8,36.3,25.4,6.1,13.2,3
9.4,45,9,34.6,28.1,32.2,12.1,12.2,2.7
7.4,41.2,9.5,31.2,42.9,17.8,8.3,8.3,4.5
6.9,45.2,7.2,36.5,41.7,26,6.3,11,4.1
13.6,30.8,4.7,37.1,41.8,29.7,13.1,13.1,3.5
9.1,31.9,10.1,31.7,52,22.7,5.4,10.7,3.5
8.3,27.1,4,30.3,36.8,17.97,11.1,14,1.1
7.7,27.9,4.5,35.9,53.8,13.4,7.7,11.1,2.9
7.5,44.2,6.6,29.8,54.9,26.9,15.5,10,3.5
8.8,34.8,6,15.5,56.6,12.7,11.8,9.9,2.7
7.7,34.1,4.6,37.5,39,23.2,5.9,11.2,2.1
23.4,33.5,4.5,35.1,14.9,20.9,8.8,9.3,2.8
13,28.3,5.8,30.1,50.1,16.5,7.7,10.4,3.1
9.3,39.6,11.3,33,38.7,18,9.4,9.4,7.4
12.7,30.47,7,35.2,48,17,12.8,10.4,2.1
10.8,26.8,5.4,37.1,29.9,13.7,9,9.9,2.4
16.9,31,6.7,32.3,34.8,24.4,6.7,14,3
10.3,29.2,8.4,33.9,42.5,15.3,8,11.1,2.8
11.7,42.6,6,37.4,23,28.3,16.8,9.7,4.1
17.4,30.4,9.1,38.6,36.8,28.6,13.3,9.6,3.5
11.9,32.1,4.3,35.1,41.2,12.4,10.9,8.9,3.8
9.3,28.4,5.8,38.3,35.8,25.1,6.5,9,1.4
10.1,37.1,9.8,32.4,40.3,33.1,4.8,10.2,3.4
13.7,29.8,11.8,37.3,43.2,21.1,5.3,11.1,2.9
11.1,23.5,5.1,30,42,19,5.5,12.5,3.5
10.6,31.7,7.5,30.8,55,20.5,9.7,9.5,2.3
11.4,33.3,6.5,37.4,31,15.7,5.9,11.5,3.4
9.3,28.6,6.3,38.9,33.2,17.4,11.7,9.2,8.9
11.9,31.2,9.1,34.4,37.7,13.3,11,10.7,3
8.3,27.8,6.3,30.4,49.5,13.9,6.5,10.3,6.2
8.9,34.6,8.6,31.67,31.3,28.8,14.5,8.6,2.1
20.8,27.1,5.9,34.7,35.4,14.9,6.8,9.3,3.5
8.6,30.8,10.3,36.6,37.5,23.7,6.9,9.1,1.4
15.8,50.4,6.7,37.1,42.6,28.4,9.1,13.3,3.8
8.2,25.6,9.4,34.4,46.3,21.9,10.5,14.3,3.7
14.2,38.8,4.4,32.6,32,20.5,6.9,10.7,2
7.7,26.9,7.2,37.2,38.8,38.4,6.2,10.8,4.1
7.7,28.2,5.5,31.1,37.5,25,16,9.9,2.2
18,25.6,9,35.1,33.1,21.5,10.1,9.9,7.1
8.1,36.2,7.2,36.5,46.9,28.1,8.6,10.8,2.7
