Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,4,6.4,-0.375,28.4,32.4,-0.12345679,32.1,34.1,-0.0587,49.9,30.1,0.657807309,24,10.8,1.222222222,2.1
2017Centract,7.3,6.4,0.140625,38.7,32.4,0.194444444,35.7,34.1,0.0469,33.1,30.1,0.099667774,15.4,10.8,0.425925926,2.2
2017Centract,8.4,6.4,0.3125,46.5,32.4,0.435185185,33.6,34.1,-0.0147,18.2,30.1,-0.395348837,9.3,10.8,-0.138888889,2.3
2017Centract,6.7,6.4,0.046875,31.3,32.4,-0.033950617,25.6,34.1,-0.2493,30.9,30.1,0.026578073,18.6,10.8,0.722222222,7.9
2017Centract,3.9,6.4,-0.390625,33.7,32.4,0.040123457,27.7,34.1,-0.1877,20.7,30.1,-0.312292359,18.8,10.8,0.740740741,1.8
2017Centract,6.1,6.4,-0.046875,52.2,32.4,0.611111111,26.2,34.1,-0.2317,32.7,30.1,0.086378738,25.3,10.8,1.342592593,2.5
2017Centract,7.5,6.4,0.171875,47.6,32.4,0.469135802,33.4,34.1,-0.0205,32.6,30.1,0.083056478,10.2,10.8,-0.055555556,2.4
2017Centract,6,6.4,-0.0625,34,32.4,0.049382716,29,34.1,-0.1496,31.3,30.1,0.03986711,10.8,10.8,0,1.9
2017Centract,6.7,6.4,0.046875,28.2,32.4,-0.12962963,35.9,34.1,0.0528,34.3,30.1,0.139534884,14.1,10.8,0.305555556,2.6
2017Centract,5.7,6.4,-0.109375,29.7,32.4,-0.083333333,28.9,34.1,-0.1525,28.3,30.1,-0.059800664,10.4,10.8,-0.037037037,0.4
2017Centract,6.6,6.4,0.03125,54.2,32.4,0.672839506,33.3,34.1,-0.0235,30.8,30.1,0.023255814,18.9,10.8,0.75,2.1
2017Centract,8.7,6.4,0.359375,37.8,32.4,0.166666667,21.4,34.1,-0.3724,54.2,30.1,0.800664452,11.9,10.8,0.101851852,3.5
