HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
3.3,6.4,-0.484375,27,32.4,-0.166666667,20.9,34.1,-0.387096774,32.9,30.1,0.093023256,8.4,10.8,-0.222222222,3.7
3.4,6.4,-0.46875,28.7,32.4,-0.114197531,28.3,34.1,-0.170087977,19.9,30.1,-0.338870432,13.5,10.8,0.25,1.6
5.2,6.4,-0.1875,28.5,32.4,-0.12037037,28.9,34.1,-0.152492669,35.9,30.1,0.19269103,11.5,10.8,0.064814815,1.5
4.2,6.4,-0.34375,27.5,32.4,-0.151234568,28.6,34.1,-0.161290323,25.2,30.1,-0.162790698,16.9,10.8,0.564814815,2.8
3.9,6.4,-0.390625,28,32.4,-0.135802469,30.7,34.1,-0.099706745,20.5,30.1,-0.318936877,6,10.8,-0.444444444,2.4
0.9,6.4,-0.859375,28.7,32.4,-0.114197531,32.9,34.1,-0.035190616,20.1,30.1,-0.332225914,12.7,10.8,0.175925926,2
4.2,6.4,-0.34375,33.8,32.4,0.043209877,33.3,34.1,-0.023460411,37.9,30.1,0.259136213,10.7,10.8,-0.009259259,1.8
1,6.4,-0.84375,27.6,32.4,-0.148148148,37.1,34.1,0.08797654,14.7,30.1,-0.511627907,12.6,10.8,0.166666667,2.3
5.1,6.4,-0.203125,27.4,32.4,-0.154320988,34.1,34.1,0,12.7,30.1,-0.57807309,15.6,10.8,0.444444444,3.1
3.6,6.4,-0.4375,28.9,32.4,-0.108024691,38.4,34.1,0.126099707,14.7,30.1,-0.511627907,11.9,10.8,0.101851852,5.5
4.2,6.4,-0.34375,25.9,32.4,-0.200617284,37.1,34.1,0.08797654,25.9,30.1,-0.139534884,12.2,10.8,0.12962963,1.8
3.1,6.4,-0.515625,29.3,32.4,-0.095679012,23,34.1,-0.325513196,33,30.1,0.096345515,15.6,10.8,0.444444444,4.4
4,6.4,-0.375,28.9,32.4,-0.108024691,28.4,34.1,-0.167155425,19.3,30.1,-0.358803987,11.6,10.8,0.074074074,2.7
3.4,6.4,-0.46875,30.1,32.4,-0.070987654,11.4,34.1,-0.66568915,18.5,30.1,-0.38538206,8.8,10.8,-0.185185185,3.3
4.4,6.4,-0.3125,33.6,32.4,0.037037037,41.4,34.1,0.214076246,45.3,30.1,0.504983389,10,10.8,-0.074074074,1.9
5.8,6.4,-0.09375,25.3,32.4,-0.219135802,31,34.1,-0.090909091,21.5,30.1,-0.285714286,17.3,10.8,0.601851852,5.4
4.3,6.4,-0.328125,24.5,32.4,-0.24382716,22.9,34.1,-0.328445748,32.4,30.1,0.07641196,12.4,10.8,0.148148148,6.8
5.1,6.4,-0.203125,28.4,32.4,-0.12345679,37.4,34.1,0.096774194,33.7,30.1,0.119601329,7,10.8,-0.351851852,2.4
4,6.4,-0.375,32.3,32.4,-0.00308642,34.6,34.1,0.014662757,33.1,30.1,0.099667774,11.4,10.8,0.055555556,2.6
4.5,6.4,-0.296875,31.5,32.4,-0.027777778,27.5,34.1,-0.193548387,30.1,30.1,0,13.9,10.8,0.287037037,2.5
4,6.4,-0.375,31,32.4,-0.043209877,36.3,34.1,0.064516129,31.6,30.1,0.049833887,1.5,10.8,-0.861111111,2.9
3.7,6.4,-0.421875,29.1,32.4,-0.101851852,35.1,34.1,0.029325513,44.4,30.1,0.475083056,8.6,10.8,-0.203703704,1.8
4.1,6.4,-0.359375,28.4,32.4,-0.12345679,30,34.1,-0.120234604,43.1,30.1,0.431893688,12.8,10.8,0.185185185,6.7
4.2,6.4,-0.34375,27.2,32.4,-0.160493827,28.7,34.1,-0.158357771,27.6,30.1,-0.083056478,15.1,10.8,0.398148148,1.3
4.2,6.4,-0.34375,28.7,32.4,-0.114197531,38.2,34.1,0.120234604,43.4,30.1,0.441860465,6.1,10.8,-0.435185185,2.7
4.6,6.4,-0.28125,23.3,32.4,-0.280864198,32.6,34.1,-0.04398827,27.7,30.1,-0.079734219,12.1,10.8,0.12037037,1.6
6.1,6.4,-0.046875,28.4,32.4,-0.12345679,19.1,34.1,-0.439882698,27.1,30.1,-0.099667774,24.5,10.8,1.268518519,2.9
5.1,6.4,-0.203125,13.7,32.4,-0.577160494,35.5,34.1,0.041055718,28,30.1,-0.069767442,17.9,10.8,0.657407407,3.7
3.6,6.4,-0.4375,29.1,32.4,-0.101851852,30.7,34.1,-0.099706745,29.6,30.1,-0.016611296,14.9,10.8,0.37962963,2.1
6.4,6.4,0,28.9,32.4,-0.108024691,20.8,34.1,-0.390029326,46.6,30.1,0.548172757,10.7,10.8,-0.009259259,3.3
4.8,6.4,-0.25,30.6,32.4,-0.055555556,32.3,34.1,-0.052785924,39.2,30.1,0.302325581,21.2,10.8,0.962962963,1.6
3.2,6.4,-0.5,27.1,32.4,-0.163580247,35.7,34.1,0.046920821,26,30.1,-0.136212625,13.2,10.8,0.222222222,1.9
3.4,6.4,-0.46875,26,32.4,-0.197530864,29.4,34.1,-0.137829912,42.6,30.1,0.415282392,10.6,10.8,-0.018518519,3.4
6,6.4,-0.0625,31.4,32.4,-0.030864198,26.8,34.1,-0.214076246,47.5,30.1,0.57807309,18.4,10.8,0.703703704,3.6
4.4,6.4,-0.3125,28.4,32.4,-0.12345679,34.7,34.1,0.017595308,21.1,30.1,-0.299003322,13.7,10.8,0.268518519,3.7
3.9,6.4,-0.390625,25.9,32.4,-0.200617284,30.8,34.1,-0.096774194,40.9,30.1,0.358803987,11.1,10.8,0.027777778,1.8
4.5,6.4,-0.296875,13.2,32.4,-0.592592593,33,34.1,-0.032258065,21.3,30.1,-0.292358804,13.2,10.8,0.222222222,3
5.3,6.4,-0.171875,29.6,32.4,-0.086419753,43.7,34.1,0.281524927,21.2,30.1,-0.295681063,11.1,10.8,0.027777778,3.4
4.3,6.4,-0.328125,35.1,32.4,0.083333333,33.7,34.1,-0.011730205,23,30.1,-0.235880399,11.5,10.8,0.064814815,2.9
4,6.4,-0.375,28.9,32.4,-0.108024691,33.9,34.1,-0.005865103,50,30.1,0.661129568,13.1,10.8,0.212962963,3.4
4,6.4,-0.375,31.4,32.4,-0.030864198,31.9,34.1,-0.064516129,28.6,30.1,-0.049833887,11.4,10.8,0.055555556,3.3
3.8,6.4,-0.40625,27.5,32.4,-0.151234568,32.6,34.1,-0.04398827,30.9,30.1,0.026578073,12.9,10.8,0.194444444,2.8
4,6.4,-0.375,28.4,32.4,-0.12345679,32.1,34.1,-0.058651026,49.9,30.1,0.657807309,24,10.8,1.222222222,2.1
7.3,6.4,0.140625,38.7,32.4,0.194444444,35.7,34.1,0.046920821,33.1,30.1,0.099667774,15.4,10.8,0.425925926,2.2
8.4,6.4,0.3125,46.5,32.4,0.435185185,33.6,34.1,-0.014662757,18.2,30.1,-0.395348837,9.3,10.8,-0.138888889,2.3
6.7,6.4,0.046875,31.3,32.4,-0.033950617,25.6,34.1,-0.249266862,30.9,30.1,0.026578073,18.6,10.8,0.722222222,7.9
3.9,6.4,-0.390625,33.7,32.4,0.040123457,27.7,34.1,-0.187683284,20.7,30.1,-0.312292359,18.8,10.8,0.740740741,1.8
6.1,6.4,-0.046875,52.2,32.4,0.611111111,26.2,34.1,-0.231671554,32.7,30.1,0.086378738,25.3,10.8,1.342592593,2.5
7.5,6.4,0.171875,47.6,32.4,0.469135802,33.4,34.1,-0.020527859,32.6,30.1,0.083056478,10.2,10.8,-0.055555556,2.4
6,6.4,-0.0625,34,32.4,0.049382716,29,34.1,-0.149560117,31.3,30.1,0.03986711,10.8,10.8,0,1.9
6.7,6.4,0.046875,28.2,32.4,-0.12962963,35.9,34.1,0.052785924,34.3,30.1,0.139534884,14.1,10.8,0.305555556,2.6
5.7,6.4,-0.109375,29.7,32.4,-0.083333333,28.9,34.1,-0.152492669,28.3,30.1,-0.059800664,10.4,10.8,-0.037037037,0.4
6.6,6.4,0.03125,54.2,32.4,0.672839506,33.3,34.1,-0.023460411,30.8,30.1,0.023255814,18.9,10.8,0.75,2.1
8.7,6.4,0.359375,37.8,32.4,0.166666667,21.4,34.1,-0.372434018,54.2,30.1,0.800664452,11.9,10.8,0.101851852,3.5
7.2,6.4,0.125,51.3,32.4,0.583333333,36.8,34.1,0.079178886,24.4,30.1,-0.189368771,9.2,10.8,-0.148148148,4.6
7.9,6.4,0.234375,56,32.4,0.728395062,39.1,34.1,0.146627566,30.4,30.1,0.009966777,18.8,10.8,0.740740741,6.8
11.4,6.4,0.78125,20.8,32.4,-0.358024691,38.4,34.1,0.126099707,36.1,30.1,0.199335548,15.3,10.8,0.416666667,2.4
5,6.4,-0.21875,56.8,32.4,0.75308642,35.3,34.1,0.035190616,52.7,30.1,0.750830565,4.8,10.8,-0.555555556,2.7
8.4,6.4,0.3125,33,32.4,0.018518519,29.3,34.1,-0.140762463,42.9,30.1,0.425249169,16.4,10.8,0.518518519,4.3
4.3,6.4,-0.328125,28.5,32.4,-0.12037037,36,34.1,0.055718475,39.8,30.1,0.322259136,19.2,10.8,0.777777778,2
6.2,6.4,-0.03125,32.2,32.4,-0.00617284,37.2,34.1,0.090909091,45.8,30.1,0.521594684,14,10.8,0.296296296,5.3
4.5,6.4,-0.296875,50.8,32.4,0.567901235,35.7,34.1,0.046920821,35.4,30.1,0.176079734,13.8,10.8,0.277777778,2.7
6.9,6.4,0.078125,28.3,32.4,-0.12654321,28.3,34.1,-0.170087977,36.3,30.1,0.205980066,14.7,10.8,0.361111111,5.3
2.7,6.4,-0.578125,58.4,32.4,0.802469136,25.6,34.1,-0.249266862,23.2,30.1,-0.22923588,15.3,10.8,0.416666667,2.9
9.7,6.4,0.515625,56.8,32.4,0.75308642,37.8,34.1,0.108504399,23.4,30.1,-0.222591362,8,10.8,-0.259259259,1.6
8.9,6.4,0.390625,37.5,32.4,0.157407407,37.8,34.1,0.108504399,30.8,30.1,0.023255814,17.1,10.8,0.583333333,5.1
5.1,6.4,-0.203125,54.4,32.4,0.679012346,25.6,34.1,-0.249266862,24.3,30.1,-0.19269103,18.7,10.8,0.731481481,6.3
7.9,6.4,0.234375,49.9,32.4,0.540123457,34.2,34.1,0.002932551,41.1,30.1,0.365448505,13.4,10.8,0.240740741,2.3
5.4,6.4,-0.15625,45.5,32.4,0.404320988,37.9,34.1,0.11143695,42.7,30.1,0.418604651,16.4,10.8,0.518518519,1.8
9.9,6.4,0.546875,53.1,32.4,0.638888889,39.6,34.1,0.161290323,25.4,30.1,-0.156146179,10.7,10.8,-0.009259259,1.3
5.7,6.4,-0.109375,39.7,32.4,0.225308642,13.1,34.1,-0.615835777,27.5,30.1,-0.086378738,10.6,10.8,-0.018518519,1.9
4.6,6.4,-0.28125,36.2,32.4,0.117283951,31.4,34.1,-0.079178886,25.8,30.1,-0.142857143,9.6,10.8,-0.111111111,4.6
4.3,6.4,-0.328125,44.9,32.4,0.385802469,30.7,34.1,-0.099706745,40.4,30.1,0.342192691,11.3,10.8,0.046296296,2.9
11.1,6.4,0.734375,41.2,32.4,0.271604938,35.8,34.1,0.049853372,48.1,30.1,0.598006645,15.9,10.8,0.472222222,7.1
9.8,6.4,0.53125,43,32.4,0.327160494,27,34.1,-0.208211144,43.5,30.1,0.445182724,14.7,10.8,0.361111111,6.6
5.6,6.4,-0.125,32.9,32.4,0.015432099,41.4,34.1,0.214076246,28.1,30.1,-0.066445183,17.5,10.8,0.62037037,3.4
7.2,6.4,0.125,50.9,32.4,0.570987654,24.5,34.1,-0.281524927,29.2,30.1,-0.029900332,23.9,10.8,1.212962963,1
9,6.4,0.40625,24.9,32.4,-0.231481481,35.4,34.1,0.038123167,24.5,30.1,-0.186046512,12,10.8,0.111111111,1.6
7.2,6.4,0.125,40.4,32.4,0.24691358,28.7,34.1,-0.158357771,47.8,30.1,0.588039867,16.8,10.8,0.555555556,4.6
5.2,6.4,-0.1875,41,32.4,0.265432099,40.4,34.1,0.184750733,30.1,30.1,0,12.5,10.8,0.157407407,4.4
7.5,6.4,0.171875,26.8,32.4,-0.172839506,38,34.1,0.114369501,41.8,30.1,0.388704319,5.2,10.8,-0.518518519,1.7
10,6.4,0.5625,30.1,32.4,-0.070987654,39.5,34.1,0.158357771,27.5,30.1,-0.086378738,11.7,10.8,0.083333333,2.2
7.4,6.4,0.15625,42.7,32.4,0.317901235,20.6,34.1,-0.395894428,33.3,30.1,0.106312292,18.6,10.8,0.722222222,7.3
5.3,6.4,-0.171875,55.9,32.4,0.725308642,31.9,34.1,-0.064516129,49.3,30.1,0.637873754,16.2,10.8,0.5,3
5.7,6.4,-0.109375,34.6,32.4,0.067901235,30.9,34.1,-0.093841642,45.2,30.1,0.50166113,19.7,10.8,0.824074074,4.2
6.5,6.4,0.015625,52.2,32.4,0.611111111,39.3,34.1,0.152492669,29,30.1,-0.03654485,14,10.8,0.296296296,3.1
3.6,6.4,-0.4375,32,32.4,-0.012345679,30.4,34.1,-0.108504399,33.7,30.1,0.119601329,12.9,10.8,0.194444444,1.4
5,6.4,-0.21875,48.8,32.4,0.50617284,37.4,34.1,0.096774194,42,30.1,0.395348837,12,10.8,0.111111111,4.7
3.4,6.4,-0.46875,40.9,32.4,0.262345679,38.7,34.1,0.134897361,24.7,30.1,-0.179401993,19.8,10.8,0.833333333,3.7
11.5,6.4,0.796875,34.1,32.4,0.052469136,32.8,34.1,-0.038123167,43.2,30.1,0.435215947,12.2,10.8,0.12962963,1.5
6,6.4,-0.0625,27.7,32.4,-0.145061728,33.3,34.1,-0.023460411,33.5,30.1,0.112956811,15.5,10.8,0.435185185,2
9.2,6.4,0.4375,42.9,32.4,0.324074074,25.2,34.1,-0.260997067,47.1,30.1,0.564784053,6.5,10.8,-0.398148148,6.2
9.9,6.4,0.546875,45.9,32.4,0.416666667,39.5,34.1,0.158357771,26.1,30.1,-0.132890365,8.3,10.8,-0.231481481,2.4
1.7,6.4,-0.734375,43,32.4,0.327160494,40.4,34.1,0.184750733,43.2,30.1,0.435215947,7.3,10.8,-0.324074074,3.2
2.4,6.4,-0.625,41.6,32.4,0.283950617,34.5,34.1,0.011730205,28,30.1,-0.069767442,7.8,10.8,-0.277777778,1.6
7.7,6.4,0.203125,31.7,32.4,-0.021604938,31.4,34.1,-0.079178886,30.5,30.1,0.013289037,8.1,10.8,-0.25,1.6
3.8,6.4,-0.40625,45.1,32.4,0.391975309,34.3,34.1,0.005865103,39,30.1,0.295681063,8.7,10.8,-0.194444444,2.3
3.9,6.4,-0.390625,60.5,32.4,0.867283951,37,34.1,0.085043988,46.2,30.1,0.534883721,9.2,10.8,-0.148148148,8.6
6,6.4,-0.0625,38.3,32.4,0.182098765,31,34.1,-0.090909091,29.9,30.1,-0.006644518,7.4,10.8,-0.314814815,3.1
8.8,6.4,0.375,39.8,32.4,0.228395062,38.9,34.1,0.140762463,42.9,30.1,0.425249169,9.9,10.8,-0.083333333,2.1
10,6.4,0.5625,36.6,32.4,0.12962963,24.3,34.1,-0.287390029,46.8,30.1,0.554817276,7.6,10.8,-0.296296296,6.1
8.5,6.4,0.328125,55.2,32.4,0.703703704,24.4,34.1,-0.284457478,33.6,30.1,0.11627907,8.4,10.8,-0.222222222,1.4
9,6.4,0.40625,65.9,32.4,1.033950617,32.6,34.1,-0.04398827,25.8,30.1,-0.142857143,9.6,10.8,-0.111111111,5.1
4.2,6.4,-0.34375,26.7,32.4,-0.175925926,30.1,34.1,-0.117302053,29.3,30.1,-0.026578073,8,10.8,-0.259259259,4.4
6.7,6.4,0.046875,29.6,32.4,-0.086419753,34.9,34.1,0.023460411,30.6,30.1,0.016611296,9.2,10.8,-0.148148148,6.9
4.9,6.4,-0.234375,56,32.4,0.728395062,24.2,34.1,-0.290322581,32.2,30.1,0.069767442,8.6,10.8,-0.203703704,3.6
8.7,6.4,0.359375,37.7,32.4,0.163580247,38.2,34.1,0.120234604,39.4,30.1,0.3089701,7.8,10.8,-0.277777778,6.8
8,6.4,0.25,35.7,32.4,0.101851852,36,34.1,0.055718475,29.9,30.1,-0.006644518,11.1,10.8,0.027777778,5.3
4.5,6.4,-0.296875,20.6,32.4,-0.364197531,45.9,34.1,0.346041056,27.4,30.1,-0.089700997,9.2,10.8,-0.148148148,4
10.3,6.4,0.609375,41.6,32.4,0.283950617,29.8,34.1,-0.126099707,26.3,30.1,-0.126245847,15.6,10.8,0.444444444,4.4
8.8,6.4,0.375,44.1,32.4,0.361111111,34.9,34.1,0.023460411,33.4,30.1,0.109634551,10.4,10.8,-0.037037037,3.3
7.9,6.4,0.234375,40.1,32.4,0.237654321,38.1,34.1,0.117302053,33.2,30.1,0.102990033,12.9,10.8,0.194444444,1.7
8.1,6.4,0.265625,39.5,32.4,0.219135802,39.2,34.1,0.149560117,27.3,30.1,-0.093023256,21,10.8,0.944444444,2.5
6.4,6.4,0,46.1,32.4,0.422839506,39.3,34.1,0.152492669,48,30.1,0.594684385,12.4,10.8,0.148148148,5.2
7.7,6.4,0.203125,36.7,32.4,0.132716049,38.3,34.1,0.123167155,45.5,30.1,0.511627907,11.4,10.8,0.055555556,7.4
8.2,6.4,0.28125,52.2,32.4,0.611111111,26.3,34.1,-0.228739003,26.6,30.1,-0.11627907,6,10.8,-0.444444444,6
4.2,6.4,-0.34375,20,32.4,-0.382716049,34,34.1,-0.002932551,32.1,30.1,0.066445183,19.4,10.8,0.796296296,3.4
7.9,6.4,0.234375,52.1,32.4,0.608024691,38.6,34.1,0.131964809,24.2,30.1,-0.196013289,21.1,10.8,0.953703704,5.5
4.2,6.4,-0.34375,45,32.4,0.388888889,31.9,34.1,-0.064516129,30,30.1,-0.003322259,14.4,10.8,0.333333333,2.3
9,6.4,0.40625,37.8,32.4,0.166666667,42.1,34.1,0.234604106,30.2,30.1,0.003322259,20.3,10.8,0.87962963,5.6
2.9,6.4,-0.546875,30.1,32.4,-0.070987654,30.7,34.1,-0.099706745,27.4,30.1,-0.089700997,14.8,10.8,0.37037037,5
4.4,6.4,-0.3125,39.6,32.4,0.222222222,20.6,34.1,-0.395894428,32.1,30.1,0.066445183,11.4,10.8,0.055555556,2.7
6,6.4,-0.0625,29.3,32.4,-0.095679012,32.8,34.1,-0.038123167,35.3,30.1,0.172757475,24,10.8,1.222222222,7.3
10.4,6.4,0.625,34.3,32.4,0.058641975,41.3,34.1,0.211143695,54.3,30.1,0.803986711,15.1,10.8,0.398148148,5.8
4,6.4,-0.375,33.1,32.4,0.021604938,27.8,34.1,-0.184750733,30.9,30.1,0.026578073,17.9,10.8,0.657407407,2.8
5.9,6.4,-0.078125,45.5,32.4,0.404320988,26.3,34.1,-0.228739003,27.7,30.1,-0.079734219,21.3,10.8,0.972222222,2.4
10.5,6.4,0.640625,49.5,32.4,0.527777778,43.1,34.1,0.263929619,26.5,30.1,-0.119601329,12.2,10.8,0.12962963,1.8
8.4,6.4,0.3125,47.2,32.4,0.456790123,34.6,34.1,0.014662757,33.6,30.1,0.11627907,23.1,10.8,1.138888889,1.5
6.9,6.4,0.078125,39.7,32.4,0.225308642,28.6,34.1,-0.161290323,31.5,30.1,0.046511628,19.9,10.8,0.842592593,1.4
6.5,6.4,0.015625,39.2,32.4,0.209876543,37.3,34.1,0.093841642,39.8,30.1,0.322259136,16,10.8,0.481481481,1.8
6.3,6.4,-0.015625,34.6,32.4,0.067901235,27.6,34.1,-0.190615836,41.3,30.1,0.372093023,10.9,10.8,0.009259259,2.6
7.6,6.4,0.1875,39.5,32.4,0.219135802,33.7,34.1,-0.011730205,35.5,30.1,0.179401993,9.8,10.8,-0.092592593,2.3
4.9,6.4,-0.234375,27.3,32.4,-0.157407407,38.5,34.1,0.129032258,36.3,30.1,0.205980066,13.2,10.8,0.222222222,3.7
10.2,6.4,0.59375,23.5,32.4,-0.274691358,38.9,34.1,0.140762463,25.5,30.1,-0.15282392,10.2,10.8,-0.055555556,7.2
3.6,6.4,-0.4375,44.1,32.4,0.361111111,32.1,34.1,-0.058651026,39.9,30.1,0.325581395,11.9,10.8,0.101851852,7.6
6.6,6.4,0.03125,57.6,32.4,0.777777778,39.3,34.1,0.152492669,26.4,30.1,-0.122923588,5.7,10.8,-0.472222222,2.3
9.6,6.4,0.5,43,32.4,0.327160494,40.9,34.1,0.19941349,23.6,30.1,-0.215946844,14,10.8,0.296296296,3.7
6.2,6.4,-0.03125,35.3,32.4,0.089506173,34.4,34.1,0.008797654,26.3,30.1,-0.126245847,9.4,10.8,-0.12962963,1.5
8,6.4,0.25,51.9,32.4,0.601851852,40.1,34.1,0.175953079,27.9,30.1,-0.073089701,6,10.8,-0.444444444,1.6
8.5,6.4,0.328125,53,32.4,0.635802469,30.2,34.1,-0.114369501,27.3,30.1,-0.093023256,5.8,10.8,-0.462962963,2.4
3.7,6.4,-0.421875,36.6,32.4,0.12962963,27.5,34.1,-0.193548387,33,30.1,0.096345515,16.6,10.8,0.537037037,1.9
7.9,6.4,0.234375,35.7,32.4,0.101851852,36.4,34.1,0.06744868,29.5,30.1,-0.019933555,15.2,10.8,0.407407407,3.1
4.8,6.4,-0.25,48.5,32.4,0.49691358,35.5,34.1,0.041055718,28,30.1,-0.069767442,10.2,10.8,-0.055555556,2.8
6.5,6.4,0.015625,54,32.4,0.666666667,39.2,34.1,0.149560117,26.9,30.1,-0.106312292,9.4,10.8,-0.12962963,2.7
10.1,6.4,0.578125,26.6,32.4,-0.179012346,27,34.1,-0.208211144,26.7,30.1,-0.112956811,8.7,10.8,-0.194444444,2.8
6.8,6.4,0.0625,55.5,32.4,0.712962963,26.9,34.1,-0.211143695,38.9,30.1,0.292358804,10.4,10.8,-0.037037037,2.3
6.4,6.4,0,38.9,32.4,0.200617284,30.4,34.1,-0.108504399,28.2,30.1,-0.063122924,13.4,10.8,0.240740741,5.4
9.3,6.4,0.453125,49.7,32.4,0.533950617,32.1,34.1,-0.058651026,26.4,30.1,-0.122923588,7.6,10.8,-0.296296296,6.4
7.7,6.4,0.203125,56,32.4,0.728395062,39.3,34.1,0.152492669,31.4,30.1,0.043189369,18.9,10.8,0.75,4.8
5.1,6.4,-0.203125,31.4,32.4,-0.030864198,30.5,34.1,-0.105571848,31.8,30.1,0.056478405,0.9,10.8,-0.916666667,2.5
7,6.4,0.09375,53.5,32.4,0.651234568,31.6,34.1,-0.073313783,30.7,30.1,0.019933555,7.6,10.8,-0.296296296,2
11.4,6.4,0.78125,42.1,32.4,0.299382716,37.8,34.1,0.108504399,43.3,30.1,0.438538206,7.2,10.8,-0.333333333,1.7
4.2,6.4,-0.34375,39.4,32.4,0.216049383,31.4,34.1,-0.079178886,37.5,30.1,0.245847176,6.3,10.8,-0.416666667,1.1
5,6.4,-0.21875,34.8,32.4,0.074074074,26.8,34.1,-0.214076246,30.9,30.1,0.026578073,11.8,10.8,0.092592593,1.7
6.3,6.4,-0.015625,26.2,32.4,-0.191358025,35.2,34.1,0.032258065,42.6,30.1,0.415282392,3.9,10.8,-0.638888889,2.2
4.7,6.4,-0.265625,35.9,32.4,0.108024691,36,34.1,0.055718475,36,30.1,0.196013289,19.8,10.8,0.833333333,3.1
6.3,6.4,-0.015625,27.8,32.4,-0.141975309,35.3,34.1,0.035190616,42.3,30.1,0.405315615,14.3,10.8,0.324074074,2.1
3.1,6.4,-0.515625,42.7,32.4,0.317901235,29.1,34.1,-0.146627566,41.3,30.1,0.372093023,5.8,10.8,-0.462962963,1.8
6.8,6.4,0.0625,52.2,32.4,0.611111111,28.9,34.1,-0.152492669,47,30.1,0.561461794,9.8,10.8,-0.092592593,1.7
5.5,6.4,-0.140625,54.1,32.4,0.669753086,46.9,34.1,0.375366569,25.9,30.1,-0.139534884,5.7,10.8,-0.472222222,3.8
10.6,6.4,0.65625,47.5,32.4,0.466049383,39.6,34.1,0.161290323,25,30.1,-0.169435216,9.3,10.8,-0.138888889,2.9
5.8,6.4,-0.09375,38.8,32.4,0.197530864,32.3,34.1,-0.052785924,27.1,30.1,-0.099667774,9,10.8,-0.166666667,3.7
13.9,6.4,1.171875,34.1,32.4,0.052469136,39.7,34.1,0.164222874,47.5,30.1,0.57807309,5.8,10.8,-0.462962963,2.1
6.3,6.4,-0.015625,32.6,32.4,0.00617284,20,34.1,-0.413489736,47.8,30.1,0.588039867,8.6,10.8,-0.203703704,2.3
8.3,6.4,0.296875,36.2,32.4,0.117283951,40.1,34.1,0.175953079,45.9,30.1,0.524916944,11.4,10.8,0.055555556,2.1
7.8,6.4,0.21875,31.7,32.4,-0.021604938,29.1,34.1,-0.146627566,22.8,30.1,-0.242524917,8.4,10.8,-0.222222222,4.8
10,6.4,0.5625,58.9,32.4,0.817901235,33.2,34.1,-0.026392962,24.7,30.1,-0.179401993,7,10.8,-0.351851852,6.2
7.6,6.4,0.1875,23.5,32.4,-0.274691358,23,34.1,-0.325513196,33.2,30.1,0.102990033,7.6,10.8,-0.296296296,3
10,6.4,0.5625,36.9,32.4,0.138888889,32.1,34.1,-0.058651026,24.2,30.1,-0.196013289,7,10.8,-0.351851852,4.5
3.6,6.4,-0.4375,40.8,32.4,0.259259259,30.8,34.1,-0.096774194,30.2,30.1,0.003322259,9.5,10.8,-0.12037037,1.8
8.9,6.4,0.390625,36.2,32.4,0.117283951,35.4,34.1,0.038123167,39,30.1,0.295681063,3.1,10.8,-0.712962963,5.4
9.7,6.4,0.515625,55.3,32.4,0.706790123,32.3,34.1,-0.052785924,43.4,30.1,0.441860465,10,10.8,-0.074074074,6.3
13,6.4,1.03125,41.4,32.4,0.277777778,20.2,34.1,-0.407624633,32.5,30.1,0.079734219,7.2,10.8,-0.333333333,2
3.6,6.4,-0.4375,35.9,32.4,0.108024691,28.9,34.1,-0.152492669,29.1,30.1,-0.033222591,13.5,10.8,0.25,3.8
