HD_M_Value,HBP_M_Value,HC_M_Value,OB_M_Value,DB_M_Value,Target_Value
6.5,28.4,41.6,35.8,9.2,2.5
6.2,42.6,32.7,36.7,11.1,4
6.6,26.8,36.3,31.2,11.1,2.4
5.4,47.8,33.7,33.1,11.7,3.2
7.7,29.1,31.2,30.4,13,4.9
6.4,23.9,27.9,38.5,9.8,3.2
7.3,26.2,26.5,34.2,7.8,1.9
6.3,13.4,33.1,40.8,10.6,4.3
8.5,36.4,34.7,50.1,9.5,3.1
4.6,30,35.1,24.6,9.8,3
5,32,31.1,38.2,8.9,1.2
10.4,39.9,36.3,43.4,13.9,4
6.8,26.9,35.9,42.7,10.5,3.2
11.1,42.2,29.4,38.1,16.5,2.1
5.9,38.8,33.9,31.7,11,3.6
4.6,35.9,32.5,33.7,19,3.4
8.6,23,34.3,41.3,7.6,2.8
6.1,32.9,36.7,27.1,12.4,3.7
6.4,51.9,36.6,40.7,8.5,6.4
3.8,18.2,33.5,54.7,18.2,3.6
5.8,36.9,34.5,39.3,14.3,0.9
7.8,25.6,34,46.9,13.6,3.5
7.5,37,33.8,35.4,16.9,4.1
9.8,30.9,36.2,37.4,12.5,2.5
5.2,39.9,34.8,31.1,13.5,3.1
5.7,49.5,33.8,32.4,15.7,3.2
4.8,31,30.2,25.4,11.6,3
3.9,32.2,31.9,34.4,10.2,2.8
6.7,44.7,33.6,31.6,14.3,2.3
7.6,25.4,36.4,22.7,15.4,4.4
5.5,32.8,30.6,34.6,9.9,1.6
10.9,33.9,30.6,33.4,15.3,2.7
3.9,36,32.5,33.9,18.2,3.4
11.8,37.4,37.7,36.5,10.3,2.4
9.3,39.3,28.2,29,3.6,8
7.3,36.3,35.4,31.1,6.9,6.4
7.7,27.9,38.1,30.8,6.7,2.9
1.4,38.2,34.4,30.2,5.6,2.3
8.8,31.8,34.5,36,5.4,6.7
5.3,46.9,36.1,35.9,5.7,2.7
9.8,34,11.8,29.2,7.7,5.2
4.9,38,35.2,31.1,8.6,4.5
7.3,39.5,34.2,26.8,7.9,2
5.9,42.3,36.5,42.7,6.8,2
6.4,44.6,38.7,35.1,4.9,1.3
10.1,33.5,31.9,26.8,8.3,2
7.2,44,33,29.8,6.6,4.9
7.7,32.9,32.6,47.4,7.6,2.8
7.2,31.2,47.7,40,6.4,5.2
6.2,41.3,32.4,39.9,2.8,3
8.1,35.4,34.2,50,8.3,3.3
11.3,39.3,34.5,38.9,9,7.4
6.1,34.9,32.5,43.3,13.8,3.9
5.4,31.1,33.1,30.2,11.7,3.2
4.3,36.5,38.2,44.3,12.2,2.8
8.5,53,30.9,40.7,10,4.9
4.9,31.3,33.4,33.3,15.9,2.4
7.1,19.1,36.4,34.1,11.7,3.3
6.5,34.4,29.8,41.8,18,5.3
6.2,35.9,33.4,44.3,17.2,3.5
3.7,39.4,34.6,35.1,13,3
6.9,33.9,33.1,52.1,12.4,3.5
4.7,32.7,32.8,35.8,15.8,1.6
9,34.9,33.7,40.7,12.7,2.6
4.7,35.7,38,34.5,12.9,4.3
6.2,50.1,34.6,38.8,12.1,3.2
6,23.2,31.7,40.1,10.4,3.2
5.4,32.6,25.5,26.5,11.8,2.8
6.1,40.1,37.8,33.1,20.5,3.4
8.4,30.9,23.9,41.8,11.2,2.3
9.4,51.5,34.7,25.8,13.8,3.1
5.3,39.2,30.8,24.4,2.9,3.1
11.5,50.9,29.6,29.6,7.5,4.6
7.6,39.1,31.2,31.6,11.4,2
6.2,32.6,33.3,38.3,10.6,8.8
7.8,34.3,26.8,25.4,9.3,2.5
5.8,32,34.3,38.9,13.6,4.2
5.9,18.2,35.3,38.9,12,2.6
11.2,24.2,33.7,40.1,9.8,2
6.4,31.4,32.6,25.6,11.4,4
7.2,33.4,29.3,33,6.9,3.2
7,30.5,29.8,37.4,10.3,3.5
8.7,33,32.6,32.9,15.2,3.6
6.4,28.1,30.2,42.6,10.5,2.9
10.1,34.7,29.7,33.9,20.2,2.9
8.6,35.5,30.5,35.4,12.3,3.1
5.8,31.8,33.5,35,12.9,2.2
7.2,34.7,35.1,40.6,12.6,3.8
5.6,26.4,34.4,26,13.3,1.4
9.3,30.2,34.1,33.5,8.5,2.7
8,32,33.8,32.7,14.2,5.2
3,35.3,28.6,33.2,10.9,4.9
7.2,30.6,32.5,31.3,12.7,3.3
7,28.5,37.5,31.1,15.9,2.9
3.4,43.6,34.3,31.2,11.8,2.8
9.4,41.7,31.4,30.6,10.6,1.7
7,26.8,24.8,40.2,10,1.5
11.7,27.2,38.4,41,2.6,7.3
4,35.2,24.8,27.5,8.5,5.1
15.3,38.4,34.1,28.1,8,2.7
7.9,46.6,34,35.6,7.7,2.7
7.1,49.2,31.4,26.8,7.4,4.8
7.9,38.4,29.6,39.3,10,3.6
5.1,38.2,33.9,42.6,7.6,2.8
6.1,25.9,28.8,26.1,5.5,3.8
7.7,39.3,32.4,38.8,4.7,3.3
14.4,40.7,35.4,30,9.3,3.5
8,30.2,38.3,34,7.8,2.8
6.1,35.8,24.7,49.2,5.7,3.7
8.8,37.8,33.6,43.7,8.4,2.8
9.9,48.3,35.4,26.4,7.3,2.5
6.7,33.1,27.4,34.6,5.1,4.9
6.6,30.4,34.9,34,7.6,2.5
8.6,29.7,37.8,38.2,7.8,3.2
8.2,39.8,31.7,44.9,6.1,3.3
7.3,29.1,33.2,23.6,6.2,3.1
9.2,36.8,35.5,41,7,2.9
8.4,37.3,31,36.1,9.3,2.6
6.2,37.5,35.5,27.4,7.5,2.8
7.4,14.2,35.8,47.1,9.5,3.3
7.4,34,38.9,30.7,7.5,2
7.9,34.2,33,32.3,7.9,7.9
4.2,37.8,33.2,45.2,9.6,4.1
8.1,21.1,34.2,32.2,8.9,2.3
6.6,39.6,32.2,29.9,6.3,1.6
4.8,24.1,31.6,35.2,12,6.3
7.5,49.5,38.4,26.2,6.7,3.4
3.9,34.2,36.3,38.7,8.8,3.2
6.8,21.1,16.2,43.8,5.1,2.4
4.8,45,33.4,34.5,13,3.8
3.8,38.8,31.5,35.6,8.9,1.5
5.4,34.7,36.2,33.7,7.6,3.5
5.3,30.9,34.3,44.5,9.4,4.2
11.9,35.8,35.5,33.1,6,4.8
5.5,30.8,31.1,25.5,9.3,2.1
6.7,17.8,33.9,28.8,8.9,4.9
6.4,36.2,33.1,34,7.2,1.7
2.1,33.7,26.3,39.5,6,3.4
3.7,31.3,33.5,32.8,9.2,5
6.9,34.3,27.9,32.9,7.2,2.2
7.3,27.3,34,37.3,11.7,2.6
7.1,30.5,34.7,43.8,9.4,4.8
3.2,36.7,31.3,44.7,7.3,1.3
8.5,37.9,38,25.1,5.9,3.5
7.4,36.2,33.4,37.7,8.5,3
4.5,34,35.7,33.4,6.4,2.6
5,40,29.5,32.1,7.7,3.2
3.7,30.5,38.2,31.9,6.2,2.7
4.3,35.9,32.3,35.9,7,6.9
3.8,37.3,34.5,32.3,7.6,2.4
5.3,36.7,44.2,47.2,6.5,7.7
5.4,21.4,33.6,33.2,5.2,2.4
3.6,26.8,34.5,37.5,3.8,4.2
7.4,22.2,35.9,41.6,8.9,7.1
2.4,24.4,33.1,32,10.9,4.5
8.8,31.5,34,38.7,11.9,1.8
6.3,27.5,27.1,38.2,7.7,4.8
6.8,33.9,33.2,35.5,7.8,2.9
6.3,27.4,28.7,30.1,4.4,5.1
7.6,31.7,34.8,43.8,9.6,3.5
10,32.4,33.9,28.4,10.1,5.4
5.7,29.7,33.8,30.5,7,1.2
3.1,27.5,38.3,37.8,10.2,2.5
4.9,34.7,38.3,45.4,11.6,1.5
6.3,51.4,34.3,29.2,6.4,2.9
5.7,31.6,36.2,31,8.4,4.3
6.5,42.4,35.7,28.5,5.7,2
6.7,32.8,34.8,44.7,12.1,4.2
2.9,22.1,34,41,9.2,2.4
8.7,26,25.9,29.7,7.8,3
6.5,33.5,38.1,34.5,12.4,2.4
2.6,35.9,32.1,35,8.2,5.8
3.6,25.9,37.1,37.1,7.5,4.1
7.2,29.1,37.6,40.7,11.7,4.1
4.9,40.8,31.7,47,7.1,2.9
6.1,18.3,21.7,26.3,5.6,3
8.5,45.1,11.3,44.8,8.8,6.2
6.9,30.1,39,43.4,5.5,3.6
5.1,38.1,34.6,25.8,8.6,3.9
5.6,38.3,33.8,30.8,6.4,2.5
5.8,30.3,29.2,32.3,7.2,4.1
6.5,32.1,33.1,35.9,3.3,2.5
7.6,35.4,29.6,26,11.8,4.8
5.1,33.8,32.1,35.8,8.5,7.1
6.9,29.7,27.4,32.8,14,5.1
7.6,23.9,34.5,26.9,5.6,4.3
6.9,27.5,35.9,45.7,8.1,4.4
3.5,38.4,36.7,41.7,18.2,4.7
7.9,37.2,42.6,31.5,7.4,2.1
7.3,33.4,33.4,45.4,10,2.4
4.9,21.3,34.2,33.6,9.9,2.7
6.8,24.5,31.1,34.7,12.4,3.9
7.6,31.8,36.8,27.3,15.7,4.8
5.2,37.2,35.5,33.5,8,2.8
4,33.4,31.5,30.5,10.3,5.7
4.9,38.4,37.2,33.9,7.3,3.5
7.3,30,29.3,42.3,11.3,3.2
5.4,22.4,35.6,38,8.1,3.3
7.8,35.1,38,39.8,5.9,2.2
4.2,39.4,33.9,43.1,9.1,2.7
3.5,32.9,28.7,31.3,7.2,4.3
3.1,28.7,36.5,44.6,14.5,3.6
4.1,43.6,33.9,43.7,16.1,3.6
8.9,32.3,31.4,36.9,18.9,2
5.1,47.5,27.8,38.1,13.6,3.3
5.5,19.9,29.2,34.1,8.3,2.2
2.9,26.2,38.9,39.4,7.7,2.7
4.2,38.6,24.1,42.9,7.5,2.5
4.1,24.7,38.8,41.7,8.8,2.6
4.8,22.4,33.9,36,7.7,2.7
4.8,26,32.7,51,11.7,7.1
4.2,35.5,14.3,24.1,10.1,3.6
8,29.9,37,34.9,11.1,3.4
5.7,35.3,35.4,26.2,11.4,1.7
7.3,56,30,50.5,20.8,3.6
5.7,32.1,35.7,40.9,8.6,3
5.4,35.9,31.4,29.8,8.2,6.6
4.4,45.2,30.4,40,7.7,4.9
2.9,32.1,32.3,25.2,8.1,3.4
6.7,27,32.2,29,7,3.3
8.1,51.7,36.7,41.2,9.4,3.1
2,34.6,37.4,34.9,9.7,1.4
3.4,24.1,34.4,38.4,6.9,3.5
8.1,42.5,33.7,31.2,8.9,3.6
5.1,26.4,33.5,47.6,7,2.6
4.7,23.6,35.6,38.5,10.8,2.4
5.7,33.6,32.2,28.5,10,6.6
5,13.4,39,30.3,15.9,4.3
3.7,26.1,31.9,30.4,6.2,3.2
4.6,34,35.9,34.6,7.4,3.8
7,22.4,33.1,30.4,9.3,2.9
7.6,31.3,35.6,38.2,14,2.5
8.3,23.8,32.9,37.2,12,6.1
4.8,31.2,34.3,31.7,16.5,3.3
5.6,42.3,32.7,35.6,10.3,2.7
6.9,26.9,32.9,36.7,12.1,4.6
4.4,57.5,26,34.9,10.8,3
6.4,35,36,36.4,10.7,3.5
7.3,35.3,37.2,24.5,13.6,1.2
6.1,40.9,33.3,34.2,7.4,1.9
8.2,24.3,30.4,34.9,9.1,2.2
4.5,37.4,32,36.2,5.5,5.4
5.5,29.4,29.2,45,11.8,7.2
4.1,27.9,39.6,39.7,9.4,5.2
11.4,27.7,34,38.5,7.2,4.4
5.2,24,28.9,29.6,10,3.4
6,22.3,30.1,29.6,9.1,2.9
6.3,35.2,29.8,38.7,10.7,1.7
4.3,33.8,31.2,32.7,2.5,2.8
6.7,36.7,32.8,42,10.3,2
4.9,47,31.2,30.4,8.5,4.9
6,52.3,34,27.9,14,3.2
5.8,31.2,36.9,36,8.8,1.8
7.3,32.4,29.1,36.9,7.9,6.5
6.2,29.8,33.3,34.5,9.5,2.6
8.1,41.9,39,34.6,5.6,3.9
6.9,49,35,31.4,16.2,5.7
5,28.6,35.3,27.9,6.2,4.5
3.4,24.8,34.2,36.2,11.7,3.6
6.4,21.9,34.4,33.1,6.4,3.9
2.7,37.4,34.6,36.9,10.2,6.1
6.2,30.1,29.1,34.8,9.7,4
9.9,25.8,32.9,32.4,8.3,3.7
8.1,38.2,30.1,28.8,8.2,2.5
8.1,29.3,30,38.1,6.4,2
5.5,30.6,40.5,37.7,7.8,7.1
4.5,40.6,29.5,24.5,8.1,2.2
4,48.8,36.8,39.7,7.3,4.2
6.4,28.3,30.8,45,10.3,8.3
4.5,28.9,36.1,41.7,8.3,2.5
9,28.3,35.4,35.7,5.8,3.7
6.1,37.1,34,41.9,6.3,2.2
8.7,41.2,25.8,29.1,4.8,3.1
7.4,19.7,30.7,39.8,10,2.5
7.8,39,28.3,25.5,7.7,3.8
5.7,35.3,35,34,6.8,2.1
3.8,28.9,35.6,38,9,3
2.8,41.2,26.9,32.7,7.4,3.3
5.1,39.3,28.4,30,9.1,1.9
6.3,40.3,35.7,30.1,6.6,2.3
7.3,30.1,35.4,42.2,7.5,1.7
5.2,44.4,34.8,44.5,8.8,4.2
6.4,41.3,33.5,28.7,6.1,2.4
4.6,46.9,33.8,46.9,7.3,3.7
3.8,25.5,26,33.5,8.2,3.4
4.3,39.6,32.7,41.4,9.8,4.4
4.8,22.2,35,32.8,8.6,1.6
6,45.9,32.3,29.1,6.9,6.6
6.2,24.3,34.8,32.2,5.4,2.6
7.7,28.8,26.4,41,7.4,3.1
6.4,27.6,36,30.1,3.7,2.7
8.8,27.5,32.4,36.6,8.4,1.7
7.9,31.5,18.8,22.5,5.8,3.2
5.4,31.3,31.6,41.7,9.4,3.2
11.5,34.7,30.5,25.1,8.8,4.3
5.6,21.9,35.3,44.2,8.7,3.5
4.3,24,34.8,44.5,8.6,4
2.9,32.8,20.4,42,10,1.1
7.3,41.2,30.5,37.5,9.3,2.8
5.6,32.4,27.6,37.9,4.8,6.6
5.2,27.8,33.7,48.8,8.9,2.4
2.2,15,35,42,9.2,3.3
3.9,31,37.8,24,5.8,5.5
6,18.7,31.2,40.5,5.6,2.9
5.4,35.9,33.9,36.5,7.8,3.7
6.6,25.5,34.4,35.1,10,3
6.4,25.3,30.6,43.6,8.3,2.4
2.7,33.1,34.3,41.1,5.1,3.2
5.7,37.1,28.7,50.9,8.5,2.5
3.5,20.8,40.1,37.9,9.5,1.4
7.5,28.3,36.4,26.2,8.5,3.8
4.9,37.2,26.8,43.1,8.9,3.6
6.1,30.5,33,29.5,9.2,4.4
3.1,36.8,38.5,35.8,8.7,3.5
7.5,18.3,36.6,39.7,10.2,3
5.8,32.1,30.7,26,7.5,3.3
4.8,31.7,35.1,32.1,6.5,3.2
3.8,26.2,33.9,34.5,10,4.2
5.3,24.4,34.7,39.8,6.1,2.8
6.7,33.9,35.2,28,9.7,2.6
7,25,37.9,33.1,8.9,2.6
3,28.5,29.7,26.4,7.6,2.8
5.5,25.5,40.1,40.2,6.1,2.4
6.2,34.6,31.5,38.8,5.1,3.6
3.9,35.6,26.6,26.8,9.2,3.2
4.2,54.3,22.8,39.2,8.6,2.3
5.6,36.9,30.9,35.7,1.4,4.2
8.8,31.7,38.3,36.6,9.2,1.9
8,27.4,34.6,27.2,7,4
9.9,29.7,35.8,35.4,10.2,2.9
2.5,41.4,36.8,33.8,5.1,2.2
4.2,23.7,34.7,33.5,10.9,2.7
8.3,35.1,40.2,40.6,8.9,1.5
4,37.4,35.1,31.1,8,7.6
7.1,41.1,36.6,37.5,17.6,5.2
7,39.5,32.9,35.8,13.8,2.6
5,26.8,38.4,38.9,6.7,2.1
6.1,35.2,26.8,40.8,21,5.2
10.3,36.5,31.7,47.2,8.1,3.6
5.1,27.7,36,32.7,7.5,8.2
5.7,42.6,28.7,53.1,7.2,2.5
6.6,26,31.7,36.8,14,2.4
6.4,50.8,38.7,34.8,7.9,3.9
6.9,35.2,31.3,24.5,13.7,2.8
3.6,29,35.3,28.8,7.7,3
7.9,31.8,37.9,38,9.1,4.7
2.3,24.2,33.9,27.3,6.4,3.2
8.5,35.2,28.3,41.6,8.8,4.9
5.3,27.8,35.1,52.1,15.6,3.1
7.9,33.5,34.6,34.6,15.1,2.6
4.5,35.5,20,29,10.1,2
6.9,37.6,36.5,49.8,11.9,5.4
9.2,28.3,34.6,33.5,12,3.2
6.9,36.1,33.2,41,11.8,2.9
7.1,28.2,28.1,27.3,7.9,3
3.8,33.2,34.7,28.8,14.7,5.4
6,40.7,39.9,34.6,8,2.5
3.9,17.4,40.7,30.3,20.8,4.4
9.4,29.6,37.4,49.6,7.1,3
5.3,37.9,32.4,41.2,9.4,4.7
6.9,32.8,37.1,30.4,14,1.8
4.7,31.3,32.5,39.2,8.5,5
3.7,35,29.4,35.7,12.6,1.8
1.4,33.3,38.3,48,7.1,2.8
3.6,31.8,38.9,31.3,9.9,3
4.3,34.3,35.2,37.4,20.9,3.5
4.8,48.7,36.8,33.1,8.2,3.9
7,38.1,35.6,26.2,15.9,2.2
6.6,27.1,37.7,35.4,11.4,1.6
6.9,37,29.6,47.1,19.6,2
6.4,38.8,29.4,29.8,13.7,2.6
6.3,38.1,36.4,25.8,7,5.4
7.7,25.7,32,32.9,12.9,2.4
10.4,51.2,37.6,43.1,8.7,2.7
4.1,33.7,33.6,39.3,8.4,2
3,35.6,34.3,28.4,7.5,2.3
9.5,25.6,36.4,36.2,13.9,3.8
9.4,24.2,31.8,32.9,16.3,5.2
4.6,39.9,36.6,25.9,8.3,2.5
3.7,21.9,28.9,29.1,16.3,3.8
9.2,30.9,37.3,33.3,7.1,3.6
3.3,26.1,24.1,31.5,15,2.2
7.2,23.9,25.7,33.6,16.8,3.6
3.5,23.9,28.7,27.5,13,2.6
4.7,33.3,37.4,37.2,9.4,2.3
3.2,33.6,35.5,41.4,6.9,3.6
6.4,33.8,35.9,26.2,7.2,3.2
5.5,30.1,36.1,32,6.5,2.2
10.9,27.1,37.2,37.1,7.6,0.8
6.4,33.6,37,36.6,5.9,4.8
7.4,36.3,35.8,27.8,6.6,2.8
5.3,36.9,35.2,40.1,6.6,2.8
4.7,29.6,37.9,28.3,7,2.8
4.7,29.5,33.7,30.5,7.1,2.1
6,36,33.1,35.1,7.3,3.5
5.8,26.8,29.2,48,7.5,4.4
7.1,27.7,33.2,26.5,7.7,4.1
4.1,29.8,31.1,32.2,7,4
3.7,35.3,40.7,26.8,4.2,3.7
3.8,22.9,35.3,28.8,7.1,4.3
7.3,34.8,21.7,47.1,6,2.4
3.6,23.1,37.5,31.9,7.2,3.4
8.6,38.2,34.4,34.6,6.7,3.2
5,41.4,35.6,28.3,7,2.4
9,28.6,29.9,33.6,8.7,4.5
4.7,23,30.3,27.4,8.9,2
7.7,32.1,31.7,35,9.5,4.2
6.8,28.1,36.9,25.1,10,6.7
4.8,25.7,34.4,29,9.2,3.1
13,34.4,35.1,48,9.2,2.8
7.5,35.1,35.8,46.9,7.4,7.2
4.5,39.6,41,32.9,10.4,5.1
6.5,37.5,39.1,26.7,8.9,5.2
3.1,24.9,28.8,34.4,8.1,2.6
5.9,33.3,40.3,33.1,10.7,5.6
6.3,26.6,34.8,34.1,8.2,7.4
3.2,32.5,30.1,38.8,9.7,3.1
7.1,24.2,36.5,45.6,8.8,3.9
3.5,38.8,30.6,27.5,9.1,2.2
7.6,28.5,32.7,33,8.9,7.4
4.6,29.5,39.5,41.9,7.6,4.6
10.6,33.4,31.3,41.9,9.3,6.3
8.8,33.6,27.4,39.5,11.9,3
3.8,37.4,31.7,48.7,9.4,7.9
4.2,38.7,33.6,31.2,9.7,2.4
9,38.5,37.2,31.7,9.8,2.9
8.5,56.1,44.9,43.7,7.1,2.9
7.7,35.1,35.4,30.5,8.5,6
6.5,49.3,34.2,32.4,8.7,2.1
6.1,29.7,36.2,49,8.6,3.3
4.8,40.6,30.7,50.3,9.1,2
10,21.9,25.8,31.2,8.6,3.4
5.8,39.6,32.3,34.1,8.8,2.1
10.6,36.9,36.6,34.6,8.6,2.6
7.5,52.8,35.1,26.1,8.9,3
4,32.5,34.9,29.1,8,2.9
6.2,26.1,39.9,27.7,12.9,3.4
4.9,55.5,33.4,25.4,10.7,1.6
4.9,41,33.4,26.5,7.3,4.7
8.1,36.1,37.8,30.1,7.6,3.1
6.8,55.9,36.4,22,8.8,3.2
9.4,24.7,31.7,48.4,8.4,4.9
5.8,36.7,33.6,48.5,16.4,6.1
5.9,35.1,33.8,30.4,12.1,3.8
9.2,38.9,36.8,47.1,18.8,2.2
6.9,35,38.8,31.9,13,3.3
6.7,29.9,33.3,44.1,7.6,1
2,28.1,34.4,30.5,11,4.2
7.8,38.8,38.6,33.7,23.7,4.9
8.6,33.2,36,35.8,9.6,3.4
10.9,31.2,35.9,30.5,5.7,3.3
8.4,42.3,37.8,52.7,12.5,8
9.6,33.3,34.9,37.7,10.6,2.4
9.8,41.4,37.7,28.6,6.2,3.2
7.2,30.2,34.3,27.8,10.7,2.7
5.7,55.3,39.4,43.4,6.7,2
7.9,39.9,31.1,43.2,11.6,4.9
4.7,28.7,33,27.4,8.8,2.1
9.3,34.3,30.6,29.3,11.5,2.7
8.8,21.3,16.1,25.1,12.8,2.4
5,40.9,31.2,30.9,11.3,5.9
7.2,41.8,28.7,47.1,7.6,4.1
9.1,30.1,31.5,39.6,9.5,4.3
5.9,23.6,26.5,24,11.4,3.5
9.9,42.1,37.8,25.7,11,4
13.6,29.7,40,31.1,11.4,4.2
7.8,38.2,30,45.8,7.3,3.4
6.2,16.2,32,36.8,12.1,2.3
4.8,35.9,35.1,27.4,10.2,5.7
7.6,30.5,34.6,31.5,11.6,2.2
7,41.1,37.4,30.1,11.3,2.2
6.9,49.4,31.4,30.4,7.4,3.7
5.6,35.6,32.4,26.6,10,7.2
8.8,44.7,40.6,37.3,8.2,3.6
9.5,37.4,35.3,25.1,11.6,4.4
9.8,33.5,31.9,45.1,5.7,1.6
7.3,29.7,41,46.2,10.6,3
6.9,29.6,28.9,51.2,10.8,2.8
9.6,35.3,39.5,44.7,12.3,3.1
3.9,54.3,28.4,35.7,15.8,4
4.5,36,30.2,36.1,8.2,2.6
5.1,37.9,39.6,36.5,9.7,4.7
11,29.5,38.3,32.7,12.1,3.7
5.5,38.1,36,32.7,7.3,4.7
6.8,40.6,37.9,28.2,9.6,2.5
6.1,30.8,33.3,45,8.7,3.5
6.6,25.6,36.7,43.4,6.2,2.2
8.5,52.3,33.2,36,7.6,3.7
7.9,33.5,33,46.9,9.5,4.4
7.4,40.5,29.7,40.7,11.2,6.5
9.3,27.7,34.1,28.2,11.8,3.5
5.5,30.8,28.6,47.6,6.9,5.8
5.8,35.3,20.4,31.2,6.2,3.1
5.3,41,35.6,30.2,6.4,4.9
6.4,36.3,40.2,29.5,10,4.3
6,48.2,33.1,36,7,2.1
8.3,35.6,30.8,41.9,7.9,2.9
6,37.9,36.9,42.4,8.6,3.7
6.8,25.6,35.4,26.1,10.2,2.2
4.8,44.2,34.2,33.2,10.6,3.6
6.3,32.4,29.8,26.1,8.4,3.3
5.4,41.2,38.2,35,5.7,4.2
7.3,31.8,37,27.9,10.5,5.8
7.7,37.4,32.5,50.8,11.6,3
6.9,39.6,31.8,55.5,12.3,1.6
9,36.3,39.6,38.9,10.4,3.6
9.5,28.1,30.4,41.7,8,3.1
7.2,42.9,36.1,35.6,7.5,3.3
4.7,41.7,39.3,28.2,7.5,7.2
10.1,41.8,34.1,30.7,10.3,2.9
4,52,31.7,28.9,17.2,6.8
4.5,36.8,33.2,32.5,11.1,3.2
6.6,53.8,36.8,39.5,10.9,2.6
6,54.9,29.8,27.6,8.2,7.4
4.6,56.6,34.3,40.3,8.2,3.3
4.5,39,23.6,30.1,11.3,5
5.8,14.9,34.6,37.3,9.7,5.3
11.3,50.1,38.6,46.3,10.5,3.1
7,38.7,30.8,46.6,7.1,3
5.4,48,30,30.3,9.9,2.7
6.7,29.9,37.5,30.4,7.8,4.5
8.4,34.8,28.4,25.4,1,4.1
6,42.5,35.8,33.2,7.9,7.7
9.1,23,32.2,33.3,6.4,3.5
4.3,36.8,29.8,26.6,13.8,2.2
5.8,41.2,37,36.5,7.5,3.5
9.8,35.8,36.8,33.9,10.7,1.1
11.8,40.3,36,32.7,7.3,2.9
5.1,43.2,35.4,24.1,8.4,2.1
7.5,42,27.4,31.6,7.4,3.5
6.5,55,35.7,33.8,16.2,2.7
6.3,31,35.2,35.6,9.9,3.1
9.1,33.2,27.5,44.1,9,2.1
6.3,37.7,36,29.9,11.3,3.2
8.6,49.5,28.7,39.8,10.6,3.8
5.9,31.3,24,45,12.3,2.8
10.3,35.4,34.7,41.2,11.4,3.1
6.7,37.5,34.6,45.2,14.4,2.7
9.4,42.6,37.5,30.8,8.4,6.9
4.4,46.3,35.1,31.9,5,7.4
7.2,32,33,25.8,7.6,2.1
5.5,38.8,34,27.1,11.9,6.1
9,37.5,31.9,27.9,10.4,6.5
7.2,33.1,33.6,24.7,6.7,2.7
6.2,46.9,33.5,36,8.2,2.4
5.8,58.2,31.5,44.2,8.6,3
5.5,36.6,33.5,34.8,7,3.3
6.1,41,32,27.2,7.4,2.8
6.5,36.2,34.2,39.2,8.9,4.1
6.1,32.4,28.3,34.1,9.3,1.9
7.3,36.9,35.2,33.5,7.6,3.8
6.9,34.2,36.6,28.3,5,4.1
9.2,33.9,41.5,37.1,6.1,3.5
6.2,38.7,32.9,34.4,8.3,3.5
7,37.8,37.7,39.6,9,3.3
5.9,31.4,23.3,36.5,6.8,3.7
7.3,43.5,40.6,26.7,5.6,3.8
9.3,26.7,25.8,29,6.8,1.4
8.1,24.6,31.9,48.2,5.8,3.4
4.7,37.2,39.5,26.8,6.6,2.6
8.2,37.1,31.2,43.8,7.2,1.6
5.2,43,37.1,42.5,6.5,2.6
9,55.4,31.7,31,13,3.1
7.3,32.1,39.5,29.8,11.8,3.5
4.1,30.2,39.5,29.2,11.3,2.9
6.5,30.9,39.1,32.3,10.9,3.5
7.2,37.8,29.8,30.1,13.6,2.3
8.6,36.3,34.3,42.6,17.2,3.3
5.1,46.2,34.6,30.4,10.3,2.3
6.1,37,29.1,32.1,11.7,2.7
9.3,34.5,35.7,28.4,16.2,3.4
9,41.6,32.3,37.1,9.9,8.9
4.7,31.6,25.6,29.8,11.6,5.2
7.9,27.3,29.5,23.5,17.8,3
5,42.6,35.3,31.7,13.2,6.2
7.3,27.5,33.7,33.3,15.3,4.3
10.3,38.1,31.2,29,15.3,4.2
7.5,49.8,36,38.5,9.9,2.1
6.9,44.6,36.5,42.3,11.3,8.2
5.1,25.8,37.1,37.8,14.3,2
5.1,43.3,31.1,48.2,10.2,3.6
2.1,32.7,35.6,28.6,9.9,3.3
7.4,53.5,34.2,31.2,8.4,3.5
7.2,37.9,34.3,27.8,10.8,3.5
5.2,52.8,35.4,34.6,10.6,1.4
5.8,41.6,35.5,49.8,12.8,3.8
11,35.9,31.7,36.9,13.8,3.7
5.6,37.7,30.3,27.1,12.6,5.2
10.1,35.1,33.5,29.8,14.7,6.3
5.7,39.2,35.9,41.2,20.5,4.5
6.9,47.5,40.2,43.5,12.2,0.7
8.3,28.9,32.8,49,14.7,2
3.5,40.6,29.8,30.8,6.9,4.1
7,33,38.5,28.9,6.2,2.8
10.9,57.1,36.7,28.3,11.7,2.2
7.2,33.2,15.5,45.4,13.6,2.9
7.6,42.7,37.5,50.4,8.9,7.1
5.6,38.7,35.1,25.6,12.2,2.7
6.8,34,30.1,38.8,7.5,5.3
8.5,46.1,37.6,30.5,9.1,5.3
7.7,27.8,35.3,26.9,8.6,2.2
9,40.5,33,31.6,9.2,5.8
9.8,35.3,33.2,28.2,9.6,2.2
11.1,37.2,33.8,25.6,11.9,2.8
6,30,35.2,36.2,8.6,1.7
4.8,41.8,34.5,30.3,9.4,2.5
4.5,24.6,37.1,26.2,13.6,2.6
7.3,38.4,31.1,50.7,5.3,6.6
5.2,36.2,38.4,37,14,3.7
6.5,42.5,31.3,25.1,6.2,4
