HD_M_Value,HBP_M_Value,HC_M_Value,OB_M_Value,DB_M_Value,Target_Value
4.2,30.3,31.8,44.9,6.6,2
5.3,60.1,36.2,27.8,7.3,4.6
7.6,50.8,33.7,24.1,8.5,2.1
9.9,56.7,25.3,47,9,2.8
8.7,52.9,32.7,35.2,8.5,3.1
9.8,37.2,35,38.5,10,2.5
8.1,38.2,37,28.1,9.8,3.8
10.1,31.8,29.8,28,11.3,11.7
6,59.7,25.2,38.7,13,1.4
11,33.8,36.8,25.6,9.9,1.9
4.9,39.4,35.2,35.2,5.2,3.6
7.8,27.7,33.7,29.7,7.5,3.8
5.9,30.6,37.6,46.3,8.7,1.9
3.6,47.1,27,46.5,7.6,2.2
3.1,22.2,40.2,34,5.4,7.5
9.3,28.8,28.5,37.5,9.8,2.7
6.5,35.8,27.5,29.4,9.2,1.8
9.6,26.4,29.3,35,9.4,6.3
5.4,39.7,42.4,28.1,7.8,4.7
3.7,49.5,34.5,26.2,6.9,9.2
6.6,37.7,38.3,26.1,8.3,1.8
4.2,45.2,28.6,31,7.1,2.6
3.8,41.6,37,25.6,6.7,2.6
5.8,30.9,32.7,29.8,12.3,1.7
12.2,39.3,36.6,28.8,9.4,3.5
6.2,42.7,30.3,25.8,10.3,3
5,36.6,20.2,42.9,9.3,6.8
7.6,53.1,32.2,33.9,7.9,2.8
7.3,54.1,28.2,36.1,6.3,6.2
1.8,30.5,34.1,46.2,10.4,2.3
7.5,54.1,32.4,35.7,7.9,2.9
6,14,37,41.1,7.8,2.7
3.4,48.7,28.3,26.6,8.3,5
3.7,53.1,34.4,40,12.5,3.4
8.9,28.1,34.5,35.4,7.9,8.7
7.7,33,29.1,36.2,7.6,2.4
5.1,41.5,30.2,47,8.4,2.2
6,37.9,37.8,31.3,7.9,4.1
9.4,31.1,26.3,43.1,7.3,4.4
12.8,43.2,39.9,28.9,5.4,2
3.6,39,25.6,26,8.6,5.7
9.9,29.7,38.2,25.7,9.8,4.2
8.6,49.3,33.1,28.7,5.7,2.9
11.7,41,28.1,31.8,5.9,1.9
7.3,51.6,27.5,25.9,10.4,6.6
9.8,48.6,33.9,29.4,8.5,1.9
6.4,51.3,34.9,46.4,5.3,3.7
5.5,45.8,31.1,49.2,7.8,3.6
5,57.4,34.7,32.2,9.7,5.5
5.8,27.6,28.8,38.3,3.7,7.4
3.8,48.2,37.1,26.6,5.2,2.9
5.2,38.7,27.9,34.4,8.9,1.3
0.6,31,26.4,27.7,4.4,2.9
6.9,30.9,27.5,28.2,7.4,2
1.8,22.2,37.9,33.2,10.1,1.3
5.5,39.3,38.2,42.9,9.2,9
4.9,46.7,24.2,44.4,7.3,2.2
8.6,50.4,30.8,33.5,8.2,2.3
9.5,32.1,30,25.7,9.5,4.3
8.6,36.7,22.6,25.2,7.5,3.1
2.3,29.1,30.3,25.7,6,2
5.2,49.3,43,34.8,10.9,2.1
7.3,10.8,30.8,31.2,10,2.4
6.1,44.8,34.8,34.9,8.9,2.5
8.3,38.3,31.9,42.7,6.5,8.1
4,56.3,31.3,54.4,8.5,5.7
7.5,50.4,34.9,28.1,7.4,2
8.4,42.7,27.9,37,4.8,1.6
7.1,28.3,32.8,26.1,7.1,5.2
5.3,57.3,34.4,31.6,8.3,4.5
7.7,29.6,27.9,43,9.1,2.2
4.2,35.4,31.4,32.3,6.7,5.1
7.4,61.4,31.6,37.1,6.9,1.2
6,53.7,25.7,36.5,5.4,1.9
3.5,29.9,30.6,30.9,5.9,5.4
5.9,42.9,34.6,46,8.1,2.6
4.1,33.3,30.9,33.8,9.2,5.2
5.6,37.8,50,35.2,7,4.2
5.7,44.3,26.4,24.5,5.8,2.5
10.6,43.3,43.4,31.9,5,2.5
5.9,47.6,25.3,46,12,2.4
7.7,46.3,33.6,36.1,10.7,6.2
3.6,37.7,30.7,28.7,10.9,7.4
1.9,57,31.2,39.9,13.3,4.4
10.1,21.9,28.6,28.6,13.2,3.2
11.1,29.9,27.1,39.2,9.6,2
5,28.4,30,26.7,11.2,2
8.5,30.9,33,26.8,9.9,3.1
3.2,56.2,30.3,27,12,2.1
7.3,37.5,32,24.8,10.7,2.6
7,54.8,26.5,24.8,13.3,3.1
11.3,58.6,25.9,25.1,14,3.3
8.8,45.6,30.3,30.3,12.3,3.4
10.1,55.2,35.1,28.9,10.7,2.7
7.6,42.7,27.7,35.2,12,2.2
10.9,58.6,32.2,37.5,10.5,2.1
7.5,56.2,33.9,33.5,12.4,1.5
8.4,52.8,32.7,34.1,10.1,2.7
9.3,59.9,32.3,26.7,12.1,1.8
9.2,45.3,28.4,35.4,11.2,2.1
3.4,30.8,32.3,26.1,6.5,1.6
4.3,54.1,25,35.9,6.6,3.8
5.9,49.6,31.3,30.2,10.1,2.2
7.5,31.7,28.9,41.5,7.4,0.6
6.1,50.2,24.8,27.3,9.5,2.5
8.2,41.6,29.6,27.4,8.4,3.3
7.2,47.7,34.7,25.5,7.3,1.9
10.9,37.6,32.5,37.6,7,4.9
6.2,47.5,25.9,40.5,6.8,3.6
7,39.8,32.3,28.8,8.4,2.2
6.2,31.7,30.8,24.3,6.3,2.1
6.2,54.7,32.3,27.1,12.3,2.1
7.9,38.9,28.4,26.9,9.9,3.4
7.8,42.8,27.3,36.5,10.6,2.9
4.9,32.1,33.5,34.5,12.7,2
6.2,57.2,28.5,29.4,10.1,3.8
6.6,38.9,25,25.9,14,2.6
9.5,40,31.7,39,12.4,2.8
9.9,42.9,25.2,31.2,16.8,2.4
1.5,16.5,31.5,31.7,11,2.6
9.2,53.8,34,39.2,15.9,2.7
9.5,35.9,20.1,37.4,15.1,2.5
6.1,50.5,34.5,26.8,12.2,1.3
7.3,43.3,32.7,41.9,7.3,1.9
4,48.3,30.7,36.6,10.2,3.7
8.3,34.5,37.7,38.6,15.7,2.6
5.4,51.5,30.1,26.6,18.3,3.9
5.2,28.2,36.7,22.9,13.7,2.5
5.2,32.8,24.6,24.1,12.8,2.1
6,40.8,34.2,24.6,15.7,2.3
9.8,37.3,38.6,31.1,15.6,2.2
5.6,40,30.3,25.1,13.8,2.6
2.8,34.1,23.4,36.1,14,3.3
5.6,51.3,29.7,25.4,12.9,3.5
7.4,50,29.5,24.7,13.1,2.3
8.6,36,27.7,31.6,14.6,3.1
9.2,39.4,31.8,30.7,10.5,2
4.8,36,30.8,22.9,11.6,1.5
5.5,40.6,24.1,33.4,17.2,3.1
9.4,34.2,32.1,38.3,12.5,2.5
6,34.8,27.4,35.9,9.2,2.3
4.6,47.7,31.8,31,10.2,2.7
8,40.5,30,30.1,7.6,3
4.2,19.5,31.2,26.7,16.3,2.9
4.9,30.8,27.5,30,8.3,2.7
6.8,24,36.7,24,8.4,3.1
9,35.1,31.8,34.3,10.3,2.4
5.7,29.8,48.6,41,13.4,5.4
5.9,41.5,33.2,30.5,10.7,1.8
4,32.7,30.7,29.5,11.5,2.3
3.8,42.2,28.5,28.1,10.7,1.7
7.7,35.6,32.6,26.9,11.5,2.6
8.4,55.5,27.6,38.1,10.2,3.7
6.3,55.2,31.7,34.2,11.6,3
6.5,44.7,32.2,33.7,15.7,2.4
6.2,37.4,30.2,41.3,10,3.2
6.2,29.1,30.1,33.4,9.1,2.6
7.4,37,29.2,35.2,15.2,2.8
5,38.8,29.7,27.9,12.4,3.4
4.6,47.8,33.4,31.3,7.9,1.5
4.2,23.9,28.6,25.7,14.9,1.9
5.2,31.8,31.6,25.5,9.8,2.6
6.6,34.1,33.2,33.3,8.2,3.3
6.4,33,23,26.7,9.6,2.3
9.3,22.6,33.1,26.4,11.8,2.8
5.3,30.3,29.9,25.4,15.7,3.6
4.9,29.3,50.2,25.5,9.4,3.2
6.4,40.4,34.4,32.5,17.7,1.7
2.8,42.6,32.5,27.1,20.7,2.8
6.6,29.7,33.5,28.3,10.3,3.2
4.8,29.8,25.3,30.1,9.9,1.8
3.2,25.3,29.9,30.9,10.6,3.5
5.7,33.7,31.8,32.6,17.6,2.4
8,34.1,34.7,22.9,9,1.5
5.9,55.3,31.7,25.2,18.9,3.4
6.6,34.8,26.9,25.9,19.4,3.3
