StkCity,StkMean,StkLowFid,StkHighFid,StkMeanByUS,StkRelByUS,Stk_Lat,Stk_Log
Stk_AL_Birmingham,5.60,4.90,6.30,3.2,0.80,33.47293849,-86.95473376
Stk_AL_Mobile,5.00,4.60,5.40,3.2,0.60,30.71566407,-88.19881464
Stk_AL_Huntsville,2.70,2.30,3.10,3.2,-0.17,34.63506927,-86.52820606
Stk_AL_Birmingham,7.30,6.40,8.30,3.2,1.37,33.46986914,-86.8742906
Stk_AL_Montgomery,5.80,5.40,6.30,3.2,0.87,32.39721293,-86.28465131
Stk_AL_Birmingham,2.80,2.60,3.10,3.2,-0.13,33.4989064,-86.78269914
Stk_AL_Birmingham,1.80,1.50,2.10,3.2,-0.47,33.44437094,-86.84053526
Stk_AL_Huntsville,1.00,1.00,1.00,3.2,-0.73,34.67865999,-86.69424823
Stk_AL_Hoover,2.60,2.30,2.90,3.2,-0.20,33.39849466,-86.79889143
Stk_AL_Birmingham,1.00,1.00,1.00,3.2,-0.73,33.59674419,-87.08793969
Stk_AL_Mobile,3.70,3.30,4.10,3.2,0.17,30.68687358,-88.06021802
Stk_AL_Montgomery,7.20,6.30,8.20,3.2,1.33,32.30767429,-86.34355454
Stk_AL_Montgomery,7.60,7.10,8.10,3.2,1.47,32.36846008,-86.33918514
Stk_AL_Huntsville,3.70,3.20,4.20,3.2,0.17,34.75967373,-86.54761956
Stk_AL_Tuscaloosa,1.50,1.30,1.70,3.2,-0.57,33.21338305,-87.5571352
Stk_AL_Hoover,2.40,2.10,2.80,3.2,-0.27,33.40198065,-86.85034357
Stk_AL_Mobile,3.10,2.80,3.40,3.2,-0.03,30.67184916,-88.1996782
Stk_AL_Montgomery,2.80,2.60,3.10,3.2,-0.13,32.35119843,-86.16429574
Stk_AL_Huntsville,2.70,2.40,3.10,3.2,-0.17,34.6560828,-86.52895427
Stk_AL_Tuscaloosa,2.80,2.60,3.20,3.2,-0.13,33.15946663,-87.49041697
Stk_AL_Huntsville,5.40,5.00,5.90,3.2,0.73,34.71784062,-86.60623346
Stk_AL_Montgomery,6.40,5.70,7.10,3.2,1.07,32.42693676,-86.28262631
Stk_AL_Mobile,4.80,4.50,5.20,3.2,0.53,30.64429553,-88.1118639
Stk_AL_Hoover,2.50,2.20,2.80,3.2,-0.23,33.38462648,-86.76064777
Stk_AL_Birmingham,1.10,0.90,1.20,3.2,-0.70,33.42586612,-86.71381936
Stk_AL_Tuscaloosa,2.20,1.90,2.50,3.2,-0.33,33.28952273,-87.49558692
Stk_AL_Mobile,1.00,1.00,1.00,3.2,-0.73,30.83094223,-88.0463571
Stk_AL_Birmingham,3.80,3.40,4.20,3.2,0.20,33.61594364,-86.65578925
Stk_AL_Mobile,2.90,2.60,3.30,3.2,-0.10,30.68277338,-88.18063037
Stk_AL_Mobile,3.70,3.20,4.20,3.2,0.17,30.64346087,-88.14379685
Stk_AL_Montgomery,2.10,1.90,2.40,3.2,-0.37,32.31528184,-86.177661
Stk_AL_Tuscaloosa,4.80,4.30,5.40,3.2,0.53,33.1932758,-87.58328445
Stk_AL_Montgomery,6.20,5.40,7.10,3.2,1.00,32.34070932,-86.33540582
Stk_AL_Huntsville,3.00,2.60,3.50,3.2,-0.07,34.7319277,-86.54104816
Stk_AL_Huntsville,4.50,4.00,4.90,3.2,0.43,34.74357584,-86.62105795
Stk_AL_Tuscaloosa,1.80,1.60,2.00,3.2,-0.47,33.19579303,-87.5354837
Stk_AL_Mobile,5.40,4.90,5.90,3.2,0.73,30.58797455,-88.09021692
Stk_AL_Birmingham,1.00,1.00,1.00,3.2,-0.73,33.54840781,-86.63237735
Stk_AL_Birmingham,6.30,5.70,6.90,3.2,1.03,33.52787677,-86.86041617
Stk_AL_Hoover,3.80,3.10,4.60,3.2,0.20,33.41398238,-86.68875661
Stk_AL_Birmingham,7.60,6.70,8.50,3.2,1.47,33.51324989,-86.83004749
Stk_AL_Birmingham,4.80,4.30,5.30,3.2,0.53,33.59716231,-86.67667364
Stk_AL_Birmingham,3.80,3.20,4.40,3.2,0.20,33.5571951,-86.8777935
Stk_AL_Hoover,2.00,1.80,2.40,3.2,-0.40,33.35860193,-86.79211659
Stk_AL_Huntsville,3.20,2.80,3.80,3.2,0.00,34.66137508,-86.56325123
Stk_AL_Huntsville,2.00,1.80,2.20,3.2,-0.40,34.7808033,-86.74097179
Stk_AL_Mobile,7.20,6.40,8.10,3.2,1.33,30.65687851,-88.0688374
Stk_AL_Mobile,2.10,1.90,2.30,3.2,-0.37,30.67662003,-88.21882423
Stk_AL_Hoover,2.20,2.00,2.60,3.2,-0.33,33.43121367,-86.82287824
Stk_AL_Hoover,3.00,2.60,3.60,3.2,-0.07,33.40999055,-86.6692094
Stk_AL_Montgomery,3.50,3.20,3.70,3.2,0.10,32.39334336,-86.19957683
Stk_AL_Mobile,2.20,1.90,2.50,3.2,-0.33,30.69863167,-88.13620017
Stk_AL_Birmingham,2.70,2.40,2.90,3.2,-0.17,33.52138736,-86.74900313
Stk_AL_Huntsville,4.50,4.00,5.10,3.2,0.43,34.72992685,-86.58597093
Stk_AL_Birmingham,7.30,6.50,8.20,3.2,1.37,33.53729934,-86.80365905
Stk_AL_Huntsville,3.00,2.60,3.50,3.2,-0.07,34.63659183,-86.55271656
Stk_AL_Tuscaloosa,4.20,3.60,4.70,3.2,0.33,33.2137806,-87.44423234
Stk_AL_Mobile,8.20,7.20,9.20,3.2,1.67,30.7055497,-88.0663775
Stk_AL_Montgomery,7.20,6.30,8.00,3.2,1.33,32.36349242,-86.30812648
