,States,City,DiagPer100k,PopCountByMM
17584,NY,New York,8.0,"4,785"
17585,NY,New York,11.1,"4,348"
17586,NY,New York,11.7,"2,027"
17587,NY,New York,11.9,"5,240"
17588,NY,New York,16.1,"6,123"
17589,NY,New York,11.3,"6,743"
17590,NY,New York,8.5,"3,139"
17591,NY,New York,14.2,"3,236"
17592,NY,New York,8.5,"1,358"
17593,NY,New York,8.3,"2,481"
17594,NY,New York,12.5,"3,273"
17595,NY,New York,11.9,"2,766"
17596,NY,New York,11.1,"3,147"
17597,NY,New York,12.8,"5,598"
17598,NY,New York,12.3,"1,264"
17599,NY,New York,12.3,"2,975"
17600,NY,New York,10.5,"8,196"
17601,NY,New York,5.6,"6,380"
17602,NY,New York,8.7,"7,388"
17603,NY,New York,11.3,"4,284"
17604,NY,New York,12.4,"3,422"
17605,NY,New York,10.6,"3,836"
17606,NY,New York,11.1,"2,137"
17607,NY,New York,13.8,"4,340"
17608,NY,New York,11.2,"3,531"
17609,NY,New York,12.7,"8,521"
17610,NY,New York,13.1,"1,452"
17611,NY,New York,11.5,"3,296"
17612,NY,New York,11.4,"2,907"
17613,NY,New York,14.4,"8,478"
17614,NY,New York,19.1,"4,544"
17615,NY,New York,4.7,"4,875"
17616,NY,New York,8.5,"2,474"
17617,NY,New York,11.7,"10,149"
17618,NY,New York,11.6,"4,263"
17619,NY,New York,8.2,"3,907"
17620,NY,New York,13.9,"3,647"
17621,NY,New York,7.8,"6,372"
17622,NY,New York,6.1,"2,189"
17623,NY,New York,11.2,"2,055"
17624,NY,New York,7.5,"2,505"
17625,NY,New York,12.5,"2,339"
17626,NY,New York,13.5,"3,914"
17627,NY,New York,9.1,"3,572"
17628,NY,New York,8.2,"2,796"
17629,NY,New York,13.2,"1,579"
17630,NY,New York,15.8,"5,488"
17631,NY,New York,16.5,"5,283"
17632,NY,New York,8.6,"8,306"
17633,NY,New York,11.6,"6,008"
17634,NY,New York,14.5,"5,279"
17635,NY,New York,12.6,"5,368"
17636,NY,New York,9.5,"3,595"
17637,NY,New York,9.7,"1,675"
17638,NY,New York,10.7,"2,539"
17639,NY,New York,11.3,"4,395"
17640,NY,New York,10.1,"3,254"
17641,NY,New York,10.6,"3,292"
17642,NY,New York,10.4,"3,258"
17643,NY,New York,12.7,322
17644,NY,New York,13.4,"1,663"
17645,NY,New York,10.7,"3,791"
17647,NY,New York,5.4,"12,774"
17648,NY,New York,6.0,"3,421"
17649,NY,New York,17.1,"3,142"
17650,NY,New York,14.2,"3,991"
17651,NY,New York,15.1,"5,415"
17652,NY,New York,6.8,"8,989"
17653,NY,New York,13.1,"2,690"
17654,NY,New York,8.1,"1,708"
17655,NY,New York,19.0,"2,164"
17656,NY,New York,15.4,"4,502"
17657,NY,New York,13.2,"1,818"
17658,NY,New York,14.7,"5,339"
17659,NY,New York,9.5,"4,611"
17660,NY,New York,13.5,"6,418"
17661,NY,New York,9.4,"5,308"
17662,NY,New York,12.3,"7,039"
17663,NY,New York,9.0,"1,351"
17664,NY,New York,8.0,"3,223"
17665,NY,New York,6.4,"4,511"
17666,NY,New York,9.6,"3,042"
17667,NY,New York,12.3,"3,313"
17668,NY,New York,16.9,"6,585"
17669,NY,New York,7.5,"8,490"
17670,NY,New York,12.8,"3,979"
17671,NY,New York,8.1,"1,818"
17672,NY,New York,5.1,"4,492"
17673,NY,New York,13.3,"7,564"
17674,NY,New York,15.3,"2,635"
17675,NY,New York,10.9,"4,100"
17676,NY,New York,22.9,"5,610"
17677,NY,New York,12.3,"1,769"
17678,NY,New York,20.0,"1,755"
17679,NY,New York,9.2,"6,151"
17680,NY,New York,16.8,"7,642"
17681,NY,New York,11.4,"5,090"
17682,NY,New York,4.2,"1,806"
17683,NY,New York,8.2,"5,826"
17684,NY,New York,11.0,"1,202"
17685,NY,New York,8.6,73
17686,NY,New York,10.4,"6,369"
17687,NY,New York,12.2,"6,332"
17688,NY,New York,12.8,"5,128"
17689,NY,New York,12.1,"2,222"
17690,NY,New York,9.2,"6,735"
17691,NY,New York,13.4,"3,816"
17693,NY,New York,4.6,"3,359"
17694,NY,New York,10.4,"1,978"
17695,NY,New York,9.0,"6,031"
17696,NY,New York,3.9,"1,945"
17697,NY,New York,10.9,"3,619"
17698,NY,New York,8.6,"5,890"
17699,NY,New York,17.7,"6,547"
17700,NY,New York,11.2,"1,597"
17701,NY,New York,19.7,"2,802"
17702,NY,New York,13.2,"4,028"
17703,NY,New York,9.0,"3,498"
17704,NY,New York,5.2,"1,904"
17705,NY,New York,12.5,"3,587"
17706,NY,New York,7.7,"4,973"
17707,NY,New York,10.8,"3,847"
17708,NY,New York,11.7,"8,304"
17709,NY,New York,13.7,"4,064"
17710,NY,New York,14.8,"3,891"
17711,NY,New York,17.2,"6,019"
17712,NY,New York,11.8,"4,037"
17713,NY,New York,5.9,"3,936"
17714,NY,New York,11.1,"2,578"
17715,NY,New York,13.0,"3,380"
17716,NY,New York,7.2,"1,554"
17717,NY,New York,8.2,"2,059"
17718,NY,New York,9.5,"2,559"
17719,NY,New York,12.9,"1,540"
17720,NY,New York,8.3,"1,453"
17721,NY,New York,10.0,"5,689"
17722,NY,New York,9.2,"3,252"
17723,NY,New York,4.8,"4,159"
17724,NY,New York,15.9,"4,573"
17725,NY,New York,10.5,"3,250"
17726,NY,New York,11.5,"3,674"
17727,NY,New York,13.0,"6,126"
17728,NY,New York,6.4,"9,350"
17729,NY,New York,14.1,"2,412"
17730,NY,New York,10.1,"4,413"
17731,NY,New York,12.4,"4,281"
17732,NY,New York,5.0,"5,542"
17733,NY,New York,10.4,"1,915"
17734,NY,New York,14.2,"3,217"
17735,NY,New York,12.8,"1,583"
17736,NY,New York,12.5,"6,863"
17737,NY,New York,11.1,"3,000"
17738,NY,New York,10.3,"2,615"
17739,NY,New York,11.3,"8,300"
17740,NY,New York,13.3,"1,597"
17741,NY,New York,10.9,"7,485"
17742,NY,New York,14.9,"6,006"
17743,NY,New York,14.9,"4,587"
17744,NY,New York,9.6,"3,780"
17745,NY,New York,15.8,"6,427"
17746,NY,New York,14.4,"7,835"
17747,NY,New York,16.9,"3,893"
17748,NY,New York,15.1,"2,257"
17749,NY,New York,11.0,"2,829"
17750,NY,New York,5.4,"2,603"
17751,NY,New York,9.9,"1,579"
17753,NY,New York,8.2,"2,388"
17754,NY,New York,7.0,"2,867"
17755,NY,New York,6.8,"3,598"
17756,NY,New York,12.9,"4,304"
17757,NY,New York,14.4,"2,829"
17758,NY,New York,8.4,"5,307"
17759,NY,New York,14.8,"2,526"
17760,NY,New York,8.8,"2,120"
17761,NY,New York,8.5,"1,076"
17762,NY,New York,13.9,"1,790"
17763,NY,New York,14.1,"8,938"
17764,NY,New York,9.9,"1,326"
17765,NY,New York,15.2,"6,106"
17766,NY,New York,14.2,"1,830"
17767,NY,New York,11.3,"5,331"
17768,NY,New York,8.7,"3,461"
17769,NY,New York,11.2,"1,355"
17770,NY,New York,9.5,"3,454"
17771,NY,New York,11.0,"3,681"
17772,NY,New York,9.7,"2,455"
17773,NY,New York,8.0,"8,866"
17775,NY,New York,5.6,"3,041"
17776,NY,New York,13.4,"6,740"
17777,NY,New York,15.1,"4,031"
17778,NY,New York,8.3,"4,195"
17779,NY,New York,13.2,"4,398"
17780,NY,New York,17.4,"2,886"
17781,NY,New York,10.5,"2,324"
17782,NY,New York,8.3,"1,945"
17783,NY,New York,12.9,"2,743"
17784,NY,New York,10.3,"1,209"
17785,NY,New York,4.2,751
17786,NY,New York,5.3,"3,322"
17787,NY,New York,5.4,"3,255"
17788,NY,New York,7.9,"6,463"
17789,NY,New York,10.6,"3,386"
17790,NY,New York,14.4,"1,420"
17791,NY,New York,17.1,"7,143"
17792,NY,New York,10.9,"5,619"
17793,NY,New York,15.4,"3,710"
17794,NY,New York,11.4,"1,899"
17795,NY,New York,13.4,"3,250"
17796,NY,New York,9.2,"2,635"
17797,NY,New York,11.7,"2,740"
17798,NY,New York,11.9,"2,794"
17799,NY,New York,12.6,"2,303"
17800,NY,New York,5.5,"3,075"
17801,NY,New York,14.5,"2,481"
17802,NY,New York,11.8,"2,750"
17803,NY,New York,10.5,"2,032"
17804,NY,New York,16.6,"2,711"
17805,NY,New York,13.6,"3,300"
17806,NY,New York,5.3,"7,026"
17807,NY,New York,15.1,"2,868"
17808,NY,New York,16.7,"3,154"
17809,NY,New York,10.4,"3,193"
17810,NY,New York,6.7,"1,478"
17811,NY,New York,6.3,"2,332"
17812,NY,New York,12.4,"5,065"
17813,NY,New York,6.8,"2,289"
17814,NY,New York,10.5,"5,495"
17815,NY,New York,10.7,"1,966"
17816,NY,New York,14.9,"1,201"
17817,NY,New York,8.1,"2,736"
17818,NY,New York,8.2,"4,321"
17819,NY,New York,10.3,"2,016"
17820,NY,New York,10.3,"5,720"
17821,NY,New York,11.8,"2,967"
17822,NY,New York,13.7,"2,414"
17823,NY,New York,9.1,56
17824,NY,New York,3.6,"3,040"
17825,NY,New York,7.8,"5,811"
17826,NY,New York,11.6,"4,645"
17827,NY,New York,16.3,"2,253"
17828,NY,New York,10.4,"2,510"
17829,NY,New York,8.8,"6,330"
17830,NY,New York,5.3,"3,017"
17831,NY,New York,11.8,"4,573"
17832,NY,New York,10.6,"1,464"
17833,NY,New York,14.6,"5,873"
17834,NY,New York,8.9,"2,220"
17835,NY,New York,12.1,"2,319"
17836,NY,New York,13.5,"2,594"
17837,NY,New York,10.9,"4,228"
17838,NY,New York,13.7,"1,537"
17839,NY,New York,17.6,"3,827"
17840,NY,New York,11.2,"2,105"
17841,NY,New York,8.6,"3,307"
17842,NY,New York,14.2,"1,931"
17843,NY,New York,10.4,"2,303"
17844,NY,New York,9.8,"4,446"
17845,NY,New York,12.8,"2,423"
17846,NY,New York,9.3,"1,657"
17847,NY,New York,9.6,"4,116"
17848,NY,New York,7.6,"1,371"
17849,NY,New York,11.5,"3,456"
17850,NY,New York,12.5,"4,353"
17851,NY,New York,8.5,"1,730"
17852,NY,New York,12.7,"6,617"
17853,NY,New York,12.4,"4,210"
17855,NY,New York,10.5,"3,575"
17856,NY,New York,11.9,"3,090"
17857,NY,New York,11.1,"3,897"
17858,NY,New York,11.2,"3,487"
17859,NY,New York,13.6,"3,850"
17860,NY,New York,14.0,"4,013"
17861,NY,New York,11.5,"2,912"
17862,NY,New York,13.4,"1,722"
17863,NY,New York,8.9,"3,450"
17864,NY,New York,3.8,"4,172"
17865,NY,New York,11.4,"3,946"
17866,NY,New York,11.6,"2,698"
17867,NY,New York,11.8,"4,120"
17868,NY,New York,11.1,"4,180"
17869,NY,New York,10.1,"1,533"
17870,NY,New York,4.9,"5,429"
17871,NY,New York,13.0,"6,382"
17872,NY,New York,7.1,"2,910"
17873,NY,New York,18.0,"3,931"
17874,NY,New York,11.8,"1,338"
17875,NY,New York,7.8,"3,207"
17876,NY,New York,13.1,"4,033"
17877,NY,New York,10.8,"3,384"
17878,NY,New York,16.4,"5,643"
17879,NY,New York,4.9,"5,650"
17880,NY,New York,13.3,"4,206"
17881,NY,New York,13.2,"3,228"
17882,NY,New York,12.6,"4,163"
17883,NY,New York,11.5,"5,257"
17884,NY,New York,10.3,"6,218"
17885,NY,New York,12.5,"1,053"
17886,NY,New York,4.8,117
17887,NY,New York,14.1,"3,054"
17889,NY,New York,9.2,"3,574"
17890,NY,New York,13.3,"1,983"
17891,NY,New York,12.6,"2,927"
17892,NY,New York,7.5,"1,762"
17893,NY,New York,7.8,"4,741"
17894,NY,New York,13.1,"3,067"
17895,NY,New York,4.1,"3,318"
17896,NY,New York,11.9,"4,425"
17897,NY,New York,15.3,"3,451"
17898,NY,New York,5.0,"3,301"
17899,NY,New York,5.2,"1,964"
17900,NY,New York,7.6,"3,025"
17901,NY,New York,13.8,"3,415"
17903,NY,New York,10.4,"1,960"
17904,NY,New York,13.9,"1,752"
17905,NY,New York,8.3,"4,527"
17906,NY,New York,10.4,"2,449"
17907,NY,New York,3.5,"3,364"
17908,NY,New York,12.3,"1,663"
17909,NY,New York,10.9,"7,628"
17910,NY,New York,8.9,"4,362"
17911,NY,New York,18.3,"3,834"
17912,NY,New York,5.6,"3,749"
17913,NY,New York,18.9,"3,216"
17914,NY,New York,7.8,"2,443"
17915,NY,New York,10.6,"3,406"
17916,NY,New York,14.5,"1,577"
17917,NY,New York,16.6,"5,110"
17918,NY,New York,9.6,"4,591"
17919,NY,New York,11.9,"3,184"
17920,NY,New York,12.7,"3,416"
17921,NY,New York,11.1,"3,871"
17922,NY,New York,7.7,"1,199"
17924,NY,New York,12.1,"3,083"
17925,NY,New York,8.4,"1,972"
17926,NY,New York,11.9,"3,420"
17927,NY,New York,11.1,"5,600"
17928,NY,New York,13.7,"2,289"
17929,NY,New York,8.4,"5,028"
17930,NY,New York,14.1,"2,426"
17931,NY,New York,11.6,"4,235"
17932,NY,New York,9.4,"2,058"
17933,NY,New York,11.1,"5,175"
17934,NY,New York,14.2,"1,056"
17935,NY,New York,10.4,"4,132"
17936,NY,New York,6.5,"3,042"
17937,NY,New York,12.7,"4,441"
17938,NY,New York,11.9,"3,818"
17939,NY,New York,11.6,"7,917"
17940,NY,New York,4.8,"2,447"
17941,NY,New York,14.0,"5,280"
17942,NY,New York,13.8,"4,915"
17943,NY,New York,9.2,"2,880"
17944,NY,New York,12.9,"6,127"
17945,NY,New York,8.0,"1,236"
17946,NY,New York,10.7,"2,178"
17947,NY,New York,5.8,"6,471"
17948,NY,New York,12.4,"3,926"
17949,NY,New York,8.9,"2,601"
17950,NY,New York,16.4,"4,294"
17951,NY,New York,12.2,"4,604"
17952,NY,New York,9.0,"1,803"
17953,NY,New York,6.1,"1,619"
17954,NY,New York,13.5,"1,675"
17955,NY,New York,9.2,"3,493"
17956,NY,New York,7.8,"3,865"
17957,NY,New York,11.0,"2,898"
17958,NY,New York,9.8,"2,632"
17959,NY,New York,12.8,"1,142"
17960,NY,New York,13.8,"4,256"
17961,NY,New York,12.4,"6,170"
17962,NY,New York,11.1,"2,167"
17963,NY,New York,8.6,"2,662"
17964,NY,New York,10.7,"2,057"
17965,NY,New York,6.1,"6,624"
17966,NY,New York,10.8,"2,287"
17967,NY,New York,8.9,"3,657"
17968,NY,New York,11.4,"3,218"
17969,NY,New York,16.6,"3,177"
17970,NY,New York,10.7,"2,302"
17971,NY,New York,11.5,"3,649"
17972,NY,New York,14.7,"4,763"
17973,NY,New York,11.9,"6,942"
17974,NY,New York,18.7,"5,434"
17975,NY,New York,14.5,"4,767"
17976,NY,New York,12.2,"8,729"
17977,NY,New York,14.0,"2,996"
17978,NY,New York,11.3,"3,178"
17979,NY,New York,12.7,"1,914"
17980,NY,New York,12.0,"2,101"
17981,NY,New York,14.6,"4,323"
17982,NY,New York,16.5,"3,677"
17983,NY,New York,11.5,"2,152"
17984,NY,New York,11.2,"1,649"
17985,NY,New York,14.0,"4,643"
17986,NY,New York,11.8,"3,598"
17987,NY,New York,9.8,"1,943"
17988,NY,New York,14.6,"3,090"
17989,NY,New York,8.1,"2,105"
17990,NY,New York,9.8,"5,546"
17991,NY,New York,14.0,"5,228"
17992,NY,New York,12.2,"3,075"
17993,NY,New York,14.5,"7,112"
17994,NY,New York,14.2,"6,404"
17995,NY,New York,14.6,"1,367"
17996,NY,New York,10.0,"1,542"
17997,NY,New York,9.3,"2,127"
17998,NY,New York,10.7,"1,486"
17999,NY,New York,6.7,"2,516"
18000,NY,New York,9.7,"2,100"
18001,NY,New York,11.7,"2,096"
18002,NY,New York,9.3,"1,476"
18003,NY,New York,9.3,"4,279"
18004,NY,New York,19.0,"1,764"
18005,NY,New York,15.7,"1,537"
18006,NY,New York,10.5,"2,657"
18007,NY,New York,12.9,"6,887"
18008,NY,New York,15.0,"6,737"
18009,NY,New York,14.3,"2,371"
18010,NY,New York,9.5,"3,168"
18011,NY,New York,10.9,"2,771"
18012,NY,New York,11.7,"3,568"
18013,NY,New York,10.2,"6,193"
18014,NY,New York,8.7,"4,968"
18015,NY,New York,13.4,"2,983"
18016,NY,New York,4.2,"5,156"
18017,NY,New York,6.6,"10,820"
18018,NY,New York,14.1,"1,623"
18019,NY,New York,8.3,"3,029"
18020,NY,New York,8.5,"1,270"
18021,NY,New York,11.4,"2,516"
18022,NY,New York,4.8,"3,730"
18023,NY,New York,11.1,"8,175,133"
18024,NY,New York,10.3,"3,495"
18025,NY,New York,11.0,"4,970"
18026,NY,New York,4.9,"3,122"
18027,NY,New York,14.5,"3,794"
18028,NY,New York,9.3,"3,892"
18029,NY,New York,16.6,"3,651"
18030,NY,New York,10.1,"3,786"
18031,NY,New York,3.9,"5,461"
18032,NY,New York,13.6,"2,607"
18033,NY,New York,13.1,"1,241"
18034,NY,New York,5.3,"7,066"
18035,NY,New York,13.5,"4,495"
18036,NY,New York,9.6,"3,633"
18038,NY,New York,7.8,"7,275"
18039,NY,New York,11.0,"1,422"
18040,NY,New York,12.7,"7,980"
18041,NY,New York,13.2,"8,887"
18042,NY,New York,7.6,"2,826"
18043,NY,New York,10.4,"4,700"
18044,NY,New York,11.1,"1,504"
18045,NY,New York,12.2,"1,152"
18046,NY,New York,12.2,"1,551"
18047,NY,New York,10.8,"4,135"
18048,NY,New York,10.8,"1,673"
18049,NY,New York,19.4,"6,502"
18050,NY,New York,9.5,"2,530"
18051,NY,New York,13.2,"1,304"
18052,NY,New York,11.2,"1,773"
18053,NY,New York,11.8,"3,838"
18054,NY,New York,10.1,"2,680"
18055,NY,New York,12.8,"3,849"
18056,NY,New York,9.1,"3,625"
18057,NY,New York,13.1,"2,795"
18058,NY,New York,13.4,"3,101"
18059,NY,New York,10.6,"2,881"
18060,NY,New York,11.5,"1,833"
18061,NY,New York,11.4,"3,397"
18062,NY,New York,13.0,"3,400"
18063,NY,New York,10.3,"2,577"
18064,NY,New York,11.8,"3,216"
18065,NY,New York,9.9,"5,325"
18066,NY,New York,14.0,"2,253"
18067,NY,New York,2.7,"1,731"
18068,NY,New York,11.9,"4,018"
18069,NY,New York,10.6,"1,788"
18070,NY,New York,9.2,"2,504"
18071,NY,New York,11.3,"2,896"
18072,NY,New York,13.5,"2,047"
18073,NY,New York,4.3,"1,655"
18074,NY,New York,7.4,"1,621"
18075,NY,New York,11.1,"4,024"
18076,NY,New York,11.7,"4,814"
18077,NY,New York,13.1,"2,161"
18078,NY,New York,10.9,"5,301"
18079,NY,New York,17.0,"1,578"
18080,NY,New York,5.2,"6,208"
18081,NY,New York,11.3,"2,413"
18082,NY,New York,10.6,"2,374"
18083,NY,New York,13.6,"8,428"
18084,NY,New York,13.0,"8,463"
18085,NY,New York,5.9,"2,228"
18086,NY,New York,8.4,"1,887"
