,States,City,DiagPer100k,PopCountByMM
18836,NY,New York,11.7,"6,250"
18837,NY,New York,14.8,"4,325"
18838,NY,New York,13.8,"6,802"
18839,NY,New York,8.5,"3,881"
18840,NY,New York,11.4,"2,628"
18841,NY,New York,7.9,"5,549"
18842,NY,New York,10.0,"2,131"
18843,NY,New York,16.7,"6,865"
18844,NY,New York,12.2,"3,669"
18845,NY,New York,10.9,"7,415"
18846,NY,New York,9.3,"2,282"
18847,NY,New York,11.4,"1,783"
18848,NY,New York,13.5,"6,405"
18849,NY,New York,13.5,"2,223"
18850,NY,New York,13.5,"3,660"
18851,NY,New York,14.7,"5,908"
18852,NY,New York,10.1,"2,318"
18853,NY,New York,12.6,"2,519"
18854,NY,New York,12.4,"3,268"
18855,NY,New York,10.3,"3,465"
18856,NY,New York,19.7,"4,933"
18857,NY,New York,12.9,"1,739"
18858,NY,New York,9.1,"3,616"
18859,NY,New York,11.1,"3,921"
18860,NY,New York,9.8,"2,134"
18861,NY,New York,2.0,"4,479"
18862,NY,New York,9.5,"1,903"
18863,NY,New York,9.5,"5,469"
18864,NY,New York,8.8,"4,265"
18865,NY,New York,12.8,"1,846"
18866,NY,New York,9.1,"2,581"
18867,NY,New York,13.0,"4,213"
18868,NY,New York,12.3,"2,991"
18869,NY,New York,8.3,"2,010"
18870,NY,New York,15.3,"1,866"
18871,NY,New York,12.4,"4,141"
18872,NY,New York,12.7,"2,628"
18873,NY,New York,13.2,"1,344"
18874,NY,New York,15.6,"26,588"
18875,NY,New York,9.8,"3,549"
18876,NY,New York,9.8,"3,772"
18877,NY,New York,12.2,"3,777"
18878,NY,New York,8.1,"4,065"
18879,NY,New York,10.1,"3,566"
18880,NY,New York,10.1,"6,197"
18881,NY,New York,13.8,"8,570"
18882,NY,New York,7.5,"2,846"
18883,NY,New York,5.1,"2,171"
18884,NY,New York,12.6,"4,708"
18885,NY,New York,10.2,"5,126"
18886,NY,New York,12.0,"2,358"
18887,NY,New York,15.5,"2,321"
18888,NY,New York,8.8,"2,054"
18889,NY,New York,12.1,"5,038"
18890,NY,New York,14.8,"8,207"
18891,NY,New York,13.9,"3,756"
18892,NY,New York,8.8,"3,148"
18893,NY,New York,3.5,"2,759"
18894,NY,New York,12.6,"6,004"
18895,NY,New York,9.4,"2,575"
18896,NY,New York,10.0,673
18897,NY,New York,10.7,"2,134"
18898,NY,New York,18.9,"4,917"
18899,NY,New York,14.8,"2,756"
18900,NY,New York,6.6,"2,674"
18901,NY,New York,10.9,"2,976"
18902,NY,New York,9.9,"3,729"
18903,NY,New York,10.1,"5,481"
18904,NY,New York,11.9,"8,757"
18905,NY,New York,10.8,"5,064"
18906,NY,New York,15.1,"5,093"
18907,NY,New York,12.7,"3,193"
18908,NY,New York,13.1,"5,388"
18909,NY,New York,12.3,"3,506"
18910,NY,New York,9.6,"7,245"
18911,NY,New York,17.6,"8,731"
18912,NY,New York,11.1,"2,075"
18913,NY,New York,10.6,"4,085"
18914,NY,New York,12.9,"1,399"
18915,NY,New York,9.0,"11,091"
18916,NY,New York,10.3,"6,271"
18917,NY,New York,9.7,"3,611"
18918,NY,New York,7.0,"1,188"
18919,NY,New York,12.6,"1,440"
18920,NY,New York,28.2,"1,246"
18921,NY,New York,10.8,"2,016"
18922,NY,New York,13.0,"1,699"
18923,NY,New York,8.7,"5,245"
18924,NY,New York,7.6,"2,359"
18925,NY,New York,8.7,"5,539"
18926,NY,New York,7.8,441
18927,NY,New York,5.4,"13,749"
18928,NY,New York,9.7,"4,465"
18929,NY,New York,17.3,"4,386"
18930,NY,New York,12.6,"7,216"
18931,NY,New York,9.1,"5,838"
18932,NY,New York,11.1,"3,946"
18933,NY,New York,11.1,"4,400"
18934,NY,New York,11.8,"4,397"
18935,NY,New York,8.3,"3,395"
18936,NY,New York,15.8,"2,256"
18937,NY,New York,4.7,"1,892"
18938,NY,New York,11.1,"3,480"
18939,NY,New York,4.7,"5,191"
18940,NY,New York,14.2,"2,117"
18941,NY,New York,10.0,"1,979"
18942,NY,New York,4.1,"2,719"
18943,NY,New York,8.8,"3,912"
18944,NY,New York,16.5,"2,148"
18945,NY,New York,7.6,"1,488"
18946,NY,New York,11.2,"6,496"
18947,NY,New York,8.6,"1,816"
18948,NY,New York,9.8,"1,959"
18949,NY,New York,12.3,"7,314"
18950,NY,New York,5.1,"4,204"
18951,NY,New York,15.3,"12,575"
18952,NY,New York,5.9,"7,813"
18953,NY,New York,8.8,"3,412"
18954,NY,New York,12.9,"1,470"
18955,NY,New York,8.3,"5,771"
18956,NY,New York,10.1,"1,612"
18957,NY,New York,10.0,"4,147"
18958,NY,New York,16.6,"3,155"
18959,NY,New York,11.1,"2,551"
18960,NY,New York,8.2,"3,928"
18961,NY,New York,17.0,"9,104"
18962,NY,New York,13.1,"3,068"
18963,NY,New York,16.8,"5,816"
18964,NY,New York,11.2,"4,743"
18965,NY,New York,10.1,"1,217"
18966,NY,New York,10.4,"2,077"
18967,NY,New York,3.9,"3,408"
18968,NY,New York,13.5,"1,129"
18969,NY,New York,13.1,"1,717"
18970,NY,New York,13.8,"1,597"
18971,NY,New York,14.2,"1,956"
18972,NY,New York,12.6,"1,077"
18973,NY,New York,5.1,"7,883"
18974,NY,New York,13.3,"2,112"
18975,NY,New York,9.2,"2,444"
18976,NY,New York,16.1,"6,733"
18977,NY,New York,9.9,"7,317"
18978,NY,New York,5.4,"5,860"
18979,NY,New York,12.3,"1,330"
18980,NY,New York,9.4,"2,175"
18981,NY,New York,10.1,"2,481"
18982,NY,New York,10.0,"3,363"
18983,NY,New York,16.5,"6,637"
18984,NY,New York,13.0,"4,382"
18985,NY,New York,8.6,"1,490"
18986,NY,New York,12.7,"2,240"
18987,NY,New York,11.8,"3,303"
18988,NY,New York,2.6,731
18989,NY,New York,11.6,"2,201"
18990,NY,New York,12.7,"4,848"
18991,NY,New York,14.0,"6,436"
18992,NY,New York,8.8,"1,654"
18993,NY,New York,10.5,"3,415"
18994,NY,New York,5.1,"6,437"
18995,NY,New York,13.0,"1,755"
18996,NY,New York,13.0,"12,998"
18997,NY,New York,12.3,"2,713"
18998,NY,New York,9.4,"1,983"
18999,NY,New York,10.3,"3,857"
19000,NY,New York,11.0,"6,136"
19001,NY,New York,10.4,"4,003"
19002,NY,New York,15.2,"3,784"
19003,NY,New York,9.3,"4,196"
19004,NY,New York,11.5,"2,557"
19005,NY,New York,5.3,"2,173"
19006,NY,New York,6.3,"2,201"
19007,NY,New York,13.6,"2,434"
19008,NY,New York,13.7,"3,389"
19009,NY,New York,10.7,"9,009"
19010,NY,New York,14.0,"6,456"
19011,NY,New York,6.9,"5,089"
19012,NY,New York,10.0,"3,442"
19013,NY,New York,9.6,"7,556"
19014,NY,New York,13.0,"2,143"
19015,NY,New York,8.7,"2,273"
19016,NY,New York,18.6,"4,247"
19017,NY,New York,14.3,"2,521"
19018,NY,New York,10.2,"3,492"
19019,NY,New York,3.7,"3,604"
19020,NY,New York,10.7,"6,566"
19021,NY,New York,12.8,"3,305"
19022,NY,New York,10.7,"3,037"
19023,NY,New York,13.6,"4,648"
19024,NY,New York,9.9,"5,628"
19025,NY,New York,15.3,"1,754"
19026,NY,New York,13.2,"6,398"
19027,NY,New York,13.4,"3,945"
19028,NY,New York,11.6,"1,809"
19029,NY,New York,14.3,"2,506"
19030,NY,New York,13.3,"8,154"
19031,NY,New York,11.9,"7,366"
19032,NY,New York,8.8,"5,557"
19033,NY,New York,4.5,"6,215"
19034,NY,New York,9.6,"3,717"
19035,NY,New York,10.2,"3,393"
19036,NY,New York,8.3,"3,813"
19037,NY,New York,7.8,"9,723"
19038,NY,New York,11.9,"3,347"
19039,NY,New York,10.4,"2,918"
19040,NY,New York,12.9,"3,203"
19041,NY,New York,10.1,"5,351"
19042,NY,New York,3.5,183
19043,NY,New York,9.0,"2,090"
19044,NY,New York,7.8,"2,288"
19045,NY,New York,10.5,"2,751"
19046,NY,New York,14.1,"3,013"
19047,NY,New York,13.8,"7,296"
19048,NY,New York,13.7,"1,642"
19049,NY,New York,11.7,"1,978"
19050,NY,New York,13.6,"3,546"
19051,NY,New York,10.4,"2,883"
19052,NY,New York,13.8,"3,478"
19053,NY,New York,9.7,"5,899"
19054,NY,New York,15.0,"4,376"
19055,NY,New York,9.4,"2,879"
19056,NY,New York,17.0,"4,514"
19057,NY,New York,11.6,"1,657"
19058,NY,New York,9.7,"3,341"
19059,NY,New York,10.1,"5,758"
19060,NY,New York,10.1,"5,569"
19061,NY,New York,12.0,"3,188"
19062,NY,New York,7.0,"2,294"
19063,NY,New York,10.6,"2,661"
19064,NY,New York,11.6,"7,409"
19065,NY,New York,17.0,"4,305"
19066,NY,New York,16.1,"4,301"
19067,NY,New York,12.2,"3,997"
19068,NY,New York,12.0,"7,166"
19069,NY,New York,10.6,"1,761"
19070,NY,New York,5.2,"4,135"
19071,NY,New York,6.0,"8,667"
19072,NY,New York,9.2,"2,972"
19073,NY,New York,12.7,"5,409"
19074,NY,New York,21.5,"1,120"
19075,NY,New York,9.5,"2,306"
19076,NY,New York,11.2,"2,114"
19077,NY,New York,15.7,245
19078,NY,New York,8.6,"1,793"
19079,NY,New York,8.1,"6,941"
19080,NY,New York,15.3,"7,316"
19081,NY,New York,7.8,"2,528"
19082,NY,New York,14.2,"2,374"
19083,NY,New York,9.8,"3,604"
19084,NY,New York,11.9,"2,153"
19085,NY,New York,10.8,"2,831"
19086,NY,New York,14.5,"5,190"
19087,NY,New York,13.2,"6,399"
19088,NY,New York,11.0,"3,069"
19089,NY,New York,2.9,"3,512"
19090,NY,New York,5.6,"5,036"
19091,NY,New York,12.8,"1,907"
19092,NY,New York,8.8,"2,758"
19093,NY,New York,30.7,"1,197"
19094,NY,New York,13.1,"2,754"
19095,NY,New York,9.0,"1,515"
19096,NY,New York,13.4,"2,898"
19097,NY,New York,12.6,"3,592"
19098,NY,New York,11.5,"3,885"
19099,NY,New York,8.3,"1,706"
19100,NY,New York,17.0,"6,984"
19101,NY,New York,11.4,"4,169"
19102,NY,New York,5.2,73
19103,NY,New York,8.2,"1,592"
19104,NY,New York,11.8,"1,932"
19105,NY,New York,8.6,"1,537"
19106,NY,New York,6.0,"3,580"
19107,NY,New York,10.8,"7,527"
19108,NY,New York,11.4,"4,217"
19109,NY,New York,8.4,"6,596"
19110,NY,New York,7.2,"1,599"
19111,NY,New York,6.9,"4,231"
19112,NY,New York,10.2,"4,241"
19113,NY,New York,7.3,"4,169"
19114,NY,New York,13.5,"1,305"
19115,NY,New York,11.8,"6,992"
19116,NY,New York,13.5,"6,188"
19117,NY,New York,14.0,"5,565"
19118,NY,New York,11.1,"3,794"
19119,NY,New York,17.7,"5,987"
19120,NY,New York,12.7,"4,415"
19121,NY,New York,16.6,"4,176"
19122,NY,New York,11.7,"1,509"
19123,NY,New York,13.1,"4,010"
19124,NY,New York,12.9,"4,152"
19125,NY,New York,3.6,"1,595"
19126,NY,New York,12.6,"2,656"
19127,NY,New York,11.6,"5,224"
19128,NY,New York,12.0,"2,409"
19129,NY,New York,11.6,"2,603"
19130,NY,New York,11.9,"2,333"
19131,NY,New York,14.9,"7,277"
19132,NY,New York,9.3,"4,216"
19133,NY,New York,10.8,"3,048"
19134,NY,New York,12.8,"3,302"
19135,NY,New York,12.4,"2,677"
19136,NY,New York,13.6,"3,058"
19137,NY,New York,7.5,"1,586"
19138,NY,New York,11.4,"8,278"
19139,NY,New York,12.1,"7,414"
19140,NY,New York,11.9,"3,089"
19141,NY,New York,15.7,"5,461"
19142,NY,New York,7.5,"3,496"
19143,NY,New York,12.0,"6,478"
19144,NY,New York,11.5,"2,834"
19145,NY,New York,14.5,"3,149"
19147,NY,New York,11.2,"1,517"
19148,NY,New York,12.9,"1,712"
19149,NY,New York,10.7,"6,253"
19150,NY,New York,12.3,"4,725"
19151,NY,New York,6.8,"1,701"
19152,NY,New York,12.2,"4,790"
19153,NY,New York,10.0,"2,788"
19154,NY,New York,13.6,"5,318"
19155,NY,New York,14.9,"11,547"
19156,NY,New York,14.0,"2,620"
19157,NY,New York,17.2,"2,691"
19158,NY,New York,11.4,"4,939"
19159,NY,New York,8.8,"2,597"
19160,NY,New York,11.0,"3,141"
19161,NY,New York,12.8,"6,447"
19162,NY,New York,10.9,"1,744"
19163,NY,New York,12.5,"5,622"
19164,NY,New York,12.3,"5,103"
19165,NY,New York,6.6,"2,492"
19166,NY,New York,16.2,"5,953"
19167,NY,New York,16.4,"3,413"
19168,NY,New York,9.9,"3,911"
19169,NY,New York,14.6,"3,849"
19170,NY,New York,11.8,"4,444"
19171,NY,New York,8.8,"3,047"
19172,NY,New York,14.0,"5,823"
19173,NY,New York,7.9,"1,888"
19174,NY,New York,14.2,"1,829"
19175,NY,New York,8.7,"6,067"
19176,NY,New York,13.6,"1,507"
19177,NY,New York,15.0,"4,108"
19178,NY,New York,12.3,"3,058"
19179,NY,New York,9.4,"6,850"
19180,NY,New York,17.3,"5,675"
19181,NY,New York,10.2,"3,477"
19182,NY,New York,10.8,"3,944"
19183,NY,New York,11.6,"4,651"
19184,NY,New York,13.2,"2,089"
19185,NY,New York,6.6,"3,853"
19186,NY,New York,11.9,"3,225"
19187,NY,New York,11.5,"6,839"
19188,NY,New York,10.3,"7,384"
19189,NY,New York,13.6,"1,864"
19190,NY,New York,9.4,"4,549"
19191,NY,New York,14.1,"1,963"
19192,NY,New York,13.5,"6,781"
19193,NY,New York,13.8,"2,921"
19194,NY,New York,9.8,"1,702"
19195,NY,New York,12.9,"3,437"
19196,NY,New York,8.7,"3,015"
19197,NY,New York,13.7,"5,337"
19198,NY,New York,10.0,"1,807"
19199,NY,New York,12.8,"2,026"
19200,NY,New York,14.6,"7,280"
19201,NY,New York,14.1,"5,451"
19202,NY,New York,5.9,"4,442"
19203,NY,New York,10.3,"3,946"
19204,NY,New York,13.0,"1,535"
19205,NY,New York,8.9,"5,995"
19206,NY,New York,13.6,"2,408"
19207,NY,New York,9.8,"2,392"
19208,NY,New York,13.1,"11,288"
19209,NY,New York,11.5,"3,425"
19210,NY,New York,10.8,"3,322"
19211,NY,New York,10.4,"2,327"
19212,NY,New York,2.7,"3,633"
19213,NY,New York,15.9,"5,685"
19214,NY,New York,10.3,"3,360"
19215,NY,New York,15.2,"4,816"
19216,NY,New York,7.5,"2,794"
19217,NY,New York,11.7,"2,906"
19218,NY,New York,8.1,"6,300"
19219,NY,New York,9.3,"2,852"
19220,NY,New York,12.2,"3,920"
19221,NY,New York,11.9,"3,631"
19222,NY,New York,3.4,"1,959"
19223,NY,New York,12.7,"1,937"
19224,NY,New York,7.6,"2,206"
19225,NY,New York,10.0,"3,386"
19226,NY,New York,11.8,"3,163"
19227,NY,New York,11.0,"2,613"
19228,NY,New York,12.8,"5,223"
19229,NY,New York,11.7,"4,236"
19230,NY,New York,12.3,"3,333"
19231,NY,New York,4.8,"8,090"
19233,NY,New York,12.9,"2,054"
19234,NY,New York,12.3,"2,362"
19235,NY,New York,10.6,"5,461"
19236,NY,New York,9.2,"3,220"
19237,NY,New York,15.6,"1,585"
19238,NY,New York,13.2,"3,438"
19239,NY,New York,4.2,"5,345"
19240,NY,New York,11.2,"1,732"
19241,NY,New York,4.3,"4,949"
19242,NY,New York,11.2,"1,949"
19243,NY,New York,15.1,"3,156"
19244,NY,New York,14.8,"7,024"
19245,NY,New York,8.4,"1,117"
19246,NY,New York,10.7,"1,351"
19247,NY,New York,6.9,"3,057"
19248,NY,New York,10.8,"4,590"
19249,NY,New York,9.7,"1,411"
19250,NY,New York,12.0,"5,248"
19251,NY,New York,10.9,"5,440"
19252,NY,New York,9.1,"1,141"
19253,NY,New York,13.4,"4,101"
19254,NY,New York,5.4,"16,538"
19255,NY,New York,7.3,"4,190"
19256,NY,New York,17.9,"6,814"
19257,NY,New York,10.3,"4,494"
19258,NY,New York,14.4,"3,918"
19259,NY,New York,14.2,"6,475"
19260,NY,New York,9.0,"4,513"
19261,NY,New York,3.7,390
19262,NY,New York,5.1,"6,304"
19263,NY,New York,14.1,"4,593"
19264,NY,New York,8.7,"2,773"
19265,NY,New York,11.1,"2,464"
19266,NY,New York,7.8,"6,008"
19267,NY,New York,15.6,"6,948"
19268,NY,New York,9.8,"4,929"
19269,NY,New York,12.3,"4,138"
19270,NY,New York,11.1,"4,786"
19271,NY,New York,12.6,"2,650"
19272,NY,New York,10.0,"4,015"
19273,NY,New York,5.5,"2,512"
19274,NY,New York,5.3,"1,992"
19275,NY,New York,13.4,"2,134"
19276,NY,New York,9.6,"2,063"
19277,NY,New York,10.4,"1,656"
19278,NY,New York,10.8,"7,216"
19279,NY,New York,6.7,"4,259"
19280,NY,New York,12.3,"5,294"
19281,NY,New York,12.4,"8,631"
19282,NY,New York,13.1,"6,356"
19283,NY,New York,11.5,"7,992"
19284,NY,New York,14.0,"1,280"
19285,NY,New York,11.9,"2,924"
19286,NY,New York,10.1,"4,848"
19287,NY,New York,13.2,"1,900"
19288,NY,New York,19.0,"7,571"
19289,NY,New York,9.8,"4,016"
19290,NY,New York,9.1,"4,079"
19291,NY,New York,9.4,"5,272"
19292,NY,New York,9.5,"1,314"
19293,NY,New York,12.9,"1,837"
19294,NY,New York,7.9,"6,573"
19295,NY,New York,11.2,"5,504"
19296,NY,New York,6.7,"2,991"
19297,NY,New York,8.7,"1,874"
19298,NY,New York,15.6,"8,143"
19299,NY,New York,7.8,"1,607"
19300,NY,New York,19.3,"4,797"
19301,NY,New York,9.4,"7,001"
19302,NY,New York,14.1,"4,458"
19303,NY,New York,13.8,"3,822"
19304,NY,New York,12.3,"4,683"
19305,NY,New York,7.0,"4,056"
19306,NY,New York,6.0,"1,136"
19307,NY,New York,13.1,"3,984"
19308,NY,New York,11.2,"3,002"
19309,NY,New York,6.7,"8,197"
19310,NY,New York,16.5,"3,713"
19311,NY,New York,9.5,"4,502"
19312,NY,New York,9.3,"3,855"
19313,NY,New York,15.1,"3,758"
19314,NY,New York,8.7,"5,295"
19316,NY,New York,11.4,"5,879"
19317,NY,New York,14.8,"2,791"
19318,NY,New York,11.8,"3,086"
19319,NY,New York,13.9,"2,647"
19320,NY,New York,10.8,"5,061"
19321,NY,New York,14.0,"4,167"
19322,NY,New York,16.2,"3,544"
19323,NY,New York,8.1,"1,773"
19324,NY,New York,9.2,"4,574"
19325,NY,New York,9.4,"4,346"
19326,NY,New York,7.9,"1,412"
19327,NY,New York,12.2,"10,292"
19328,NY,New York,12.5,"3,538"
19329,NY,New York,12.1,"2,092"
19330,NY,New York,5.4,"10,064"
19331,NY,New York,5.1,"3,512"
19332,NY,New York,12.6,"4,240"
19333,NY,New York,11.5,"2,124"
19334,NY,New York,11.7,"1,101"
19335,NY,New York,12.1,"5,369"
19336,NY,New York,7.6,"3,005"
19337,NY,New York,6.6,"4,597"
19338,NY,New York,12.5,"1,868"
19339,NY,New York,7.1,"1,656"
19340,NY,New York,12.7,"5,732"
19341,NY,New York,10.4,"3,566"
19342,NY,New York,8.8,"3,245"
19343,NY,New York,6.6,"3,054"
19344,NY,New York,11.7,"3,458"
19345,NY,New York,10.9,"2,344"
19346,NY,New York,10.4,"3,925"
19347,NY,New York,10.4,"4,792"
19348,NY,New York,9.6,"2,124"
19349,NY,New York,11.6,"4,464"
19350,NY,New York,11.8,"2,706"
19351,NY,New York,12.1,"7,040"
19352,NY,New York,5.9,"6,928"
19353,NY,New York,9.8,"2,030"
19354,NY,New York,11.7,"3,030"
19355,NY,New York,15.1,"2,403"
19356,NY,New York,14.5,"1,742"
19357,NY,New York,7.3,"4,799"
19358,NY,New York,11.3,"4,244"
19359,NY,New York,10.6,"3,433"
19360,NY,New York,6.7,"4,227"
19361,NY,New York,17.4,"4,589"
19362,NY,New York,12.2,"3,783"
19363,NY,New York,11.0,"1,717"
19364,NY,New York,8.4,"1,206"
19365,NY,New York,15.6,"7,055"
19366,NY,New York,10.6,"4,630"
19367,NY,New York,9.9,"3,722"
19368,NY,New York,11.4,"5,176"
19369,NY,New York,10.8,"4,348"
19370,NY,New York,12.2,"3,538"
19371,NY,New York,5.9,84
19372,NY,New York,12.7,"6,499"
19373,NY,New York,14.5,"5,094"
19374,NY,New York,11.5,"3,028"
19375,NY,New York,9.8,"3,407"
19376,NY,New York,10.3,"4,090"
19377,NY,New York,12.8,"5,805"
19378,NY,New York,9.9,"1,360"
19379,NY,New York,5.7,"3,487"
19380,NY,New York,14.6,"4,597"
19381,NY,New York,12.1,"3,278"
19382,NY,New York,14.3,"2,932"
19383,NY,New York,14.4,"6,427"
19384,NY,New York,8.2,"7,351"
19385,NY,New York,5.2,"5,401"
19386,NY,New York,12.1,"5,696"
19387,NY,New York,8.1,"3,106"
19388,NY,New York,4.2,"3,346"
19389,NY,New York,10.2,"1,797"
19390,NY,New York,13.9,"4,080"
19391,NY,New York,8.2,"4,935"
19392,NY,New York,7.3,"5,340"
19393,NY,New York,10.8,"1,556"
19394,NY,New York,8.6,"3,633"
19395,NY,New York,4.4,"6,338"
19396,NY,New York,8.6,"5,370"
19397,NY,New York,12.7,"3,508"
19398,NY,New York,12.3,"1,250"
19399,NY,New York,12.6,"3,829"
19400,NY,New York,13.6,"3,624"
19401,NY,New York,5.7,"6,564"
19402,NY,New York,3.5,"8,651"
19403,NY,New York,13.6,"3,760"
19404,NY,New York,8.5,"3,114"
19405,NY,New York,14.2,"3,918"
19406,NY,New York,15.2,"5,466"
19407,NY,New York,17.0,"4,581"
19408,NY,New York,5.1,155
19409,NY,New York,9.4,"6,428"
19410,NY,New York,12.3,"3,016"
19412,NY,New York,9.4,"3,296"
19413,NY,New York,15.6,"6,558"
19414,NY,New York,13.5,"1,929"
19415,NY,New York,10.2,"1,592"
19416,NY,New York,14.8,"3,341"
19417,NY,New York,9.7,"5,630"
19418,NY,New York,9.6,"1,388"
19419,NY,New York,9.5,"7,337"
19420,NY,New York,5.3,"2,582"
19421,NY,New York,9.8,"4,520"
19422,NY,New York,11.6,"3,679"
19423,NY,New York,4.8,"4,638"
19424,NY,New York,13.2,"2,655"
19425,NY,New York,12.3,"2,782"
19426,NY,New York,7.6,"4,462"
19427,NY,New York,4.7,"5,055"
19428,NY,New York,4.5,"2,510"
19429,NY,New York,12.3,"1,736"
19430,NY,New York,9.8,"2,886"
19431,NY,New York,13.3,"3,202"
19432,NY,New York,7.2,"2,189"
19433,NY,New York,12.6,"2,549"
19434,NY,New York,16.5,"6,023"
19435,NY,New York,13.3,"1,831"
19436,NY,New York,3.5,"4,274"
19437,NY,New York,12.7,"4,412"
19438,NY,New York,4.8,"3,008"
19439,NY,New York,17.6,"6,127"
19440,NY,New York,11.9,"4,782"
19441,NY,New York,5.0,"3,702"
19442,NY,New York,14.5,"5,685"
19443,NY,New York,8.2,"1,706"
19444,NY,New York,6.3,"4,249"
19445,NY,New York,3.7,"4,319"
19446,NY,New York,8.8,"3,336"
19447,NY,New York,12.7,"3,386"
19448,NY,New York,6.6,105
19449,NY,New York,13.0,"2,579"
19450,NY,New York,13.3,"6,194"
19451,NY,New York,11.5,"1,914"
19452,NY,New York,14.2,"5,853"
19453,NY,New York,10.0,"6,507"
19454,NY,New York,12.6,"1,764"
19455,NY,New York,15.9,"3,204"
19456,NY,New York,9.0,"2,746"
19457,NY,New York,15.6,"6,911"
19458,NY,New York,15.3,"6,418"
19459,NY,New York,19.9,"2,248"
19460,NY,New York,6.3,992
19461,NY,New York,10.8,"2,702"
19462,NY,New York,7.9,"2,357"
19463,NY,New York,12.1,"6,811"
19464,NY,New York,9.5,"1,524"
19465,NY,New York,9.4,"4,035"
19466,NY,New York,11.5,"3,365"
19467,NY,New York,14.3,"3,106"
19468,NY,New York,12.2,"1,304"
19469,NY,New York,11.9,"1,964"
19470,NY,New York,7.3,"3,663"
19471,NY,New York,8.2,"1,434"
19472,NY,New York,12.0,"6,808"
19473,NY,New York,10.3,"5,161"
19474,NY,New York,13.8,"2,547"
19475,NY,New York,10.2,"6,527"
19476,NY,New York,15.9,"3,422"
19477,NY,New York,6.5,"3,863"
19478,NY,New York,12.7,"3,128"
19479,NY,New York,12.4,"3,507"
19480,NY,New York,9.4,"3,320"
19481,NY,New York,8.4,"1,826"
19482,NY,New York,9.8,"4,301"
19483,NY,New York,13.7,"3,641"
19484,NY,New York,4.0,"3,564"
19485,NY,New York,10.4,"4,515"
19486,NY,New York,9.0,"2,747"
19487,NY,New York,7.5,428
19488,NY,New York,20.4,"3,419"
19489,NY,New York,7.1,"9,293"
19490,NY,New York,3.8,"7,709"
19491,NY,New York,12.5,"6,529"
19492,NY,New York,9.1,"2,441"
19493,NY,New York,12.4,"1,969"
19494,NY,New York,12.9,"2,838"
19495,NY,New York,11.9,"7,476"
19496,NY,New York,10.7,"1,410"
19497,NY,New York,12.9,"4,094"
19498,NY,New York,13.7,"3,965"
19499,NY,New York,13.6,"5,236"
19500,NY,New York,11.7,"4,115"
19501,NY,New York,9.6,"2,341"
19502,NY,New York,10.5,"1,672"
19503,NY,New York,6.1,"2,816"
19504,NY,New York,12.3,"1,487"
19505,NY,New York,8.3,"4,136"
19506,NY,New York,11.3,"6,197"
19507,NY,New York,6.7,"6,370"
19508,NY,New York,14.8,"3,609"
19509,NY,New York,12.4,"1,755"
19510,NY,New York,15.5,"8,008"
19511,NY,New York,7.6,"3,050"
19512,NY,New York,10.5,"4,990"
19513,NY,New York,10.2,"4,450"
19514,NY,New York,5.2,"4,976"
19515,NY,New York,13.2,"3,783"
19516,NY,New York,4.8,"2,257"
19517,NY,New York,8.2,"2,953"
19518,NY,New York,13.6,"1,927"
19519,NY,New York,8.7,"4,904"
19520,NY,New York,12.0,"4,878"
19521,NY,New York,13.0,"2,316"
19522,NY,New York,17.6,"7,370"
19523,NY,New York,12.6,"3,823"
19524,NY,New York,14.1,"3,371"
19525,NY,New York,12.1,"2,458"
19526,NY,New York,8.4,"3,551"
19527,NY,New York,5.4,"3,920"
19528,NY,New York,13.0,"1,165"
19529,NY,New York,10.7,"2,914"
19530,NY,New York,17.1,"4,585"
19531,NY,New York,8.6,"2,776"
19532,NY,New York,19.1,"6,956"
19533,NY,New York,5.1,"7,169"
19534,NY,New York,13.3,"6,051"
19535,NY,New York,10.7,"3,683"
19536,NY,New York,10.7,"5,503"
19537,NY,New York,12.0,"6,793"
19538,NY,New York,5.3,"6,612"
19539,NY,New York,7.4,"1,130"
19540,NY,New York,10.5,"5,414"
19541,NY,New York,15.4,"2,119"
19542,NY,New York,9.7,"2,811"
19543,NY,New York,12.0,"2,160"
19544,NY,New York,12.3,"2,688"
19545,NY,New York,10.5,"2,555"
19546,NY,New York,7.7,"4,116"
19547,NY,New York,11.7,"2,441"
19548,NY,New York,12.2,"1,267"
19549,NY,New York,9.2,"2,863"
19550,NY,New York,14.7,473
19551,NY,New York,5.8,"2,325"
19552,NY,New York,4.0,"7,614"
19553,NY,New York,16.4,"6,319"
19554,NY,New York,8.9,"1,495"
19555,NY,New York,11.7,"1,781"
19556,NY,New York,12.6,"1,166"
19557,NY,New York,8.4,"1,524"
19558,NY,New York,12.1,"3,504"
19559,NY,New York,13.2,"5,253"
19560,NY,New York,17.3,"2,437"
19561,NY,New York,13.1,"4,767"
19562,NY,New York,10.8,"5,546"
19563,NY,New York,7.5,"5,437"
19564,NY,New York,11.1,"2,634"
19565,NY,New York,5.4,"3,295"
19566,NY,New York,13.6,"3,905"
19567,NY,New York,11.0,"3,729"
19568,NY,New York,15.4,"5,508"
19569,NY,New York,10.4,"6,629"
19570,NY,New York,16.9,"3,113"
19571,NY,New York,7.8,"2,853"
19572,NY,New York,14.5,"1,880"
19573,NY,New York,13.1,"3,968"
19574,NY,New York,14.6,"9,308"
19575,NY,New York,10.6,"1,028"
19576,NY,New York,10.7,"5,722"
19577,NY,New York,10.3,"4,475"
