,CA_City,CA_PopByMM,CA_DiagPer100k
1278,CA Bakersfield,"3,340",11.8
1279,CA Costa Mesa,"6,393",10.3
1280,CA Chico,"4,801",5.2
1281,CA Baldwin Park,322,7.8
1282,CA Chico,"1,745",6.5
1283,CA Bakersfield,"4,004",7.3
1284,CA Concord,"122,067",8.6
1285,CA Carlsbad,965,6.3
1286,CA Bakersfield,"2,974",9.0
1287,CA Bakersfield,"4,586",8.0
1288,CA Carlsbad,"5,712",8.8
1289,CA Corona,"2,053",12.2
1290,CA Chula Vista,"3,966",13.8
1291,CA Chino Hills,"11,112",10.0
1292,CA Baldwin Park,"75,390",11.1
1293,CA Bakersfield,878,9.2
1294,CA Buena Park,"8,540",10.7
1295,CA Chino Hills,"6,676",8.4
1296,CA Citrus Heights,"2,884",11.8
1297,CA Buena Park,"80,530",10.4
1298,CA Carlsbad,"105,328",6.6
1299,CA Clovis,"4,571",6.2
1300,CA Berkeley,"2,172",8.9
1301,CA Downey,"4,290",9.0
1302,CA Apple Valley,"7,063",10.9
1303,CA Burbank,"4,909",8.7
1304,CA Chula Vista,"6,464",16.0
1305,CA Costa Mesa,"1,521",6.5
1306,CA Apple Valley,"4,771",11.6
1307,CA Bakersfield,"2,608",12.5
1308,CA Berkeley,"1,992",7.8
1309,CA Concord,"7,183",9.2
1310,CA Berkeley,"3,144",6.7
1311,CA Bakersfield,"2,383",7.3
1312,CA Costa Mesa,"109,960",9.0
1313,CA Chula Vista,"1,586",15.4
1314,CA Carson,"3,804",11.4
1315,CA Daly City,"5,716",10.0
1316,CA Compton,"6,044",13.9
1317,CA Chula Vista,"2,853",9.4
1318,CA Bakersfield,"4,679",10.9
1319,CA Burbank,"3,033",7.6
1320,CA Bellflower,"3,689",9.5
1321,CA Chico,"3,130",4.5
1322,CA Downey,"5,503",8.8
1323,CA Burbank,"3,811",8.5
1324,CA Carlsbad,"9,314",6.9
1325,CA Clovis,"4,627",6.8
1326,CA Bakersfield,915,7.9
1328,CA Chula Vista,"4,466",12.3
1329,CA Bakersfield,"4,282",9.2
1330,CA Corona,"6,852",8.9
1331,CA Carson,"2,994",10.9
1332,CA Compton,"3,016",12.5
1333,CA Corona,"3,908",12.5
1334,CA Chula Vista,"4,909",12.5
1335,CA Bakersfield,"8,845",10.7
1336,CA Chino,"3,853",9.3
1337,CA Chula Vista,"4,695",9.7
1339,CA Apple Valley,"6,356",12.0
1340,CA Buena Park,"3,790",9.4
1341,CA Chico,"3,900",9.8
1342,CA Chula Vista,"5,903",11.3
1343,CA Daly City,"6,768",8.5
1344,CA Bakersfield,575,10.3
1345,CA Bellflower,"3,040",10.3
1346,CA Burbank,"5,716",8.2
1347,CA Citrus Heights,"83,301",9.2
1348,CA Chino,"5,450",9.3
1349,CA Chico,"1,417",8.0
1350,CA Berkeley,"1,215",0.9
1351,CA Compton,"4,912",13.9
1352,CA Concord,"5,353",8.4
1353,CA Chula Vista,"3,471",8.1
1354,CA Berkeley,"4,685",7.6
1355,CA Bakersfield,"3,074",9.9
1357,CA Clovis,"7,048",9.8
1358,CA Burbank,"103,340",8.0
1359,CA Berkeley,"3,964",7.7
1360,CA Chico,"5,553",8.3
1361,CA Concord,"4,996",8.8
1362,CA Bakersfield,"347,483",9.9
1363,CA Burbank,"3,813",8.8
1364,CA Carson,"3,209",13.2
1365,CA Citrus Heights,"2,432",9.7
1366,CA Chula Vista,"9,463",8.0
1367,CA Compton,"5,323",11.6
1368,CA Buena Park,"2,804",9.1
1369,CA Daly City,"6,189",10.8
1370,CA Concord,"4,032",9.9
1371,CA Compton,"6,210",12.1
1372,CA Berkeley,"3,198",5.6
1373,CA Chula Vista,"5,047",12.7
1374,CA Chico,"3,344",6.1
1375,CA Citrus Heights,"2,894",8.8
1376,CA Corona,"4,782",7.7
1377,CA Citrus Heights,"4,873",8.0
1378,CA Costa Mesa,"6,266",11.0
1379,CA Chino Hills,"6,959",8.8
1380,CA Bakersfield,"3,854",8.9
1381,CA Clovis,"5,467",11.7
1382,CA Chino Hills,"74,799",8.5
1383,CA Carlsbad,"6,539",7.3
1384,CA Long Beach,"5,119",8.0
1385,CA Bellflower,"5,659",10.1
1386,CA Concord,"7,534",8.7
1387,CA Burbank,"2,987",8.0
1388,CA Concord,"3,749",8.7
1389,CA Clovis,"5,243",7.4
1390,CA Bakersfield,152,14.3
1391,CA Costa Mesa,"4,375",7.3
1392,CA Corona,"152,374",9.2
1393,CA Corona,"5,776",8.5
1394,CA Downey,"5,639",10.4
1395,CA Bakersfield,571,14.6
1396,CA Bakersfield,"3,862",14.9
1397,CA Bakersfield,"2,713",6.0
1398,CA Buena Park,"1,895",9.9
1399,CA Burbank,"5,633",7.4
1400,CA Chula Vista,"3,920",9.8
1401,CA Berkeley,"3,563",7.5
1402,CA Chula Vista,"5,893",10.9
1403,CA Bellflower,"2,600",10.3
1404,CA Downey,"4,250",9.5
1405,CA Concord,"7,522",7.4
1406,CA Daly City,"3,240",10.4
1407,CA Apple Valley,"3,606",11.2
1408,CA Compton,"3,696",12.5
1409,CA Burbank,"3,897",8.1
1410,CA Baldwin Park,"1,741",11.5
1411,CA Citrus Heights,"3,358",8.9
1412,CA Chino,"5,274",12.4
1413,CA Carson,"5,263",12.2
1414,CA Bakersfield,"1,205",4.6
1415,CA Bakersfield,"1,014",10.1
1416,CA Daly City,"4,154",11.8
1417,CA Bakersfield,"1,976",18.2
1418,CA Compton,"3,123",13.4
1419,CA Berkeley,"5,659",4.1
1420,CA Chula Vista,"3,763",10.3
1421,CA Bakersfield,"4,439",6.8
1422,CA Chino,"77,983",9.4
1423,CA Baldwin Park,"3,178",11.9
1424,CA Chino,"7,659",6.3
1425,CA Corona,"2,688",8.3
1426,CA Costa Mesa,"4,165",6.2
1427,CA Burbank,"2,655",7.4
1428,CA Chico,"5,636",8.2
1429,CA Downey,"4,211",9.5
1430,CA Chula Vista,"6,544",14.2
1431,CA Daly City,"7,568",10.3
1432,CA Carlsbad,"4,447",8.1
1433,CA Downey,"111,772",10.2
1434,CA Corona,"5,834",10.1
1435,CA Daly City,"4,022",10.0
1436,CA Bakersfield,"7,279",12.0
1437,CA Chula Vista,"3,725",10.3
1438,CA Daly City,"1,834",7.8
1439,CA Buena Park,"8,631",12.3
1440,CA Bakersfield,"3,371",10.1
1441,CA Bakersfield,"4,925",11.2
1442,CA Chico,"86,187",7.1
1443,CA Bellflower,"4,391",11.8
1444,CA Costa Mesa,"6,670",6.4
1445,CA Downey,"5,422",10.9
1446,CA Clovis,"4,195",9.3
1447,CA Chico,"5,295",7.8
1448,CA Bakersfield,"2,705",8.8
1449,CA Burbank,"5,114",8.5
1450,CA Chino,"5,130",9.0
1451,CA Carson,"5,620",10.9
1452,CA Corona,232,10.8
1453,CA Bakersfield,"3,761",9.5
1454,CA Compton,"4,284",13.5
1455,CA Chula Vista,"2,087",9.2
1456,CA Berkeley,"3,647",9.7
1457,CA Bakersfield,"8,814",8.2
1458,CA Chino,"2,099",11.3
1459,CA Bakersfield,"14,014",5.9
1460,CA Baldwin Park,"3,484",10.9
1461,CA Buena Park,"3,845",8.5
1462,CA Baldwin Park,"6,170",10.4
1463,CA Chico,"3,341",3.1
1464,CA Corona,"5,374",7.7
1465,CA Downey,"5,572",9.8
1466,CA Carlsbad,"4,106",8.5
1467,CA Bakersfield,"3,394",6.7
1468,CA Costa Mesa,"4,437",8.2
1469,CA Bakersfield,"6,537",15.2
1470,CA Berkeley,"4,885",2.9
1471,CA Corona,"152,374",10.2
1472,CA Bakersfield,"11,350",10.3
1473,CA Buena Park,"4,986",9.3
1474,CA Clovis,"3,961",8.1
1475,CA Compton,"3,486",15.3
1476,CA Buena Park,"80,530",10.6
1477,CA Citrus Heights,"3,710",10.8
1478,CA Clovis,"3,028",6.5
1479,CA Burbank,"5,849",7.7
1480,CA Bellflower,"4,447",9.6
1481,CA Carson,"5,418",10.6
1482,CA Chico,"3,304",7.2
1483,CA Carlsbad,"9,082",7.2
1484,CA Citrus Heights,"2,460",8.4
1485,CA Clovis,"3,346",7.5
1486,CA Corona,"5,695",13.2
1487,CA Bellflower,"6,298",8.9
1488,CA Citrus Heights,"6,153",9.3
1489,CA Concord,"3,735",8.0
1490,CA Carlsbad,"1,006",12.6
1491,CA Chino Hills,"2,336",8.7
1492,CA Berkeley,"2,685",7.4
1493,CA Carson,"91,714",11.7
1494,CA Burbank,"3,138",7.4
1495,CA Costa Mesa,"109,960",7.9
1496,CA Concord,"5,306",8.7
1497,CA Chino Hills,"2,580",8.3
1498,CA Concord,"7,595",8.8
1499,CA Apple Valley,356,15.8
1500,CA Chula Vista,78,14.3
1501,CA Baldwin Park,"5,304",10.6
1502,CA Berkeley,"2,020",6.5
1503,CA Clovis,"2,753",5.8
1504,CA Costa Mesa,"3,801",6.9
1505,CA Bakersfield,"6,301",7.6
1506,CA Costa Mesa,"5,672",10.2
1507,CA Chino Hills,"10,856",7.3
1508,CA Clovis,"3,847",9.2
1510,CA Carlsbad,"5,975",8.1
1511,CA Chino Hills,"4,740",8.7
1512,CA Burbank,"3,379",7.4
1513,CA Carson,"6,611",12.8
1514,CA Concord,"7,013",9.5
1515,CA Apple Valley,"8,260",11.2
1516,CA Berkeley,"3,558",7.1
1517,CA Compton,"3,607",12.7
1518,CA Corona,979,7.5
1519,CA Bakersfield,707,10.8
1520,CA Chula Vista,495,10.3
1521,CA Chico,"2,687",9.6
1522,CA Apple Valley,"7,120",11.6
1523,CA Chico,"2,680",4.7
1524,CA Berkeley,"2,642",5.9
1525,CA Bakersfield,"1,946",8.2
1526,CA Burbank,"7,249",6.2
1527,CA Bellflower,"4,171",9.8
1528,CA Buena Park,"5,013",9.8
1529,CA Carson,"4,510",12.9
1530,CA Citrus Heights,"3,323",9.5
1531,CA Chino,621,7.5
1532,CA Baldwin Park,"5,882",11.5
1533,CA Citrus Heights,"4,557",9.1
1534,CA Chino,"4,942",8.2
1535,CA Buena Park,"3,566",12.3
1536,CA Concord,"122,067",8.4
1537,CA Corona,"2,488",8.3
1538,CA Costa Mesa,"2,941",4.9
1539,CA Bakersfield,"8,774",6.7
1540,CA Carson,549,14.4
1541,CA Corona,"6,475",7.0
1542,CA Downey,"4,869",9.1
1543,CA Chula Vista,"2,668",12.4
1544,CA Chico,"1,668",6.1
1545,CA Burbank,"2,361",10.5
1546,CA Bakersfield,"1,390",15.2
1547,CA Burbank,"3,755",7.9
1548,CA Concord,"5,926",8.4
1549,CA Baldwin Park,"5,658",9.6
1550,CA Chino,"5,682",11.1
1551,CA Clovis,"95,631",8.8
1552,CA Bakersfield,176,13.5
1553,CA Downey,"7,809",9.3
1554,CA Chula Vista,"7,227",9.5
1555,CA Berkeley,"8,368",3.1
1556,CA Compton,"5,434",12.4
1557,CA Daly City,"2,510",8.6
1558,CA Corona,"3,586",8.3
1559,CA Buena Park,"1,112",14.9
1560,CA Chula Vista,"3,676",12.2
1561,CA Chula Vista,"2,761",10.2
1562,CA Bellflower,"4,569",10.1
1563,CA Berkeley,"3,844",7.4
1564,CA Bakersfield,"2,176",5.4
1565,CA Chico,"4,694",6.6
1566,CA Bakersfield,141,14.4
1567,CA Citrus Heights,"2,462",9.7
1568,CA Clovis,"3,697",9.6
1569,CA Bakersfield,"5,116",10.1
1570,CA Corona,"1,994",7.5
1571,CA Carson,"3,472",11.0
1572,CA Chula Vista,"4,955",13.5
1573,CA Compton,"5,720",11.7
1574,CA Burbank,"103,340",7.8
1575,CA Bakersfield,"2,672",14.0
1576,CA Chula Vista,"5,180",10.2
1577,CA Chino,"3,940",11.2
1578,CA Bakersfield,"5,482",12.3
1579,CA Clovis,"2,952",7.6
1580,CA Buena Park,"4,590",10.4
1581,CA Apple Valley,"5,341",15.4
1582,CA Citrus Heights,"2,234",8.4
1583,CA Baldwin Park,"3,197",10.5
1584,CA Compton,"96,455",14.8
1585,CA Chico,"86,187",8.6
