,CA_City,CA_PopByMM,CA_DiagPer100k
2507,CA Inglewood,73,11.5
2508,CA Irvine,"5,675",8.0
2509,CA Long Beach,"4,065",11.6
2510,CA Inglewood,"5,517",12.0
2511,CA Inglewood,"6,613",13.5
2512,CA Indio,"5,378",13.1
2513,CA Lancaster,"7,100",12.8
2514,CA Long Beach,"4,783",5.7
2515,CA Lancaster,"12,468",7.2
2516,CA Long Beach,"3,483",10.6
2517,CA Hesperia,"5,949",10.1
2518,CA Hemet,"1,075",10.7
2519,CA Lancaster,"3,721",12.0
2520,CA Livermore,"80,968",7.0
2521,CA Lakewood,"4,447",8.4
2522,CA Lancaster,"5,318",10.3
2523,CA Long Beach,"3,791",10.8
2524,CA Irvine,"4,175",7.1
2525,CA Inglewood,"2,461",14.8
2526,CA Huntington Beach,"4,031",7.1
2527,CA Livermore,"4,449",7.0
2528,CA Lakewood,"3,616",8.1
2529,CA Lancaster,"4,375",11.5
2530,CA Irvine,"3,460",8.5
2531,CA Lancaster,"4,002",12.0
2532,CA Long Beach,"4,779",12.3
2533,CA Irvine,"3,087",4.2
2534,CA Hemet,"2,847",15.4
2535,CA Hesperia,"4,800",13.8
2536,CA Inglewood,"6,533",13.2
2537,CA Long Beach,"2,039",15.8
2538,CA Long Beach,"462,257",10.2
2539,CA Irvine,"3,308",9.6
2540,CA Huntington Beach,"2,502",8.9
2541,CA Livermore,"6,594",7.1
2542,CA Hesperia,"5,235",12.7
2543,CA Long Beach,"3,441",8.2
2544,CA Lake Forest,"5,358",10.2
2545,CA Huntington Beach,"2,354",8.4
2546,CA Inglewood,"4,126",11.8
2547,CA Lancaster,"8,592",7.9
2548,CA Long Beach,"5,153",9.7
2549,CA Indio,"5,264",10.4
2550,CA Hemet,"2,911",19.0
2551,CA Long Beach,"4,587",12.1
2552,CA Long Beach,"5,098",7.3
2553,CA Lancaster,52,10.8
2554,CA Long Beach,"3,973",9.6
2555,CA Lancaster,"3,489",10.7
2556,CA Huntington Beach,"3,924",8.7
2557,CA Huntington Beach,"3,730",10.8
2558,CA Long Beach,"3,190",8.7
2559,CA Long Beach,"4,969",6.2
2560,CA Livermore,"2,220",7.3
2561,CA Irvine,"212,375",6.8
2562,CA Huntington Beach,"2,860",7.9
2563,CA Inglewood,"6,856",10.2
2564,CA Livermore,"5,660",7.5
2565,CA Long Beach,"6,357",7.6
2566,CA Livermore,"6,224",7.7
2567,CA Hesperia,"5,049",10.7
2568,CA Hemet,"1,371",10.8
2569,CA Lancaster,"5,913",9.9
2570,CA Lakewood,"2,347",10.4
2571,CA Lancaster,"8,284",9.4
2572,CA Huntington Beach,"4,332",8.9
2573,CA Irvine,"12,096",5.8
2574,CA Livermore,"6,534",7.0
2575,CA Long Beach,"4,762",9.5
2576,CA Indio,"8,675",7.7
2577,CA Hemet,"8,437",10.6
2578,CA Inglewood,245,13.7
2579,CA Inglewood,"2,478",14.4
2580,CA Hemet,"1,180",11.2
2581,CA Lake Forest,"6,206",6.0
2582,CA Huntington Beach,"3,606",8.7
2583,CA Lancaster,"7,669",10.2
2584,CA Irvine,"212,375",7.8
2585,CA Irvine,"11,707",5.5
2586,CA Huntington Beach,"5,183",6.8
2587,CA Long Beach,"5,370",11.2
2588,CA Inglewood,"3,349",10.7
2589,CA Long Beach,"4,510",11.8
2590,CA Long Beach,"3,725",6.9
2591,CA Lake Forest,"6,154",8.0
2592,CA Long Beach,"3,992",6.2
2593,CA Lancaster,"3,904",13.8
2594,CA Irvine,"2,773",5.4
2595,CA Long Beach,"6,700",6.4
2596,CA Inglewood,"2,971",15.2
2597,CA Long Beach,"3,609",10.0
2598,CA Lakewood,"6,569",8.9
2599,CA Hemet,"78,657",11.5
2600,CA Hesperia,"90,173",12.0
2601,CA Hesperia,"8,022",11.7
2602,CA Indio,50,10.4
2603,CA Irvine,"4,916",10.2
2604,CA Indio,"76,036",12.0
2605,CA Indio,"5,014",12.6
2606,CA Long Beach,"3,144",7.0
2607,CA Lake Forest,"6,323",12.0
2608,CA Lake Forest,"5,015",7.1
2609,CA Hemet,513,14.0
2610,CA Long Beach,"7,828",7.9
2611,CA Huntington Beach,"1,967",9.8
2612,CA Livermore,554,4.2
2613,CA Irvine,"3,303",8.5
2614,CA Long Beach,"4,454",8.6
2615,CA Huntington Beach,"4,619",8.7
2616,CA Irvine,"15,473",7.4
2617,CA Inglewood,"5,685",11.8
2618,CA Long Beach,"4,435",10.2
2619,CA Lancaster,"2,258",8.5
2620,CA Irvine,"1,722",9.2
2621,CA Hemet,"3,897",14.4
2622,CA Indio,379,13.4
2623,CA Long Beach,"3,501",10.6
2624,CA Lancaster,"156,633",10.0
2625,CA Long Beach,"3,399",8.4
2626,CA Long Beach,"5,414",5.7
2628,CA Hemet,"2,544",19.9
2629,CA Hesperia,"8,172",7.6
2630,CA Huntington Beach,"4,444",5.6
2631,CA Long Beach,"462,257",9.4
2632,CA Long Beach,"6,352",10.5
2633,CA Huntington Beach,"6,028",5.9
2634,CA Indio,"3,329",10.8
2635,CA Irvine,"4,212",6.5
2636,CA Long Beach,"5,181",11.6
2637,CA Long Beach,"5,499",12.3
2638,CA Lancaster,772,8.6
2639,CA Huntington Beach,"4,000",8.3
2640,CA Long Beach,"7,165",10.4
2641,CA Lakewood,"5,647",7.9
2642,CA Irvine,"2,688",3.5
2643,CA Hesperia,"7,471",12.9
2644,CA Lakewood,"4,414",8.1
2645,CA Livermore,"5,833",7.1
2646,CA Long Beach,"3,117",8.0
2647,CA Long Beach,"8,255",7.5
2648,CA Lancaster,"5,289",11.9
2649,CA Lancaster,"5,816",8.6
2650,CA Huntington Beach,"4,505",8.1
2651,CA Long Beach,"5,509",7.5
2652,CA Inglewood,"5,311",11.7
2653,CA Hesperia,"6,446",12.4
2654,CA Huntington Beach,"4,914",9.2
2655,CA Inglewood,"1,915",10.2
3282,CA Lake Forest,"1,063",6.4
3321,CA Irvine,"6,771",9.5
3322,CA Long Beach,"4,754",10.3
3323,CA Long Beach,"3,365",17.2
3324,CA Indio,"5,006",11.3
3325,CA Irvine,"21,098",6.6
3326,CA Hemet,"2,890",13.4
3329,CA Huntington Beach,"3,690",9.0
3330,CA Lancaster,"3,536",12.0
3331,CA Long Beach,"4,247",11.1
3332,CA Lancaster,"5,069",8.6
3333,CA Lakewood,"3,475",9.5
3334,CA Irvine,"4,355",8.4
3335,CA Hesperia,"90,173",11.5
3336,CA Long Beach,"6,197",10.9
3337,CA Long Beach,"4,325",8.2
3338,CA Huntington Beach,"4,468",7.4
3339,CA Long Beach,"4,699",8.2
3340,CA Long Beach,"3,990",11.3
3341,CA Indio,"5,518",11.2
3342,CA Long Beach,"3,454",9.7
3343,CA Lancaster,"3,334",10.0
3344,CA Huntington Beach,"1,536",9.2
3345,CA Inglewood,606,11.1
3346,CA Long Beach,"6,356",10.5
3347,CA Irvine,"2,490",8.2
3348,CA Inglewood,"2,823",15.3
3349,CA Long Beach,"3,000",7.1
3350,CA Lancaster,"1,068",7.9
3351,CA Hemet,"3,713",15.3
3352,CA Huntington Beach,"7,143",6.6
3353,CA Huntington Beach,"5,453",9.7
3354,CA Hemet,"3,332",12.8
3355,CA Livermore,"5,353",6.0
3356,CA Long Beach,"4,101",9.9
3357,CA Irvine,"3,114",4.8
3358,CA Irvine,"6,361",5.1
3359,CA Inglewood,"3,245",13.5
3360,CA Hesperia,"4,877",11.4
3361,CA Indio,"76,036",12.1
3362,CA Huntington Beach,"4,482",5.9
3363,CA Indio,"3,081",6.3
3364,CA Hemet,"78,657",13.8
3365,CA Lakewood,"4,574",7.3
3366,CA Livermore,"3,102",7.2
3367,CA Long Beach,"5,277",7.8
3368,CA Inglewood,"4,879",11.6
3369,CA Hemet,"4,538",11.4
3370,CA Long Beach,"1,863",1.0
3371,CA Long Beach,61,7.9
3372,CA Huntington Beach,"3,583",8.5
3373,CA Huntington Beach,"4,630",7.9
3374,CA Long Beach,"6,995",6.4
3375,CA Huntington Beach,"3,614",9.4
3376,CA Long Beach,"4,947",13.8
3377,CA Hesperia,"5,584",10.6
3378,CA Irvine,"4,123",7.4
3379,CA Lancaster,"2,874",9.0
3380,CA Inglewood,"2,154",15.9
3381,CA Long Beach,"4,627",7.5
3382,CA Irvine,"5,327",7.8
3383,CA Long Beach,"4,176",10.7
3384,CA Irvine,"10,096",5.9
3385,CA Long Beach,"5,278",7.3
3386,CA Lake Forest,"4,328",6.7
3387,CA Livermore,"3,138",6.7
3388,CA Indio,"1,804",14.2
3389,CA Huntington Beach,"4,547",8.9
3390,CA Huntington Beach,"189,992",8.3
3391,CA Inglewood,"6,511",11.6
3392,CA Long Beach,"3,435",8.4
3393,CA Lake Forest,"3,944",7.6
3394,CA Huntington Beach,"5,203",7.0
3395,CA Long Beach,"6,114",7.4
3396,CA Lakewood,"5,540",7.8
3397,CA Inglewood,286,11.9
3398,CA Long Beach,839,16.2
3399,CA Lake Forest,"5,865",6.7
3400,CA Long Beach,"7,419",9.9
3401,CA Indio,"3,744",15.7
3402,CA Hemet,"5,287",12.0
3403,CA Long Beach,"2,161",9.0
3404,CA Long Beach,"5,033",11.3
3405,CA Lancaster,"156,633",11.1
3406,CA Lancaster,"3,620",17.9
3407,CA Long Beach,"2,837",10.6
3408,CA Huntington Beach,"5,371",8.6
3409,CA Hemet,"4,217",17.3
3410,CA Long Beach,"2,446",12.3
3411,CA Long Beach,"4,667",11.4
3414,CA Long Beach,"3,667",14.4
3415,CA Inglewood,"109,673",12.4
3416,CA Hesperia,316,16.2
3417,CA Irvine,"2,660",8.2
3418,CA Livermore,"4,324",7.0
3419,CA Lakewood,"5,411",10.4
3420,CA Hesperia,"6,437",10.6
3421,CA Lakewood,"4,463",8.5
3422,CA Long Beach,"1,388",8.4
3423,CA Long Beach,"5,547",5.0
3424,CA Long Beach,"3,288",7.6
3425,CA Irvine,"14,044",3.4
3426,CA Lancaster,"2,343",8.5
3427,CA Long Beach,"4,930",11.9
3428,CA Huntington Beach,"5,500",6.8
3429,CA Long Beach,"5,171",10.4
3430,CA Lakewood,"3,877",7.4
3431,CA Lancaster,"4,285",9.4
3432,CA Long Beach,"4,399",6.7
3433,CA Lancaster,"6,764",11.5
3434,CA Los Angeles,"5,050",10.8
3435,CA Los Angeles,"6,494",10.6
3436,CA Los Angeles,"4,586",12.8
3437,CA Los Angeles,"3,313",13.8
3438,CA Los Angeles,"3,871",12.6
3439,CA Los Angeles,"2,995",14.7
3440,CA Los Angeles,"2,077",20.5
3441,CA Los Angeles,"5,575",12.2
3442,CA Los Angeles,"5,275",14.7
3443,CA Los Angeles,"1,576",6.9
3444,CA Los Angeles,"5,379",6.2
3445,CA Los Angeles,"3,846",11.7
3446,CA Los Angeles,"4,798",13.6
3447,CA Los Angeles,"2,982",8.9
3448,CA Los Angeles,"5,394",12.2
3449,CA Los Angeles,"3,838",7.5
3450,CA Los Angeles,"3,005",9.1
3451,CA Los Angeles,"4,316",8.6
3452,CA Los Angeles,"5,949",9.2
3453,CA Los Angeles,"3,947",9.6
3454,CA Los Angeles,"5,234",11.9
3455,CA Los Angeles,"4,875",8.6
3456,CA Los Angeles,"3,476",9.4
3457,CA Los Angeles,"6,957",13.6
3458,CA Los Angeles,"5,504",5.3
3459,CA Los Angeles,"7,110",14.0
3460,CA Los Angeles,"4,083",6.2
3461,CA Los Angeles,"4,043",6.6
3462,CA Los Angeles,"4,987",10.5
3463,CA Los Angeles,"4,302",9.6
3464,CA Los Angeles,"4,101",14.1
3465,CA Los Angeles,"4,550",6.6
3466,CA Los Angeles,"4,199",8.9
3467,CA Los Angeles,"2,692",13.4
3468,CA Los Angeles,"2,430",11.4
3469,CA Los Angeles,"3,425",14.1
3470,CA Los Angeles,"3,140",8.5
3471,CA Los Angeles,"4,057",13.1
3472,CA Los Angeles,"2,865",11.0
3473,CA Los Angeles,"2,374",7.8
3474,CA Los Angeles,"3,301",10.6
3475,CA Los Angeles,"3,235",10.1
3476,CA Los Angeles,"3,513",11.4
3477,CA Los Angeles,"4,193",9.9
3478,CA Los Angeles,"2,306",10.9
3479,CA Los Angeles,"4,775",8.6
3480,CA Los Angeles,"4,780",11.6
3481,CA Los Angeles,"3,282",12.0
3482,CA Los Angeles,"2,877",3.6
3483,CA Los Angeles,"4,520",12.1
3484,CA Los Angeles,"5,641",10.2
3485,CA Los Angeles,"4,502",9.9
3486,CA Los Angeles,"4,210",9.3
3487,CA Los Angeles,"4,856",3.2
3488,CA Los Angeles,"2,853",10.1
3489,CA Los Angeles,"2,317",8.1
3490,CA Los Angeles,"4,328",12.2
3491,CA Los Angeles,"2,567",9.2
3492,CA Los Angeles,"4,273",12.0
3493,CA Los Angeles,"3,233",7.9
3494,CA Los Angeles,"4,074",8.5
3495,CA Los Angeles,"4,769",10.7
3496,CA Los Angeles,"2,938",11.0
3497,CA Los Angeles,"4,989",10.5
3498,CA Los Angeles,"3,444",12.6
3499,CA Los Angeles,"3,493",9.8
3500,CA Los Angeles,"3,338",11.4
3501,CA Los Angeles,"3,442",10.2
3502,CA Los Angeles,"3,285",13.5
3503,CA Los Angeles,"2,264",8.0
3504,CA Los Angeles,"2,461",5.6
3505,CA Los Angeles,"4,227",9.1
3506,CA Los Angeles,"5,335",12.7
3507,CA Los Angeles,"3,712",9.8
3508,CA Los Angeles,"4,914",8.9
3509,CA Los Angeles,"2,939",9.8
3510,CA Los Angeles,"2,991",9.8
3511,CA Los Angeles,"4,113",12.5
3512,CA Los Angeles,"3,529",5.3
3513,CA Los Angeles,"4,114",10.8
3514,CA Los Angeles,"4,195",10.9
3515,CA Los Angeles,"4,358",12.1
3516,CA Los Angeles,"3,544",5.7
3517,CA Los Angeles,"2,725",10.3
3518,CA Los Angeles,"3,430",9.0
3519,CA Los Angeles,"2,289",8.0
3520,CA Los Angeles,"2,594",13.6
3521,CA Los Angeles,"3,126",9.1
3522,CA Los Angeles,"4,839",13.3
3523,CA Los Angeles,"4,667",10.0
3524,CA Los Angeles,"4,355",8.9
3525,CA Los Angeles,"3,680",6.4
3526,CA Los Angeles,"3,765",11.3
3527,CA Los Angeles,"4,252",10.7
3528,CA Los Angeles,"5,345",12.8
3529,CA Los Angeles,"3,077",7.5
3530,CA Los Angeles,"2,984",8.1
3531,CA Los Angeles,"4,786",8.9
3532,CA Los Angeles,"5,911",6.5
3533,CA Los Angeles,"5,431",7.0
3534,CA Los Angeles,"3,520",14.2
3535,CA Los Angeles,"3,303",14.2
3536,CA Los Angeles,"4,902",13.0
3537,CA Los Angeles,"1,731",11.4
3539,CA Los Angeles,"2,773",9.8
3540,CA Los Angeles,"4,497",16.1
3541,CA Los Angeles,"5,446",10.1
3542,CA Los Angeles,"2,165",8.1
3543,CA Los Angeles,"4,506",7.3
3544,CA Los Angeles,"5,494",9.3
3545,CA Los Angeles,"5,348",12.9
3546,CA Los Angeles,"1,177",7.7
3547,CA Los Angeles,"4,065",12.8
3548,CA Los Angeles,"4,951",12.6
3549,CA Los Angeles,"2,683",14.8
3550,CA Los Angeles,"2,779",8.0
3551,CA Los Angeles,"2,458",8.2
3552,CA Los Angeles,"3,922",10.4
3553,CA Los Angeles,"4,962",8.7
3554,CA Los Angeles,"3,877",11.2
3555,CA Los Angeles,"2,932",10.6
3556,CA Los Angeles,"4,675",6.8
3557,CA Los Angeles,"3,732",9.7
3558,CA Los Angeles,"2,446",14.2
3559,CA Los Angeles,"3,759",7.1
3560,CA Los Angeles,"4,259",13.2
3561,CA Los Angeles,"5,698",10.3
3562,CA Los Angeles,"6,273",8.0
3563,CA Los Angeles,"3,941",7.7
3564,CA Los Angeles,"3,044",6.8
3565,CA Los Angeles,"4,388",12.5
3566,CA Los Angeles,"3,770",12.7
3567,CA Los Angeles,"5,881",6.1
3568,CA Los Angeles,"4,260",6.9
3569,CA Los Angeles,"4,006",9.7
3570,CA Los Angeles,"2,802",9.7
3572,CA Los Angeles,"3,077",7.6
3573,CA Los Angeles,"5,864",14.5
3574,CA Los Angeles,"4,911",7.3
3575,CA Los Angeles,"3,905",9.8
3576,CA Los Angeles,"4,352",6.1
3577,CA Los Angeles,"5,092",13.7
3578,CA Los Angeles,"4,024",4.8
3579,CA Los Angeles,"3,085",9.2
3580,CA Los Angeles,"4,895",7.8
3581,CA Los Angeles,"3,412",12.5
3582,CA Los Angeles,"6,161",12.4
3583,CA Los Angeles,"2,274",13.4
3584,CA Los Angeles,"6,893",9.7
3585,CA Los Angeles,"3,029",6.9
3586,CA Los Angeles,"2,743",6.2
3587,CA Los Angeles,"3,203",16.4
3588,CA Los Angeles,"4,127",8.9
3589,CA Los Angeles,"4,409",13.8
3590,CA Los Angeles,"3,664",8.3
3591,CA Los Angeles,"3,452",12.5
3592,CA Los Angeles,"5,691",12.7
3593,CA Los Angeles,"3,127",17.0
3595,CA Los Angeles,"3,075",8.8
3596,CA Los Angeles,"3,074",12.7
3597,CA Los Angeles,"5,328",11.2
3598,CA Los Angeles,"3,507",14.6
3599,CA Los Angeles,"2,748",9.5
3600,CA Los Angeles,"2,430",13.1
3601,CA Los Angeles,"2,586",6.1
3602,CA Los Angeles,"2,799",6.1
3603,CA Los Angeles,"4,579",11.7
3604,CA Los Angeles,"5,927",5.9
3605,CA Los Angeles,"2,334",15.7
3606,CA Los Angeles,"4,720",8.0
3607,CA Los Angeles,"3,107",5.7
3608,CA Los Angeles,"3,761",8.7
3609,CA Los Angeles,"3,011",9.6
3610,CA Los Angeles,"2,474",9.5
3611,CA Los Angeles,"4,729",12.7
3612,CA Los Angeles,"3,865",8.4
3613,CA Los Angeles,"4,717",7.7
3614,CA Los Angeles,"4,720",10.3
3615,CA Los Angeles,"4,767",7.0
3616,CA Los Angeles,"3,704",7.5
3617,CA Los Angeles,"4,751",9.4
3618,CA Los Angeles,"3,069",9.0
3619,CA Los Angeles,"5,837",10.9
3620,CA Los Angeles,"3,672",11.4
3621,CA Los Angeles,"4,389",12.2
3622,CA Los Angeles,"5,024",14.2
3623,CA Los Angeles,"4,646",3.8
3624,CA Los Angeles,"4,086",15.7
3625,CA Los Angeles,"5,776",9.7
3626,CA Los Angeles,"3,902",5.5
3627,CA Los Angeles,"3,064",13.8
3628,CA Los Angeles,"3,202",8.5
3629,CA Los Angeles,"4,565",9.5
3630,CA Los Angeles,"3,700",14.5
3631,CA Los Angeles,"2,967",7.4
3632,CA Los Angeles,"2,833",10.4
3633,CA Los Angeles,"2,879",12.3
3634,CA Los Angeles,"6,655",9.6
3635,CA Los Angeles,"2,260",4.8
3636,CA Los Angeles,"1,262",8.5
3637,CA Los Angeles,"3,748",2.3
3638,CA Los Angeles,"5,531",10.9
3639,CA Los Angeles,"3,709",10.0
3640,CA Los Angeles,"9,344",1.2
3641,CA Los Angeles,"5,306",12.6
3642,CA Los Angeles,"5,396",7.4
3643,CA Los Angeles,"3,763",10.8
3644,CA Los Angeles,"3,926",15.4
3645,CA Los Angeles,"5,046",8.2
3646,CA Los Angeles,"5,968",13.0
3647,CA Los Angeles,"5,446",9.8
3648,CA Los Angeles,"2,922",12.5
3649,CA Los Angeles,"4,694",10.1
3650,CA Los Angeles,"2,645",7.8
3651,CA Los Angeles,"3,823",13.7
3652,CA Los Angeles,"4,261",13.2
3653,CA Los Angeles,"3,375",8.9
3654,CA Los Angeles,"1,974",10.4
3655,CA Los Angeles,"3,375",6.6
3656,CA Los Angeles,"3,315",11.2
3657,CA Los Angeles,"2,944",12.6
3658,CA Los Angeles,"4,068",6.8
3659,CA Los Angeles,"3,016",10.4
3660,CA Los Angeles,"2,812",14.6
3661,CA Los Angeles,"3,586",8.2
3662,CA Los Angeles,"2,434",13.7
3663,CA Los Angeles,"4,362",7.7
3664,CA Los Angeles,"2,814",12.8
3665,CA Los Angeles,"5,412",11.4
3666,CA Los Angeles,"4,076",9.9
3667,CA Los Angeles,"3,378",12.9
3668,CA Los Angeles,"3,172",5.1
3669,CA Los Angeles,"3,635",10.4
3670,CA Los Angeles,"4,395",6.8
3671,CA Los Angeles,"4,687",11.3
3672,CA Los Angeles,"2,789",13.4
3673,CA Los Angeles,"5,067",11.8
3674,CA Los Angeles,"5,103",11.6
3675,CA Los Angeles,"4,752",14.4
3676,CA Los Angeles,"5,265",17.0
3677,CA Los Angeles,"4,707",10.9
3678,CA Los Angeles,"1,939",8.0
3679,CA Los Angeles,"3,563",7.3
3680,CA Los Angeles,"4,015",7.6
3681,CA Los Angeles,"4,005",15.2
3682,CA Los Angeles,"3,818",11.8
3683,CA Los Angeles,"4,633",8.6
3684,CA Los Angeles,"3,332",8.8
3685,CA Los Angeles,"3,873",13.2
3686,CA Los Angeles,"2,882",10.2
3687,CA Los Angeles,"1,811",7.0
3688,CA Los Angeles,"6,542",10.5
3689,CA Los Angeles,"4,668",13.3
3690,CA Los Angeles,"3,150",12.3
3691,CA Los Angeles,"3,847",11.3
3692,CA Los Angeles,"1,363",8.8
3693,CA Los Angeles,"4,906",13.1
3694,CA Los Angeles,"3,152",10.7
3695,CA Los Angeles,"4,052",9.4
3696,CA Los Angeles,"6,629",9.7
3697,CA Los Angeles,"5,093",9.3
3698,CA Los Angeles,"3,413",8.7
3699,CA Los Angeles,"3,340",9.4
3700,CA Los Angeles,"5,020",8.9
3701,CA Los Angeles,"4,594",8.8
3702,CA Los Angeles,"2,941",7.9
3703,CA Los Angeles,"5,293",11.1
3704,CA Los Angeles,"3,344",13.8
3705,CA Los Angeles,"1,804",11.6
3706,CA Los Angeles,"4,619",14.0
3707,CA Los Angeles,"3,069",8.6
3708,CA Los Angeles,"4,255",8.3
3709,CA Los Angeles,"4,045",10.7
3710,CA Los Angeles,"5,969",9.0
3711,CA Los Angeles,"3,792,621",10.8
3712,CA Los Angeles,"3,142",13.0
3713,CA Los Angeles,"3,228",7.9
3714,CA Los Angeles,"3,087",7.1
3715,CA Los Angeles,"2,650",13.0
3716,CA Los Angeles,"3,061",12.8
3717,CA Los Angeles,"3,300",12.5
3718,CA Los Angeles,"4,449",9.8
3719,CA Los Angeles,"5,655",13.9
3720,CA Los Angeles,"4,758",8.3
3721,CA Los Angeles,"4,559",9.5
3722,CA Los Angeles,"5,341",10.2
3723,CA Los Angeles,"4,338",9.4
3724,CA Los Angeles,"3,611",6.8
3725,CA Los Angeles,"4,360",12.5
3726,CA Los Angeles,"2,781",14.4
3727,CA Los Angeles,"3,123",7.0
3728,CA Los Angeles,"3,526",15.0
3729,CA Los Angeles,"2,615",7.1
3730,CA Los Angeles,"4,475",5.6
3731,CA Los Angeles,"2,574",12.4
3732,CA Los Angeles,"2,990",6.7
3733,CA Los Angeles,"3,118",10.2
3734,CA Los Angeles,"5,252",5.3
3735,CA Los Angeles,"4,655",12.3
3736,CA Los Angeles,"3,859",11.3
3737,CA Los Angeles,"5,303",13.1
3738,CA Los Angeles,"4,657",8.8
3739,CA Los Angeles,"3,265",12.3
3740,CA Los Angeles,"2,933",14.5
3741,CA Los Angeles,"3,996",12.7
3742,CA Los Angeles,"2,936",8.7
3743,CA Los Angeles,"4,412",7.7
3744,CA Los Angeles,"3,262",7.1
3745,CA Los Angeles,"3,290",7.7
3746,CA Los Angeles,"1,533",10.4
3747,CA Los Angeles,"3,600",17.7
3748,CA Los Angeles,"2,561",7.4
3749,CA Los Angeles,"3,216",12.7
3750,CA Los Angeles,"3,363",10.7
3751,CA Los Angeles,"6,554",13.5
3752,CA Los Angeles,"3,423",9.2
3753,CA Los Angeles,"4,878",6.1
3754,CA Los Angeles,"3,868",11.7
3755,CA Los Angeles,"4,227",5.7
3756,CA Los Angeles,"2,906",10.5
3757,CA Los Angeles,"2,553",21.7
3758,CA Los Angeles,"4,492",12.0
3759,CA Los Angeles,"3,379",7.1
3760,CA Los Angeles,"3,582",11.7
3761,CA Los Angeles,"2,957",5.1
3762,CA Los Angeles,"2,669",8.0
3763,CA Los Angeles,"3,890",11.5
3764,CA Los Angeles,"3,529",8.5
3765,CA Los Angeles,"3,887",8.0
3766,CA Los Angeles,"5,453",9.5
3767,CA Los Angeles,"6,057",9.7
3768,CA Los Angeles,"4,596",11.1
3769,CA Los Angeles,"2,721",11.2
3770,CA Los Angeles,"4,803",12.4
3771,CA Los Angeles,"2,507",8.7
3772,CA Los Angeles,"3,358",7.2
3773,CA Los Angeles,"3,188",9.8
3774,CA Los Angeles,"3,851",10.1
3775,CA Los Angeles,"5,498",13.0
3776,CA Los Angeles,"3,650",5.2
3777,CA Los Angeles,"3,138",14.5
3778,CA Los Angeles,"5,252",13.0
3779,CA Los Angeles,"2,844",10.7
3780,CA Los Angeles,164,22.0
3781,CA Los Angeles,"5,270",7.6
3782,CA Los Angeles,"2,471",11.6
3783,CA Los Angeles,"3,083",5.8
3784,CA Los Angeles,"5,897",9.6
3785,CA Los Angeles,"3,191",9.3
3786,CA Los Angeles,"2,189",8.7
3787,CA Los Angeles,"3,628",7.6
3788,CA Los Angeles,"4,922",10.6
3789,CA Los Angeles,"3,506",12.9
3790,CA Los Angeles,"3,571",12.9
3791,CA Los Angeles,"4,082",2.7
3792,CA Los Angeles,"3,189",7.6
3793,CA Los Angeles,"2,645",9.7
3794,CA Los Angeles,"3,256",8.1
3795,CA Los Angeles,"5,364",8.8
3796,CA Los Angeles,"3,491",13.6
3797,CA Los Angeles,"2,658",9.2
3798,CA Los Angeles,"3,509",9.3
3800,CA Los Angeles,"4,100",10.0
3801,CA Los Angeles,"6,092",7.3
3802,CA Los Angeles,"2,800",6.0
3803,CA Los Angeles,"3,448",5.6
3804,CA Los Angeles,"5,045",9.9
3805,CA Los Angeles,"3,410",8.9
3806,CA Los Angeles,"3,355",5.5
3807,CA Los Angeles,"3,629",9.0
3808,CA Los Angeles,"3,914",16.5
3809,CA Los Angeles,"4,452",5.4
3810,CA Los Angeles,"3,787",13.7
3811,CA Los Angeles,"3,648",7.8
3812,CA Los Angeles,"1,905",7.5
3813,CA Los Angeles,"2,376",15.3
3814,CA Los Angeles,"3,851",8.6
3815,CA Los Angeles,"5,551",11.1
3816,CA Los Angeles,"7,540",25.5
3817,CA Los Angeles,"4,037",12.3
3818,CA Los Angeles,"3,356",9.4
3819,CA Los Angeles,"4,219",13.0
3820,CA Los Angeles,"2,313",13.4
3821,CA Los Angeles,"6,437",7.3
3822,CA Los Angeles,"5,520",12.0
3823,CA Los Angeles,"3,357",12.1
3824,CA Los Angeles,"4,921",11.5
3825,CA Los Angeles,"2,929",4.7
3826,CA Los Angeles,"2,820",10.3
3827,CA Los Angeles,"3,365",9.3
3828,CA Los Angeles,"2,761",5.1
3829,CA Los Angeles,"2,288",12.0
3830,CA Los Angeles,"4,216",6.1
3831,CA Los Angeles,"3,389",9.1
3832,CA Los Angeles,"2,945",13.2
3833,CA Los Angeles,"4,449",12.0
3834,CA Los Angeles,"3,091",9.8
3835,CA Los Angeles,"2,698",16.5
3836,CA Los Angeles,"5,683",5.7
3837,CA Los Angeles,"4,828",6.7
3838,CA Los Angeles,"3,299",9.3
3839,CA Los Angeles,"3,636",10.9
3840,CA Los Angeles,"5,256",11.3
3841,CA Los Angeles,"4,431",8.1
3842,CA Los Angeles,"2,310",10.7
3843,CA Los Angeles,"2,226",8.5
3844,CA Los Angeles,"4,192",8.9
3845,CA Los Angeles,"4,684",8.2
3846,CA Los Angeles,"3,216",6.3
3847,CA Los Angeles,"4,580",12.5
3848,CA Los Angeles,"3,454",13.7
3849,CA Los Angeles,"3,514",10.7
3850,CA Los Angeles,"2,867",5.9
3851,CA Los Angeles,"4,369",10.6
3852,CA Los Angeles,"5,207",11.9
3853,CA Los Angeles,"5,473",8.3
3855,CA Los Angeles,"2,834",6.3
3856,CA Los Angeles,"3,389",7.9
3857,CA Los Angeles,"2,492",10.9
3858,CA Los Angeles,"3,672",11.0
3859,CA Los Angeles,"4,626",14.6
3860,CA Los Angeles,"5,175",7.4
