,AZ_City,AZ_PopByMM,AZ_DeathPer100k
614,AZ Tucson,4912,9.0
615,AZ Tucson,3723,14.5
617,AZ Scottsdale,3556,6.7
619,AZ Tucson,3698,7.4
620,AZ Scottsdale,4939,8.7
622,AZ Tucson,2039,5.7
623,AZ Yuma,4049,15.6
627,AZ Scottsdale,5351,7.6
628,AZ Tucson,5980,16.7
631,AZ Tempe,1483,5.8
633,AZ Tucson,3791,13.8
635,AZ Tucson,2701,15.1
637,AZ Tucson,6023,10.3
638,AZ Scottsdale,3953,10.5
641,AZ Yuma,93064,11.4
642,AZ Surprise,117517,9.3
645,AZ Tucson,5072,12.7
646,AZ Tucson,4325,8.6
647,AZ Tucson,367,6.0
648,AZ Tucson,2340,7.1
654,AZ Tempe,2558,4.4
655,AZ Tucson,1846,8.9
657,AZ Yuma,1522,12.1
659,AZ Tucson,2891,8.9
662,AZ Tempe,3333,9.3
665,AZ Tempe,6173,7.5
667,AZ Tucson,2429,12.2
670,AZ Tucson,2900,5.4
671,AZ Tucson,1398,10.8
672,AZ Scottsdale,4516,7.1
673,AZ Tempe,3232,6.6
674,AZ Yuma,2442,7.2
677,AZ Yuma,4173,11.9
679,AZ Tucson,426,8.1
680,AZ Tucson,7565,10.4
685,AZ Tucson,4558,8.3
686,AZ Yuma,454,15.9
689,AZ Tucson,3526,4.7
690,AZ Surprise,2766,6.5
693,AZ Surprise,2489,6.2
696,AZ Scottsdale,217385,8.2
698,AZ Tucson,4449,9.6
699,AZ Scottsdale,4690,9.5
700,AZ Tucson,4446,8.9
701,AZ Tucson,1307,7.6
703,AZ Tucson,520116,10.2
704,AZ Yuma,4080,17.1
705,AZ Scottsdale,6736,7.7
706,AZ Tucson,1562,7.8
708,AZ Tempe,4520,8.7
710,AZ Yuma,2640,15.6
713,AZ Tucson,3216,8.7
715,AZ Tempe,5666,6.7
721,AZ Surprise,3559,8.4
722,AZ Tucson,2100,9.7
723,AZ Tucson,3364,6.5
724,AZ Tucson,3728,14.1
726,AZ Scottsdale,1383,9.4
728,AZ Surprise,3046,13.7
730,AZ Tempe,2675,2.2
731,AZ Tucson,4851,10.1
732,AZ Scottsdale,6585,5.9
733,AZ Yuma,3002,9.5
736,AZ Tucson,3171,8.1
737,AZ Scottsdale,2804,10.4
739,AZ Scottsdale,3580,8.2
740,AZ Tucson,4503,9.9
745,AZ Scottsdale,2018,7.6
747,AZ Scottsdale,4917,7.6
748,AZ Tempe,2211,7.7
749,AZ Tucson,4940,5.7
752,AZ Tucson,4552,3.4
754,AZ Yuma,5164,12.3
755,AZ Scottsdale,1318,9.2
756,AZ Tempe,6057,5.1
757,AZ Tempe,9107,2.3
758,AZ Tucson,5261,8.8
760,AZ Tucson,697,7.5
762,AZ Tucson,93,7.3
763,AZ Tempe,3412,8.5
764,AZ Yuma,6432,9.7
771,AZ Tucson,3899,11.0
773,AZ Surprise,5458,6.8
774,AZ Scottsdale,4608,6.1
778,AZ Tucson,2038,9.5
779,AZ Scottsdale,2268,11.2
780,AZ Yuma,5048,10.6
781,AZ Surprise,3708,7.2
789,AZ Tucson,6208,12.5
790,AZ Tucson,3657,10.5
791,AZ Yuma,4811,12.4
793,AZ Tempe,5305,7.3
795,AZ Tucson,2545,13.0
797,AZ Tempe,5449,6.9
798,AZ Tempe,161719,6.5
802,AZ Tucson,3675,6.5
808,AZ Scottsdale,2677,9.0
809,AZ Tucson,3507,11.6
810,AZ Yuma,475,18.6
811,AZ Scottsdale,4521,9.4
812,AZ Tucson,1673,9.3
813,AZ Tucson,2245,7.6
815,AZ Scottsdale,1383,5.1
816,AZ Tucson,2896,10.2
823,AZ Surprise,7259,6.3
824,AZ Scottsdale,6059,8.0
826,AZ Tucson,2095,16.6
829,AZ Tempe,4088,7.7
830,AZ Tucson,3508,14.6
831,AZ Scottsdale,217385,6.6
834,AZ Tucson,3157,12.2
835,AZ Tucson,2749,8.6
837,AZ Tucson,264,9.3
838,AZ Scottsdale,4168,5.5
839,AZ Yuma,2510,14.7
840,AZ Tucson,3259,7.7
844,AZ Scottsdale,907,10.4
846,AZ Scottsdale,3293,8.6
848,AZ Tucson,4313,11.3
849,AZ Tucson,7634,12.8
850,AZ Scottsdale,3080,9.6
851,AZ Tucson,3413,8.5
854,AZ Tempe,1342,1.7
855,AZ Tucson,4409,13.0
857,AZ Surprise,6764,6.3
858,AZ Tucson,5098,7.5
859,AZ Tucson,6282,9.6
860,AZ Tucson,2378,8.2
863,AZ Scottsdale,201,8.5
865,AZ Yuma,2170,8.0
866,AZ Tucson,1081,11.3
871,AZ Tempe,5102,5.2
872,AZ Tucson,4469,10.8
873,AZ Tucson,3097,9.3
874,AZ Tempe,2472,8.2
878,AZ Scottsdale,4498,8.3
882,AZ Tucson,6057,9.7
884,AZ Scottsdale,1892,7.6
887,AZ Surprise,1474,13.6
888,AZ Surprise,3957,6.2
889,AZ Tucson,3599,11.2
895,AZ Yuma,8153,8.2
896,AZ Tucson,2591,9.9
899,AZ Tucson,3926,8.4
900,AZ Surprise,3395,14.0
901,AZ Yuma,2446,5.9
902,AZ Tucson,2914,10.5
904,AZ Scottsdale,3930,7.8
906,AZ Tempe,4946,7.1
911,AZ Yuma,123,18.1
914,AZ Tucson,3670,9.1
917,AZ Scottsdale,4791,6.9
918,AZ Scottsdale,3065,11.1
920,AZ Tempe,7023,5.2
923,AZ Yuma,465,9.5
926,AZ Tucson,4695,8.5
927,AZ Tempe,2942,4.4
928,AZ Scottsdale,4156,9.7
929,AZ Tempe,6254,6.5
931,AZ Tucson,2484,9.2
932,AZ Tucson,1622,10.7
933,AZ Scottsdale,2472,7.7
936,AZ Tucson,4153,14.5
937,AZ Tucson,5269,14.5
939,AZ Tucson,4246,9.7
941,AZ Surprise,6212,14.2
942,AZ Scottsdale,3719,7.3
943,AZ Scottsdale,2640,10.5
947,AZ Tucson,4423,9.2
948,AZ Yuma,2381,13.0
949,AZ Tucson,3442,5.5
950,AZ Tucson,3268,11.8
951,AZ Tucson,4479,10.7
954,AZ Tucson,3912,15.5
956,AZ Tucson,5331,11.2
963,AZ Surprise,4905,8.4
966,AZ Scottsdale,2965,7.9
967,AZ Tempe,4624,6.6
968,AZ Yuma,2588,13.1
969,AZ Scottsdale,4041,9.4
970,AZ Surprise,2827,7.1
971,AZ Surprise,404,16.8
972,AZ Scottsdale,2588,8.2
973,AZ Tucson,2950,6.4
975,AZ Scottsdale,3953,7.4
976,AZ Tucson,514,9.2
978,AZ Tucson,3479,7.0
979,AZ Tucson,5683,10.4
980,AZ Tucson,7393,10.9
981,AZ Scottsdale,2754,5.1
983,AZ Tempe,5480,6.9
984,AZ Tempe,3170,7.9
986,AZ Tucson,5825,12.1
987,AZ Tucson,2138,5.8
990,AZ Tucson,4697,14.6
997,AZ Tucson,6316,10.9
998,AZ Scottsdale,5531,8.8
999,AZ Tucson,4399,8.4
1001,AZ Tucson,3884,11.0
1002,AZ Surprise,6011,7.1
1005,AZ Tucson,2323,8.2
1008,AZ Scottsdale,2967,8.7
1009,AZ Tucson,5961,8.6
1010,AZ Surprise,4184,12.5
1012,AZ Yuma,3585,12.1
1013,AZ Scottsdale,6026,8.0
1014,AZ Tucson,4135,9.5
1018,AZ Tucson,4409,9.4
1020,AZ Tempe,5436,7.3
