,NY_City,NY_PopByMM,NY_DeathPer100k
17836,NY New York,2594,13.5
17837,NY New York,4228,10.9
17838,NY New York,1537,13.7
17839,NY New York,3827,17.6
17840,NY New York,2105,11.2
17841,NY New York,3307,8.6
17842,NY New York,1931,14.2
17843,NY New York,2303,10.4
17844,NY New York,4446,9.8
17845,NY New York,2423,12.8
17846,NY New York,1657,9.3
17847,NY New York,4116,9.6
17848,NY New York,1371,7.6
17849,NY New York,3456,11.5
17850,NY New York,4353,12.5
17851,NY New York,1730,8.5
17852,NY New York,6617,12.7
17853,NY New York,4210,12.4
17855,NY New York,3575,10.5
17856,NY New York,3090,11.9
17857,NY New York,3897,11.1
17858,NY New York,3487,11.2
17859,NY New York,3850,13.6
17860,NY New York,4013,14.0
17861,NY New York,2912,11.5
17862,NY New York,1722,13.4
17863,NY New York,3450,8.9
17864,NY New York,4172,3.8
17865,NY New York,3946,11.4
17866,NY New York,2698,11.6
17867,NY New York,4120,11.8
17868,NY New York,4180,11.1
17869,NY New York,1533,10.1
17870,NY New York,5429,4.9
17871,NY New York,6382,13.0
17872,NY New York,2910,7.1
17873,NY New York,3931,18.0
17874,NY New York,1338,11.8
17875,NY New York,3207,7.8
17876,NY New York,4033,13.1
17877,NY New York,3384,10.8
17878,NY New York,5643,16.4
17879,NY New York,5650,4.9
17880,NY New York,4206,13.3
17881,NY New York,3228,13.2
17882,NY New York,4163,12.6
17883,NY New York,5257,11.5
17884,NY New York,6218,10.3
17885,NY New York,1053,12.5
17886,NY New York,117,4.8
17887,NY New York,3054,14.1
17889,NY New York,3574,9.2
17890,NY New York,1983,13.3
17891,NY New York,2927,12.6
17892,NY New York,1762,7.5
17893,NY New York,4741,7.8
17894,NY New York,3067,13.1
17895,NY New York,3318,4.1
17896,NY New York,4425,11.9
17897,NY New York,3451,15.3
17898,NY New York,3301,5.0
17899,NY New York,1964,5.2
17900,NY New York,3025,7.6
17901,NY New York,3415,13.8
17903,NY New York,1960,10.4
17904,NY New York,1752,13.9
17905,NY New York,4527,8.3
17906,NY New York,2449,10.4
17907,NY New York,3364,3.5
17908,NY New York,1663,12.3
17909,NY New York,7628,10.9
17910,NY New York,4362,8.9
17911,NY New York,3834,18.3
17912,NY New York,3749,5.6
17913,NY New York,3216,18.9
17914,NY New York,2443,7.8
17915,NY New York,3406,10.6
17916,NY New York,1577,14.5
17917,NY New York,5110,16.6
17918,NY New York,4591,9.6
17919,NY New York,3184,11.9
17920,NY New York,3416,12.7
17921,NY New York,3871,11.1
17922,NY New York,1199,7.7
17924,NY New York,3083,12.1
17925,NY New York,1972,8.4
17926,NY New York,3420,11.9
17927,NY New York,5600,11.1
17928,NY New York,2289,13.7
17929,NY New York,5028,8.4
17930,NY New York,2426,14.1
17931,NY New York,4235,11.6
17932,NY New York,2058,9.4
17933,NY New York,5175,11.1
17934,NY New York,1056,14.2
17935,NY New York,4132,10.4
17936,NY New York,3042,6.5
17937,NY New York,4441,12.7
17938,NY New York,3818,11.9
17939,NY New York,7917,11.6
17940,NY New York,2447,4.8
17941,NY New York,5280,14.0
17942,NY New York,4915,13.8
17943,NY New York,2880,9.2
17944,NY New York,6127,12.9
17945,NY New York,1236,8.0
17946,NY New York,2178,10.7
17947,NY New York,6471,5.8
17948,NY New York,3926,12.4
17949,NY New York,2601,8.9
17950,NY New York,4294,16.4
17951,NY New York,4604,12.2
17952,NY New York,1803,9.0
17953,NY New York,1619,6.1
17954,NY New York,1675,13.5
17955,NY New York,3493,9.2
17956,NY New York,3865,7.8
17957,NY New York,2898,11.0
17958,NY New York,2632,9.8
17959,NY New York,1142,12.8
17960,NY New York,4256,13.8
17961,NY New York,6170,12.4
17962,NY New York,2167,11.1
17963,NY New York,2662,8.6
17964,NY New York,2057,10.7
17965,NY New York,6624,6.1
17966,NY New York,2287,10.8
17967,NY New York,3657,8.9
17968,NY New York,3218,11.4
17969,NY New York,3177,16.6
17970,NY New York,2302,10.7
17971,NY New York,3649,11.5
17972,NY New York,4763,14.7
17973,NY New York,6942,11.9
17974,NY New York,5434,18.7
17975,NY New York,4767,14.5
17976,NY New York,8729,12.2
17977,NY New York,2996,14.0
17978,NY New York,3178,11.3
17979,NY New York,1914,12.7
17980,NY New York,2101,12.0
17981,NY New York,4323,14.6
17982,NY New York,3677,16.5
17983,NY New York,2152,11.5
17984,NY New York,1649,11.2
17985,NY New York,4643,14.0
17986,NY New York,3598,11.8
17987,NY New York,1943,9.8
17988,NY New York,3090,14.6
17989,NY New York,2105,8.1
17990,NY New York,5546,9.8
17991,NY New York,5228,14.0
17992,NY New York,3075,12.2
17993,NY New York,7112,14.5
17994,NY New York,6404,14.2
17995,NY New York,1367,14.6
17996,NY New York,1542,10.0
17997,NY New York,2127,9.3
17998,NY New York,1486,10.7
17999,NY New York,2516,6.7
18000,NY New York,2100,9.7
18001,NY New York,2096,11.7
18002,NY New York,1476,9.3
18003,NY New York,4279,9.3
18004,NY New York,1764,19.0
18005,NY New York,1537,15.7
18006,NY New York,2657,10.5
18007,NY New York,6887,12.9
18008,NY New York,6737,15.0
18009,NY New York,2371,14.3
18010,NY New York,3168,9.5
18011,NY New York,2771,10.9
18012,NY New York,3568,11.7
18013,NY New York,6193,10.2
18014,NY New York,4968,8.7
18015,NY New York,2983,13.4
18016,NY New York,5156,4.2
18017,NY New York,10820,6.6
18018,NY New York,1623,14.1
18019,NY New York,3029,8.3
18020,NY New York,1270,8.5
18021,NY New York,2516,11.4
18022,NY New York,3730,4.8
18023,NY New York,8175133,11.1
18024,NY New York,3495,10.3
18025,NY New York,4970,11.0
18026,NY New York,3122,4.9
18027,NY New York,3794,14.5
18028,NY New York,3892,9.3
18029,NY New York,3651,16.6
18030,NY New York,3786,10.1
18031,NY New York,5461,3.9
