,IL_City,IL_PopByMM,IL_DiagPer100k
10986,IL Chicago,"3,109",20.5
10987,IL Chicago,"6,867",5.7
10988,IL Chicago,"1,527",16.8
10989,IL Chicago,"1,697",8.7
10990,IL Chicago,"3,648",8.6
10991,IL Chicago,"4,012",11.5
10992,IL Chicago,"3,611",18.1
10993,IL Chicago,"7,270",11.6
10994,IL Joliet,571,7.9
10995,IL Chicago,"1,713",9.9
10996,IL Chicago,"3,603",13.0
10997,IL Palatine,"68,557",7.5
10998,IL Chicago,"2,077",5.6
10999,IL Chicago,"2,060",10.7
11000,IL Chicago,"2,557",8.9
11001,IL Chicago,"3,996",4.0
11002,IL Chicago,"2,085",13.8
11003,IL Chicago,"1,943",11.6
11004,IL Chicago,"2,495",19.4
11005,IL Chicago,"1,412",8.6
11006,IL Chicago,389,23.7
11007,IL Joliet,"4,124",16.6
11008,IL Chicago,"1,609",13.3
11009,IL Elgin,"4,552",8.3
11010,IL Chicago,"2,962",16.2
11011,IL Joliet,"9,749",6.1
11012,IL Chicago,"5,049",18.9
11013,IL Chicago,"1,268",10.1
11014,IL Chicago,"1,666",12.1
11015,IL Chicago,"1,391",4.7
11016,IL Chicago,"3,785",7.9
11017,IL Chicago,"7,107",11.3
11018,IL Chicago,"2,703",7.2
11019,IL Decatur,"3,485",11.0
11020,IL Chicago,"2,730",9.7
11021,IL Chicago,"5,399",11.8
11022,IL Palatine,"7,143",8.2
11023,IL Chicago,"2,955",10.7
11024,IL Chicago,"3,404",15.6
11025,IL Chicago,"1,317",3.6
11026,IL Evanston,"3,301",10.4
11027,IL Chicago,"3,649",19.4
11028,IL Chicago,"3,699",9.1
11029,IL Chicago,"3,127",16.5
11030,IL Peoria,"4,710",8.7
11031,IL Chicago,"2,424",17.6
11032,IL Chicago,"4,402",6.3
11033,IL Chicago,"3,727",3.2
11034,IL Chicago,"4,140",17.0
11035,IL Naperville,"3,022",7.9
11036,IL Chicago,"1,766",7.6
11037,IL Chicago,"5,960",10.9
11038,IL Chicago,"6,450",10.8
11039,IL Chicago,"3,156",10.9
11040,IL Joliet,"2,633",13.2
11041,IL Chicago,"4,340",11.1
11042,IL Chicago,"1,451",19.6
11043,IL Chicago,"7,453",9.6
11044,IL Chicago,"2,213",13.8
11045,IL Elgin,"1,453",6.0
11046,IL Naperville,"3,765",7.4
11047,IL Chicago,"2,724",3.7
11048,IL Chicago,"2,944",3.4
11049,IL Peoria,"3,024",10.6
11050,IL Chicago,"3,115",17.4
11052,IL Chicago,"3,533",16.2
11053,IL Chicago,"3,656",5.7
11054,IL Elgin,"5,091",9.2
11055,IL Joliet,"3,075",9.9
11056,IL Chicago,"1,667",17.5
11057,IL Chicago,"6,345",5.4
11058,IL Chicago,"3,515",12.3
11059,IL Chicago,"5,369",6.6
11060,IL Chicago,"1,244",10.3
11061,IL Chicago,"3,513",3.9
11062,IL Chicago,"5,064",7.3
