City_Name,,Daig12Month,Diag9Moths,Daig6Month,Daig3Month,EstPopByCountyCity,DaigYrlyRate,CrudeRate100K
CA Redondo Beach,,44499,33374.25,22249.5,11124.75,69781,0.64,2.2
CA Milpitas,,44504,33378,22252,11126,79066,0.56,2.2
CA Manteca,,44731,33548.25,22365.5,11182.75,85792,0.52,2.2
CA Perris,,45575,34181.25,22787.5,11393.75,79835,0.57,2.3
CA Turlock,,45699,34274.25,22849.5,11424.75,72682,0.63,2.3
CA Redlands,,45831,34373.25,22915.5,11457.75,73288,0.63,2.3
CA Apple Valley,,46079,34559.25,23039.5,11519.75,76224,0.6,2.3
CA Union City,,46344,34758,23172,11586,70460,0.66,2.3
CA Lynwood,,46515,34886.25,23257.5,11628.75,65505,0.71,2.3
CA Pleasanton,,46857,35142.75,23428.5,11714.25,78252,0.6,2.3
CA San Ramon,,48083,36062.25,24041.5,12020.75,86947,0.55,2.4
CA Folsom,,48122,36091.5,24061,12030.5,81224,0.59,2.4
CA Upland,,49155,36866.25,24577.5,12288.75,79274,0.62,2.5
CA Alameda,,49208,36906,24604,12302,76261,0.65,2.5
CA Mountain View,,49368,37026,24684,12342,81516,0.61,2.5
CA Chino Hills,,49866,37399.5,24933,12466.5,78907,0.63,2.5
CA Baldwin Park,,50260,37695,25130,12565,70629,0.71,2.5
CA Tustin,,50335,37751.25,25167.5,12583.75,79430,0.63,2.5
