,TX_City,TX_PopByMM,TX_DiagPer100k
25503,TX Houston,"3,663",14.2
25504,TX Houston,"3,687",11.9
25505,TX Houston,"1,765",13.5
25506,TX Houston,"4,872",7.9
25507,TX Houston,328,8.3
25508,TX Houston,"3,894",15.0
25509,TX Houston,"4,103",11.2
25510,TX Houston,"3,511",3.9
25511,TX Houston,"2,099,451",12.0
25512,TX Houston,113,17.8
25514,TX Houston,"2,170",7.9
25515,TX Houston,"5,647",13.4
25516,TX Houston,"1,416",18.8
25517,TX Houston,"1,653",8.8
25518,TX Grand Prairie,"2,430",13.5
25520,TX Garland,"5,510",14.8
25521,TX Houston,"4,543",7.7
25522,TX Houston,146,13.6
25523,TX Houston,"6,367",9.5
25524,TX Houston,"2,232",8.3
25525,TX Grand Prairie,"6,703",11.4
25526,TX Houston,"3,079",16.3
25527,TX Houston,"1,620",22.2
25528,TX Houston,147,14.1
25529,TX Houston,"4,767",11.1
25530,TX Garland,"4,712",16.6
25531,TX Houston,"4,243",15.1
25532,TX Houston,215,11.7
25533,TX Houston,"2,876",13.8
25534,TX Houston,"3,598",16.5
25535,TX Houston,"3,384",6.7
25536,TX Garland,"5,294",9.7
25537,TX Houston,"6,693",14.7
25538,TX Houston,"2,963",7.7
25539,TX Houston,"2,829",7.7
25541,TX Houston,"3,626",11.8
25542,TX Houston,"2,651",20.2
25543,TX Garland,"4,301",14.0
25544,TX Houston,"1,200",9.8
25545,TX Houston,"1,927",13.6
25546,TX Houston,"3,849",18.7
25547,TX Houston,"3,049",11.8
25548,TX Houston,"3,843",18.7
25550,TX Garland,"5,584",9.4
25551,TX Houston,"3,604",8.4
25553,TX Houston,"9,652",5.7
25554,TX Houston,"2,728",16.0
25555,TX Houston,"3,037",19.4
25556,TX Houston,"5,054",19.8
25557,TX Grand Prairie,"3,458",12.6
25558,TX Houston,"4,509",14.4
25559,TX Houston,"3,640",6.4
25560,TX Houston,"3,067",9.6
25561,TX Houston,"7,167",10.1
25562,TX Houston,"5,355",6.4
25563,TX Houston,"2,892",7.6
25564,TX Houston,"4,774",12.6
25565,TX Houston,"3,635",20.8
25566,TX Houston,"2,089",6.3
25567,TX Houston,"3,801",16.8
25568,TX Houston,573,6.3
25569,TX Houston,"6,161",10.7
25570,TX Garland,"4,076",9.4
25571,TX Houston,"4,542",14.8
25572,TX Houston,"1,933",11.1
25573,TX Houston,"7,947",13.6
25574,TX Houston,106,6.1
25575,TX Houston,311,7.2
25577,TX Garland,"7,050",12.9
25578,TX Grand Prairie,"6,511",12.6
25579,TX Houston,"5,217",14.4
25580,TX Garland,"5,577",11.3
25581,TX Houston,"3,161",12.5
25582,TX Garland,"5,905",11.7
25583,TX Houston,"2,602",21.2
25585,TX Houston,"5,242",15.8
25586,TX Houston,"8,259",15.0
25587,TX Houston,138,6.6
25588,TX Houston,"6,424",16.9
25589,TX Houston,"2,349",15.8
25590,TX Houston,"5,546",11.1
25591,TX Houston,"3,001",8.3
25592,TX Grand Prairie,"3,377",10.6
25593,TX Houston,"2,490",14.5
25594,TX Houston,60,9.0
25595,TX Houston,"3,257",20.1
25596,TX Grand Prairie,"5,129",13.5
25597,TX Houston,"7,400",9.7
25598,TX Houston,"2,485",17.4
25599,TX Grand Prairie,"2,031",14.2
25600,TX Houston,"6,328",11.7
25602,TX Houston,"4,147",10.7
25603,TX Houston,"1,506",12.0
25604,TX Houston,"9,228",12.7
25605,TX Houston,"3,330",8.2
25606,TX Houston,"2,307",7.9
25608,TX Houston,"2,486",8.5
25609,TX Grand Prairie,218,6.1
25610,TX Garland,237,8.8
25611,TX Houston,"5,054",7.7
25612,TX Houston,"1,080",9.4
25615,TX Houston,"5,991",9.4
25616,TX Houston,101,12.2
25617,TX Grand Prairie,"2,855",14.8
25618,TX Houston,"4,421",17.0
25619,TX Houston,"2,435",13.4
25620,TX Houston,"4,041",15.3
25621,TX Houston,"3,748",11.3
25622,TX Garland,"7,232",12.6
25623,TX Houston,428,11.3
25624,TX Houston,"5,770",17.5
25625,TX Houston,61,6.1
25626,TX Houston,"1,756",8.5
25627,TX Houston,"1,803",10.0
25628,TX Grand Prairie,"3,625",5.0
25630,TX Houston,"5,871",7.9
25631,TX Houston,"7,394",13.1
25632,TX Houston,"3,087",7.1
25633,TX Houston,"5,005",9.6
25635,TX Houston,"2,501",19.7
25636,TX Houston,"7,411",10.6
25637,TX Garland,"3,690",12.1
25638,TX Grand Prairie,"8,945",9.4
25639,TX Houston,982,12.4
25640,TX Houston,591,4.4
25641,TX Houston,"9,419",8.2
25642,TX Houston,"5,924",7.9
25643,TX Houston,"3,303",8.6
25644,TX Houston,"3,632",13.6
25645,TX Houston,"1,969",13.4
25646,TX Houston,"1,061",6.3
25647,TX Houston,"5,886",10.2
25648,TX Houston,"3,929",7.0
25649,TX Houston,393,10.0
25650,TX Houston,"2,289",6.0
25651,TX Houston,"7,699",15.8
25652,TX Houston,"2,941",9.9
25653,TX Grand Prairie,"2,579",13.7
25654,TX Houston,"2,664",14.3
25655,TX Houston,"2,142",7.7
25656,TX Houston,"4,108",14.9
25657,TX Garland,"6,463",11.7
25658,TX Houston,"6,849",10.9
25659,TX Houston,"4,278",9.0
25660,TX Houston,"4,476",13.7
25661,TX Houston,"1,008",10.6
25662,TX Houston,"3,655",13.1
25663,TX Houston,"6,317",18.3
25664,TX Houston,"5,544",10.9
25666,TX Houston,"1,803",21.3
25667,TX Houston,"2,854",7.9
25668,TX Houston,"1,705",18.6
25669,TX Houston,"6,908",6.1
25670,TX Houston,"3,284",10.3
25671,TX Houston,681,16.1
25673,TX Houston,"6,897",8.1
25674,TX Houston,"2,822",21.4
25676,TX Houston,"4,495",5.6
25678,TX Houston,"2,860",14.9
25679,TX Houston,"3,216",16.6
25680,TX Houston,"6,232",13.0
25681,TX Houston,"2,039",20.8
25682,TX Houston,"6,458",17.2
25683,TX Houston,"3,471",7.4
25684,TX Houston,"3,807",6.4
25685,TX Houston,"7,869",13.2
25686,TX Houston,"5,674",12.1
25687,TX Houston,"4,617",16.0
25688,TX Houston,"2,058",20.0
25690,TX Houston,807,6.1
25691,TX Garland,"3,179",12.4
25693,TX Houston,"2,764",16.8
25694,TX Houston,"2,340",17.2
25696,TX Houston,"6,074",12.4
25697,TX Houston,554,6.8
25698,TX Houston,"4,121",17.2
25699,TX Houston,"5,606",15.8
25700,TX Houston,"5,593",13.3
25701,TX Houston,600,9.7
25702,TX Houston,"3,711",7.5
25703,TX Grand Prairie,"3,008",10.8
25704,TX Houston,383,6.4
25705,TX Houston,"4,040",16.0
25706,TX Houston,"6,070",5.5
25707,TX Houston,"6,605",17.0
25708,TX Houston,"5,924",9.4
25709,TX Houston,"3,347",13.1
25710,TX Houston,"3,837",6.7
25711,TX Houston,"3,910",16.1
25712,TX Grand Prairie,"6,114",9.3
25713,TX Houston,"5,118",14.5
25714,TX Houston,"6,721",10.9
25715,TX Houston,"2,511",9.9
25716,TX Houston,88,8.6
25717,TX Grand Prairie,"9,995",9.4
25718,TX Garland,"4,668",10.5
25719,TX Houston,"5,880",20.4
25720,TX Houston,"3,156",14.7
25721,TX Houston,"8,322",14.7
25722,TX Garland,"3,830",9.3
25723,TX Houston,"4,207",12.2
25725,TX Garland,234,5.2
25726,TX Houston,"4,043",8.9
25727,TX Houston,133,13.9
25729,TX Houston,"1,597",10.5
25730,TX Houston,"5,497",14.3
25732,TX Houston,"4,618",12.1
25733,TX Houston,52,7.1
25734,TX Houston,"6,537",11.3
25735,TX Houston,"5,381",19.9
25736,TX Houston,"7,169",10.0
25737,TX Garland,"226,876",12.1
25738,TX Houston,"4,126",11.2
25739,TX Houston,"3,206",3.8
25740,TX Houston,"3,695",6.8
25741,TX Houston,"1,463",6.0
25742,TX Houston,"7,794",14.5
25743,TX Houston,"3,440",12.5
25744,TX Houston,"3,681",7.2
25745,TX Houston,"7,544",5.0
25746,TX Houston,"3,289",20.6
25747,TX Garland,835,11.0
25748,TX Houston,"4,867",14.3
25749,TX Houston,"2,220",7.7
25750,TX Houston,"1,768",10.2
25751,TX Houston,"7,886",11.5
25752,TX Grand Prairie,"4,951",9.5
25753,TX Houston,53,6.9
25754,TX Houston,"2,774",8.7
25755,TX Houston,"2,831",21.8
25756,TX Houston,699,9.0
25757,TX Houston,726,7.1
25758,TX Garland,"3,709",13.6
25759,TX Houston,"5,593",20.8
25760,TX Houston,"2,434",8.7
25761,TX Houston,"2,412",6.7
25762,TX Houston,"5,759",7.1
25763,TX Houston,"3,336",9.1
25764,TX Garland,"4,683",15.3
25765,TX Houston,"4,729",17.5
25766,TX Houston,"1,907",15.7
25767,TX Garland,"6,173",9.8
25768,TX Houston,"6,137",14.5
25769,TX Houston,"3,178",11.2
25770,TX Houston,"6,881",9.0
25771,TX Houston,"2,400",21.6
25772,TX Houston,"2,327",10.6
25773,TX Houston,509,4.7
25774,TX Houston,"2,430",11.1
25775,TX Houston,"4,042",11.2
25776,TX Houston,"2,631",13.5
25777,TX Houston,"3,631",7.0
25778,TX Houston,"4,167",13.4
25779,TX Houston,"4,560",11.1
25782,TX Houston,"4,690",8.9
25783,TX Houston,"2,466",10.3
25784,TX Houston,818,8.5
25785,TX Garland,"5,046",10.6
25786,TX Houston,"2,621",6.2
25787,TX Houston,"5,897",11.6
25788,TX Garland,"3,657",10.2
25789,TX Houston,"7,235",12.8
25790,TX Houston,"3,030",15.0
25791,TX Houston,"2,208",21.2
25792,TX Houston,101,9.9
25793,TX Houston,"1,496",16.3
25794,TX Houston,"5,520",9.0
25795,TX Houston,"3,233",11.1
25796,TX Houston,"2,328",2.4
25798,TX Houston,"3,916",4.8
25799,TX Houston,"2,805",20.4
25800,TX Houston,"5,021",14.2
25801,TX Houston,"1,955",15.1
25802,TX Grand Prairie,"4,455",14.6
25803,TX Houston,"2,706",23.1
25804,TX Houston,"9,372",12.5
25805,TX Houston,"4,271",21.5
25806,TX Houston,"2,626",5.0
25807,TX Houston,"9,914",10.2
25808,TX Houston,"4,310",8.4
25809,TX Houston,"1,684",14.1
25811,TX Houston,"4,759",6.8
25812,TX Houston,"2,446",7.1
25813,TX Houston,"3,393",9.4
25814,TX Houston,"6,004",21.2
25815,TX Garland,920,11.0
25816,TX Houston,825,7.4
25819,TX Houston,"5,084",6.4
25821,TX Houston,"7,317",8.0
25822,TX Houston,"3,849",13.3
25823,TX Houston,"2,654",12.0
25824,TX Houston,"4,774",18.1
25826,TX Grand Prairie,"7,361",8.0
25827,TX Houston,"4,647",21.2
25828,TX Houston,"4,818",12.5
25829,TX Houston,"5,049",15.8
25831,TX Houston,"7,014",12.8
25832,TX Houston,"3,383",6.4
25833,TX Houston,"4,503",9.5
25834,TX Houston,455,9.6
25835,TX Houston,"5,527",14.8
25836,TX Houston,"3,719",18.4
25837,TX Houston,"7,111",19.2
25838,TX Houston,"2,775",11.3
25839,TX Houston,"2,849",7.0
25840,TX Houston,"3,356",7.0
25841,TX Garland,"6,536",12.5
25843,TX Houston,"2,965",12.9
25844,TX Houston,271,16.2
25845,TX Houston,"1,775",9.4
25846,TX Houston,"2,491",16.1
25847,TX Houston,"5,358",15.1
25848,TX Houston,"4,122",9.6
25849,TX Houston,"3,818",5.4
25850,TX Houston,"3,971",21.5
25851,TX Houston,"5,227",20.6
25852,TX Grand Prairie,"7,309",12.5
25853,TX Houston,"5,083",14.2
25854,TX Garland,"4,950",10.1
25857,TX Houston,"5,380",12.4
25858,TX Houston,"2,484",14.4
25859,TX Houston,"6,814",9.1
25860,TX Houston,153,12.6
25861,TX Houston,"3,484",13.7
25862,TX Houston,"3,162",9.3
25863,TX Houston,"1,177",16.2
25864,TX Garland,"226,876",11.8
25865,TX Houston,"1,380",7.9
25866,TX Garland,139,10.3
25868,TX Houston,"3,786",5.4
25869,TX Houston,"3,909",8.3
25870,TX Houston,"2,935",17.5
25871,TX Houston,"2,108",14.3
25872,TX Houston,"4,430",11.3
25873,TX Houston,243,10.9
25874,TX Houston,"2,967",6.4
25875,TX Houston,"6,025",14.0
25876,TX Houston,"2,725",2.2
25877,TX Houston,"4,434",13.0
25878,TX Houston,"4,399",9.5
25879,TX Houston,"6,662",14.9
25880,TX Houston,"2,097",18.3
25881,TX Grand Prairie,"4,857",12.5
25882,TX Houston,"4,209",5.8
25883,TX Houston,"3,209",5.8
25884,TX Houston,"5,682",11.8
25885,TX Houston,"3,239",13.8
25886,TX Houston,"3,156",12.7
25887,TX Houston,"4,058",8.1
25888,TX Houston,"2,675",9.0
25890,TX Garland,"3,285",11.4
25891,TX Houston,"4,348",7.6
25892,TX Houston,"5,884",11.2
25893,TX Houston,"4,089",5.8
25894,TX Houston,561,6.1
25895,TX Houston,"6,272",13.5
25896,TX Houston,"4,981",10.1
25897,TX Houston,"7,857",15.5
25898,TX Houston,54,10.3
25899,TX Houston,"3,905",10.8
25901,TX Grand Prairie,"3,968",7.2
25902,TX Houston,"4,406",13.1
25903,TX Houston,"4,336",14.8
25904,TX Garland,"4,178",13.6
25905,TX Houston,"3,373",9.4
25906,TX Houston,"8,593",14.3
25907,TX Garland,"6,155",11.9
25908,TX Houston,"4,708",18.8
25909,TX Houston,"4,145",12.4
25911,TX Houston,"4,663",15.2
25912,TX Grand Prairie,455,10.8
25913,TX Houston,"6,614",14.7
25914,TX Grand Prairie,"4,462",12.1
25915,TX Houston,929,9.6
25916,TX Houston,"2,685",7.8
25917,TX Houston,"4,916",12.4
25918,TX Houston,"4,882",17.1
25919,TX Houston,"7,593",12.2
25920,TX Houston,"3,222",17.3
25921,TX Houston,"4,216",7.6
25922,TX Grand Prairie,"175,396",10.7
25923,TX Houston,"1,962",18.2
25924,TX Houston,"4,202",4.2
25925,TX Houston,459,6.9
25926,TX Houston,"2,452",12.5
25927,TX Houston,"5,225",17.8
25928,TX Houston,"3,383",14.7
25929,TX Houston,"4,516",6.3
25930,TX Houston,"5,594",11.4
25931,TX Houston,"8,217",10.4
25932,TX Houston,"2,685",9.8
25933,TX Houston,"5,289",11.8
25934,TX Houston,"5,281",12.2
25935,TX Garland,"6,086",11.9
25936,TX Houston,"6,521",8.4
25937,TX Houston,"3,135",17.1
25938,TX Houston,"2,638",11.6
25939,TX Houston,749,6.5
25940,TX Houston,"3,342",14.8
25941,TX Houston,339,9.8
25942,TX Garland,"4,564",11.8
25943,TX Houston,515,6.9
25944,TX Houston,"1,888",10.2
25945,TX Houston,"3,411",7.5
25946,TX Garland,"7,493",11.0
25947,TX Houston,"4,282",19.2
25948,TX Houston,"8,192",14.9
25949,TX Houston,"2,790",15.0
25950,TX Houston,603,8.0
25951,TX Houston,"2,512",9.1
25952,TX Houston,"1,852",15.0
25953,TX Houston,"4,162",5.9
25954,TX Houston,"3,962",10.0
25955,TX Houston,"6,989",13.0
25956,TX Houston,"4,231",21.2
25957,TX Houston,"5,048",6.3
25958,TX Houston,"3,970",7.2
25959,TX Houston,"2,530",10.6
25960,TX Houston,"3,612",17.7
25961,TX Houston,"3,892",8.6
25962,TX Houston,"2,457",18.3
25963,TX Houston,"5,949",13.0
25964,TX Houston,119,9.8
25965,TX Houston,"7,136",7.9
25966,TX Houston,"7,159",8.7
25967,TX Houston,"2,918",19.0
25969,TX Houston,"3,793",8.4
25970,TX Houston,"2,127",21.2
25971,TX Houston,"2,520",24.2
25972,TX Houston,"2,177",11.8
25973,TX Houston,61,9.2
25974,TX Houston,"4,061",13.5
25975,TX Houston,"1,230",10.9
25977,TX Grand Prairie,"2,819",14.3
25979,TX Houston,"7,024",9.1
25980,TX Houston,"2,279",7.3
25981,TX Houston,"4,618",8.1
25982,TX Houston,"6,433",12.7
25983,TX Houston,"5,259",10.5
25984,TX Houston,"3,464",7.7
25985,TX Houston,122,9.7
25986,TX Houston,"6,380",12.5
25987,TX Houston,"3,682",20.9
25988,TX Houston,"3,685",13.2
25989,TX Houston,"1,717",20.0
25990,TX Houston,"4,261",7.6
25991,TX Houston,"1,358",9.7
25992,TX Houston,133,9.5
25993,TX Houston,"5,027",14.4
25994,TX Houston,"2,379",21.2
25995,TX Houston,"5,616",16.0
25997,TX Houston,"7,445",11.8
25998,TX Garland,"3,993",13.1
25999,TX Houston,"4,749",13.4
26000,TX Houston,"5,886",17.9
26001,TX Houston,"2,775",9.4
26003,TX Houston,"4,174",17.5
26004,TX Houston,"4,288",21.7
26005,TX Grand Prairie,"4,364",9.1
26006,TX Houston,"2,332",13.6
26007,TX Houston,"4,641",12.3
26008,TX Houston,"7,397",9.7
26009,TX Houston,"2,547",10.9
26010,TX Houston,"2,878",6.1
26012,TX Houston,"5,046",22.5
26013,TX Houston,"2,654",17.7
26014,TX Houston,461,9.5
26015,TX Houston,"3,139",8.7
26016,TX Houston,"5,153",13.9
26017,TX Garland,"5,406",13.8
26018,TX Houston,"2,665",8.9
26019,TX Houston,"3,504",6.2
26020,TX Houston,674,11.1
26021,TX Houston,"5,770",9.7
26022,TX Houston,"5,126",11.9
26023,TX Houston,"4,591",10.4
26024,TX Houston,"4,856",16.0
26025,TX Grand Prairie,"175,396",12.1
26026,TX Houston,"6,484",11.0
26027,TX Houston,"3,315",13.1
26028,TX Houston,"3,724",10.6
26029,TX Houston,"4,835",7.0
26030,TX Houston,698,8.5
26031,TX Houston,"2,099,451",13.3
26032,TX Garland,"5,093",9.9
26033,TX Garland,"8,497",9.7
26034,TX Houston,"5,284",6.3
26035,TX Houston,"3,125",13.4
26036,TX Houston,"6,461",7.9
26037,TX Grand Prairie,"4,393",11.7
26038,TX Houston,169,14.4
26039,TX Houston,"2,076",11.8
26040,TX Houston,413,10.8
26041,TX Houston,159,7.9
26042,TX Houston,"2,350",11.6
26044,TX Garland,"6,971",15.2
26045,TX Houston,"2,053",11.1
26046,TX Houston,"2,823",9.8
26047,TX Houston,"1,647",18.2
26048,TX Houston,560,9.8
26049,TX Garland,"3,531",12.4
26050,TX Houston,"7,611",13.4
26051,TX Houston,"4,345",14.9
26052,TX Houston,"4,187",11.9
26053,TX Houston,"4,763",5.0
26054,TX Houston,"2,684",5.4
26055,TX Houston,"5,749",8.6
26056,TX Grand Prairie,"3,327",9.2
26057,TX Houston,"2,539",8.1
26058,TX Houston,"1,689",8.8
26059,TX Houston,"4,859",11.9
26060,TX Houston,"6,907",16.1
26061,TX Houston,"3,798",16.5
26062,TX Houston,"5,215",8.6
26063,TX Houston,"5,994",14.9
26064,TX Houston,176,11.6
26065,TX Garland,"4,565",13.1
26066,TX Grand Prairie,"6,880",8.9
26067,TX Laredo,"3,813",15.8
26068,TX Lewisville,"3,428",7.6
26069,TX Lubbock,"3,372",7.0
26070,TX Mission,"6,321",20.5
26071,TX Laredo,"3,425",20.8
26072,TX Longview,150,11.3
26073,TX Mesquite,244,13.8
26074,TX McAllen,"2,999",15.4
26075,TX Missouri City,"6,146",9.5
26076,TX Odessa,"4,937",12.3
26077,TX Pasadena,"3,104",8.6
26078,TX Mesquite,"5,720",9.0
26079,TX League City,"8,221",7.0
26080,TX Lubbock,"2,398",8.8
26081,TX Lewisville,"95,290",10.6
26082,TX Laredo,"4,768",17.1
26083,TX Mission,"2,374",13.7
26084,TX Missouri City,"3,799",11.9
26085,TX Pasadena,"3,219",12.9
26086,TX Odessa,"3,368",8.5
26087,TX Midland,"3,962",8.3
26088,TX Killeen,"5,518",9.0
26089,TX Lubbock,"2,138",6.9
26090,TX Longview,"4,420",10.9
26091,TX Mesquite,"4,914",13.0
26092,TX Midland,"4,164",16.5
26093,TX Lubbock,"5,446",11.0
26094,TX McKinney,"131,117",9.2
26095,TX McAllen,"4,283",19.1
26096,TX Pearland,"7,486",7.6
26097,TX Mesquite,"6,253",10.9
26098,TX Irving,"4,136",12.3
26099,TX Odessa,"99,940",11.8
26101,TX McAllen,"2,528",24.2
26102,TX Irving,"3,169",12.2
26103,TX Pasadena,"3,896",10.6
26104,TX Lubbock,"2,065",12.3
26105,TX Laredo,"8,433",15.4
26106,TX Lubbock,"3,125",2.7
26107,TX Irving,"3,618",13.7
26108,TX Laredo,"236,091",18.0
26109,TX Laredo,"3,205",23.1
26110,TX McKinney,"5,179",6.3
26111,TX Pearland,"4,523",9.6
26112,TX Pasadena,"6,729",12.3
26113,TX Lubbock,"1,993",18.8
26114,TX Irving,"7,438",11.5
26116,TX Killeen,"13,856",7.6
26117,TX Pearland,90,16.1
26118,TX Odessa,"1,357",12.0
26119,TX Irving,"3,909",7.8
26120,TX Midland,"111,147",10.4
26121,TX McKinney,"5,635",11.9
26123,TX Longview,"3,113",13.6
26124,TX Midland,"6,228",10.6
26125,TX Irving,"5,418",5.0
26126,TX Lubbock,"5,251",7.8
26127,TX Missouri City,"5,412",10.9
26128,TX Mesquite,"4,441",8.9
26129,TX Lubbock,"4,568",13.3
26130,TX McAllen,"5,232",19.6
26131,TX Lubbock,"2,899",13.4
26132,TX Lewisville,"2,305",6.5
26133,TX Laredo,"5,402",12.4
26134,TX McAllen,64,26.8
26136,TX Midland,"5,451",9.8
26137,TX Killeen,"4,292",12.6
26138,TX McKinney,"3,237",7.5
26139,TX Laredo,"3,883",15.8
26140,TX League City,"4,268",9.3
26141,TX McKinney,"2,003",5.9
26142,TX Lubbock,584,12.3
26143,TX Pasadena,"6,843",7.9
26144,TX Irving,"1,393",11.9
26145,TX Longview,"3,022",17.2
26146,TX Killeen,"1,123",7.0
26147,TX Lewisville,"1,654",5.2
26148,TX McKinney,"3,007",6.2
26149,TX Midland,"4,928",9.8
26150,TX Lubbock,"3,543",11.5
26151,TX Irving,"4,297",12.6
26152,TX Mesquite,"3,989",10.5
26153,TX Pearland,"4,153",8.3
26154,TX Irving,"2,626",4.1
26155,TX Missouri City,"4,102",14.2
26156,TX Pasadena,"4,186",12.3
26157,TX McKinney,"6,343",7.2
26158,TX Killeen,"3,235",11.0
26159,TX Irving,"4,385",10.9
26160,TX Laredo,"6,486",9.4
26161,TX Laredo,"3,727",7.7
26162,TX Laredo,"4,663",12.5
26163,TX Irving,"4,090",5.9
26164,TX Lubbock,"10,654",7.5
26165,TX Mesquite,"2,310",7.6
26166,TX McAllen,"4,952",12.1
26168,TX Laredo,"4,405",10.5
26169,TX Lewisville,"2,017",3.8
26170,TX Lubbock,"5,585",8.9
26171,TX Odessa,"3,488",18.6
26172,TX Mission,"5,317",18.4
26173,TX Mesquite,"139,824",11.2
26174,TX Irving,"3,015",8.6
26175,TX Laredo,"3,799",9.5
26176,TX Lewisville,"5,459",8.9
26177,TX Lewisville,"5,318",10.9
26178,TX Missouri City,"1,173",15.3
26179,TX Pearland,"9,812",8.4
26180,TX Lewisville,"3,352",11.9
26181,TX League City,"16,092",7.5
26182,TX Pasadena,"3,510",12.3
26183,TX Irving,"1,619",9.9
26184,TX Lubbock,"1,413",11.0
26185,TX Mesquite,"6,033",14.1
26186,TX League City,"7,041",9.5
26187,TX Laredo,"2,353",19.4
26188,TX Killeen,"4,010",12.1
26189,TX Mission,"9,667",12.4
26190,TX Lubbock,"3,311",19.8
26192,TX Lubbock,"5,096",20.5
26193,TX Pasadena,"4,035",8.2
26194,TX McAllen,"4,598",14.1
26195,TX Longview,"5,023",10.3
26196,TX Mesquite,"3,025",12.9
26197,TX Midland,"4,771",10.0
26198,TX Lewisville,"2,131",7.7
26199,TX Odessa,55,16.1
26200,TX Irving,"3,911",9.1
26201,TX League City,"3,125",7.5
26202,TX Pasadena,"1,688",14.1
26203,TX Lewisville,"95,290",8.5
26204,TX Longview,"4,944",11.7
26205,TX McAllen,"7,469",18.0
26206,TX Midland,"3,429",16.8
26207,TX Pasadena,"4,158",11.1
26208,TX Lubbock,"5,378",9.3
26209,TX McKinney,"131,117",8.1
26210,TX McKinney,"3,747",7.1
26211,TX Pearland,"8,422",8.2
26213,TX Pasadena,"1,653",12.9
26214,TX Midland,"3,370",8.9
26215,TX Mesquite,"4,467",10.5
26216,TX Laredo,"2,365",11.5
26217,TX League City,"83,560",8.0
26218,TX Longview,"3,947",16.2
26219,TX Lubbock,"2,108",7.8
26221,TX Laredo,"4,898",20.8
26222,TX Killeen,"2,155",12.7
26223,TX Odessa,"3,467",8.3
26224,TX Longview,"4,801",9.9
26225,TX Mission,"5,673",14.0
26226,TX Laredo,"2,816",21.6
26227,TX Midland,"5,130",12.0
26228,TX Lewisville,"1,334",7.8
26229,TX Lubbock,"3,906",8.7
26230,TX Midland,"4,118",14.7
26231,TX Lewisville,"3,553",4.4
26232,TX Missouri City,"7,723",10.5
26233,TX Pearland,"91,252",8.6
26234,TX Odessa,"5,150",12.1
26235,TX Longview,"7,018",11.6
26236,TX Irving,"3,574",4.4
26237,TX Lewisville,"1,885",9.6
26239,TX League City,"9,369",7.9
26241,TX Lubbock,"5,624",12.1
26242,TX Laredo,"236,091",15.7
26243,TX McKinney,"5,713",6.0
26244,TX McAllen,177,12.1
26245,TX Missouri City,"10,085",10.2
26246,TX Mesquite,"5,319",12.9
26247,TX Pasadena,"5,318",10.3
26248,TX Irving,"4,617",11.2
26249,TX Laredo,"3,218",15.7
26250,TX Irving,"4,078",12.8
26251,TX Lubbock,"1,852",13.0
26252,TX Killeen,98,5.3
26253,TX Mesquite,"4,745",12.5
26254,TX Laredo,"7,117",15.9
26255,TX Laredo,"2,786",22.3
26256,TX McAllen,"3,923",14.0
26257,TX Odessa,"5,067",8.4
26258,TX Missouri City,"5,647",14.4
26259,TX Irving,"5,423",6.7
26260,TX Killeen,"4,513",10.3
26261,TX Laredo,"2,530",17.6
26262,TX McKinney,"3,923",7.8
26263,TX Mission,272,21.1
26264,TX Killeen,"4,399",11.6
26265,TX Irving,"6,509",11.9
26266,TX Irving,"6,571",11.7
26267,TX Lubbock,"3,126",9.9
26268,TX Irving,"3,909",8.3
26269,TX Missouri City,"3,681",8.7
26270,TX Odessa,"5,160",11.1
26271,TX Pasadena,717,10.0
26272,TX Lubbock,"6,743",16.5
26273,TX Lubbock,"5,508",10.6
26274,TX Irving,"3,877",4.2
26275,TX Lewisville,"5,571",10.1
26277,TX Pearland,721,10.3
26278,TX Odessa,"4,093",10.8
26279,TX Laredo,"2,716",15.8
26280,TX Lewisville,"4,764",7.0
26281,TX Lubbock,"2,716",9.5
26282,TX Lewisville,"2,658",10.2
26283,TX McAllen,"6,520",22.3
26284,TX McKinney,"6,293",8.0
26285,TX Laredo,"2,570",18.7
26286,TX Lubbock,903,4.0
26287,TX Lubbock,"4,464",10.3
26288,TX Irving,"5,020",11.4
26289,TX Mesquite,879,13.2
26290,TX McAllen,"8,586",16.6
26291,TX Pasadena,"6,318",14.0
26292,TX Pearland,"9,536",8.3
26293,TX Mesquite,"4,661",12.4
26294,TX Missouri City,"5,736",13.6
26295,TX Killeen,"8,781",6.6
26296,TX Killeen,"9,093",8.5
26297,TX Odessa,"1,670",12.7
26298,TX Mission,"6,299",19.3
26299,TX Killeen,"5,567",11.9
26300,TX Irving,"1,929",12.5
26301,TX Longview,"4,847",17.8
26302,TX Laredo,"12,304",8.7
26303,TX Irving,"4,932",12.2
26304,TX Irving,"216,290",9.8
26305,TX Irving,"4,561",4.5
26306,TX Killeen,"127,921",9.7
26307,TX Lubbock,"4,852",9.4
26308,TX Pasadena,"3,413",7.4
26309,TX Mesquite,"139,824",11.9
26310,TX Lewisville,"4,478",11.6
26311,TX McKinney,"3,670",5.6
26312,TX Mesquite,"4,947",13.7
26313,TX Odessa,"5,189",9.9
26314,TX Pearland,"16,987",7.8
26316,TX Lubbock,"229,573",11.6
26317,TX McAllen,"3,902",13.3
26318,TX Longview,251,13.2
26319,TX Odessa,"6,069",11.2
26320,TX Pasadena,"7,431",13.5
26321,TX League City,"4,699",9.6
26322,TX Irving,"4,542",7.6
26323,TX Midland,"4,943",10.2
26324,TX Midland,"4,377",7.7
26325,TX McKinney,"6,025",8.0
26326,TX Mission,"9,984",10.8
26327,TX Laredo,"2,330",15.4
