,TX_City,TX_PopByMM,TX_DiagPer100k
24263,TX Corpus Christi,"2,328",14.7
24264,TX Baytown,"4,416",11.6
24265,TX Brownsville,"5,192",12.6
24266,TX Austin,"3,571",11.4
24267,TX Beaumont,253,12.3
24268,TX Beaumont,938,6.6
24269,TX Corpus Christi,"9,130",9.3
24270,TX Beaumont,"3,060",11.5
24271,TX Austin,"4,061",6.4
24272,TX Austin,"3,592",5.1
24273,TX Beaumont,"5,196",10.9
24274,TX Corpus Christi,"5,159",10.9
24275,TX Austin,"4,939",4.3
24276,TX Brownsville,"2,642",24.3
24277,TX Austin,"3,111",7.3
24278,TX Carrollton,175,11.9
24279,TX Austin,"2,295",11.6
24280,TX Austin,"3,614",5.3
24281,TX Baytown,"71,802",11.9
24282,TX College Station,"1,590",7.7
24283,TX Carrollton,412,10.9
24284,TX Austin,"2,191",5.2
24285,TX Beaumont,"118,296",13.9
24286,TX Brownsville,"3,530",18.2
24287,TX Baytown,724,16.5
24288,TX Bryan,"7,867",6.1
24289,TX Austin,"2,251",9.1
24290,TX Corpus Christi,"2,617",15.1
24291,TX College Station,468,4.4
24292,TX Corpus Christi,"3,305",12.1
24293,TX Brownsville,"4,671",21.9
24294,TX Beaumont,"3,475",22.7
24295,TX Austin,"1,934",7.9
24296,TX Austin,"3,830",15.4
24297,TX Bryan,"4,038",7.5
24298,TX Corpus Christi,"3,406",9.8
24299,TX Carrollton,"3,630",8.3
24300,TX Austin,"2,867",10.1
24301,TX Austin,"4,515",7.5
24302,TX Austin,"3,185",13.1
24303,TX Baytown,"3,594",11.2
24304,TX Carrollton,"3,700",10.3
24305,TX Austin,"3,773",9.8
24306,TX Brownsville,681,17.3
24307,TX Austin,122,5.5
24308,TX Austin,"3,555",7.5
24309,TX Austin,"7,812",10.0
24310,TX Austin,"3,764",6.3
24311,TX Austin,"3,301",4.3
24312,TX Austin,"7,549",9.8
24313,TX Corpus Christi,"1,839",16.6
24314,TX Corpus Christi,"4,781",11.9
24315,TX Brownsville,"175,023",17.4
24316,TX Austin,"2,276",7.3
24317,TX Beaumont,"1,923",21.9
24318,TX Austin,"3,836",4.4
24319,TX Carrollton,"4,452",12.1
24320,TX Carrollton,"5,362",7.9
24321,TX Austin,"5,177",5.5
24322,TX Austin,"2,616",10.1
24323,TX Beaumont,"3,846",8.9
24324,TX Austin,"4,954",6.0
24325,TX Austin,"4,467",6.5
24326,TX Brownsville,"3,972",16.2
24327,TX Brownsville,"15,629",12.5
24328,TX Corpus Christi,"6,072",15.0
24329,TX Austin,"2,509",10.0
24330,TX Baytown,"1,994",11.2
24331,TX Corpus Christi,"4,851",11.5
24332,TX Corpus Christi,"1,895",9.8
24333,TX Beaumont,"4,348",10.9
24334,TX Austin,"3,321",7.0
24335,TX Corpus Christi,"4,790",18.4
24336,TX Baytown,"5,002",13.1
24337,TX Bryan,"6,182",13.0
24339,TX Bryan,"7,211",11.6
24340,TX Austin,"4,518",3.8
24341,TX Austin,"4,323",9.5
24342,TX Austin,"2,795",5.9
24343,TX Austin,"5,163",6.3
24345,TX Austin,"3,045",4.1
24346,TX Austin,"2,437",7.5
24347,TX Austin,"4,787",7.3
24348,TX Austin,"3,653",9.8
24349,TX Brownsville,"3,266",25.1
24350,TX Corpus Christi,"4,973",11.9
24351,TX College Station,"5,009",6.3
24352,TX Carrollton,"4,336",9.0
24353,TX Brownsville,"5,205",16.5
24354,TX Beaumont,"5,465",15.0
24355,TX Brownsville,"3,666",17.0
24356,TX Austin,184,9.5
24357,TX Corpus Christi,"4,311",17.5
24358,TX Baytown,"4,917",12.3
24359,TX Corpus Christi,798,3.7
24360,TX Beaumont,"3,349",7.9
24361,TX Austin,"7,267",7.1
24362,TX Corpus Christi,"3,699",10.9
24363,TX Austin,"11,332",6.4
24364,TX Austin,"5,181",4.3
24365,TX Corpus Christi,"5,706",10.0
24366,TX Austin,"4,996",11.8
24367,TX Brownsville,"3,905",17.2
24368,TX Austin,"1,546",3.6
24369,TX Corpus Christi,"4,131",16.0
24370,TX Corpus Christi,"6,823",17.0
24371,TX Austin,"1,339",6.3
24372,TX Austin,"1,490",9.2
24373,TX Austin,"3,379",10.4
24374,TX Bryan,"2,201",9.5
24375,TX Brownsville,"2,230",20.3
24376,TX Austin,"3,616",7.9
24377,TX Austin,"2,343",6.5
24378,TX Austin,"3,009",5.2
24379,TX Austin,"5,989",5.7
24380,TX College Station,"5,560",5.3
24381,TX Austin,"6,444",8.9
24382,TX Corpus Christi,"3,452",22.0
24383,TX Beaumont,"6,671",9.1
24384,TX Beaumont,"2,975",22.7
24385,TX College Station,"5,661",4.5
24386,TX Austin,"1,439",8.8
24387,TX Corpus Christi,"4,265",7.7
24388,TX Austin,157,8.1
24389,TX Austin,"4,662",7.7
24390,TX Beaumont,"4,747",13.6
24391,TX Carrollton,"5,138",8.7
24392,TX Bryan,"2,369",13.0
24393,TX Carrollton,"4,000",9.9
24394,TX Carrollton,"5,356",10.2
24395,TX Brownsville,"4,534",17.4
24396,TX Corpus Christi,"5,892",13.9
24397,TX Austin,"3,143",12.9
24398,TX Carrollton,"5,022",10.1
24399,TX Austin,"3,668",7.8
24400,TX Austin,"4,311",7.6
24401,TX Austin,"2,871",6.0
24402,TX Brownsville,"4,290",17.9
24403,TX Baytown,"2,887",10.1
24404,TX Austin,"3,890",7.2
24405,TX Corpus Christi,"5,000",12.9
24406,TX Austin,"6,952",7.8
24407,TX Austin,"5,535",6.3
24408,TX Brownsville,"2,214",19.9
24409,TX Austin,"1,121",3.2
24410,TX Carrollton,"6,443",8.7
24411,TX College Station,"4,028",6.1
24412,TX Austin,"5,204",9.6
24414,TX Austin,"2,027",7.0
24415,TX Corpus Christi,"6,457",14.5
24416,TX Bryan,"76,201",10.5
24417,TX Austin,"5,413",11.8
24418,TX Austin,"2,794",6.5
24419,TX Corpus Christi,"4,328",20.0
24420,TX Carrollton,"2,372",11.1
24421,TX Brownsville,"6,488",12.9
24422,TX Austin,"6,161",12.4
24423,TX Austin,"2,606",8.6
24424,TX Austin,"2,065",8.8
24425,TX Brownsville,"2,519",23.0
24426,TX Austin,"1,803",11.2
24427,TX College Station,"5,136",4.2
24428,TX Corpus Christi,"4,516",8.9
24429,TX Baytown,"5,227",10.8
24430,TX Carrollton,"5,560",7.8
24431,TX Bryan,"3,055",12.0
24432,TX College Station,"2,612",7.4
24433,TX Corpus Christi,"1,618",10.6
24434,TX Corpus Christi,"3,381",17.0
24435,TX Brownsville,"3,311",21.4
24436,TX Brownsville,63,25.2
24437,TX Austin,"4,607",7.0
24438,TX Corpus Christi,"6,695",21.3
24439,TX Austin,"3,997",7.5
24440,TX Corpus Christi,"6,280",9.8
24441,TX College Station,"1,110",6.7
24442,TX Austin,"3,223",4.2
24443,TX Austin,"3,067",13.9
24444,TX Austin,"5,472",8.2
24445,TX Austin,"3,875",6.7
24446,TX Austin,"4,536",9.3
24447,TX Carrollton,"3,568",10.8
24449,TX Beaumont,"2,978",17.6
24450,TX Austin,"2,865",7.8
24451,TX Baytown,"1,690",8.1
24452,TX College Station,"8,987",1.7
24453,TX Brownsville,"3,662",17.5
24454,TX Carrollton,"3,087",9.5
24455,TX Austin,"7,082",7.4
24456,TX Brownsville,"4,146",19.6
24457,TX Beaumont,"2,725",17.8
24458,TX Beaumont,"6,368",11.2
24459,TX Corpus Christi,"2,416",6.9
24460,TX Austin,"2,152",6.9
24461,TX Austin,"1,734",8.9
24462,TX Austin,"7,089",12.0
24463,TX Corpus Christi,"3,618",15.3
24464,TX Austin,"2,738",9.2
24465,TX Carrollton,"1,073",12.7
24466,TX Baytown,"5,141",13.2
24467,TX Bryan,"5,083",11.3
24468,TX Austin,"4,750",11.2
24469,TX Corpus Christi,"5,487",12.3
24470,TX Corpus Christi,"4,392",15.5
24471,TX Austin,"4,405",5.7
24472,TX Austin,"4,222",13.3
24473,TX Austin,"2,941",7.5
24474,TX Brownsville,"5,075",19.6
24475,TX Austin,"5,442",6.5
24477,TX Corpus Christi,"5,242",13.7
24478,TX Baytown,"4,067",12.7
24480,TX Austin,"3,986",8.3
24481,TX Austin,"6,752",7.4
24482,TX Brownsville,"2,791",23.5
24483,TX Austin,"6,362",9.7
24484,TX Corpus Christi,"4,783",16.9
24485,TX Austin,"5,862",6.4
24486,TX College Station,"6,466",2.3
24487,TX Corpus Christi,"1,661",19.5
24488,TX Brownsville,127,13.8
24489,TX Austin,"2,499",5.9
24490,TX Carrollton,"3,615",9.6
24491,TX Beaumont,"2,452",20.0
24492,TX Baytown,"4,408",10.2
24493,TX Austin,"2,727",4.7
24494,TX Brownsville,"2,912",21.4
24495,TX Austin,"3,394",4.8
24496,TX Corpus Christi,"3,687",11.2
24497,TX Carrollton,"3,728",9.5
24498,TX Austin,"1,107",6.6
24499,TX Corpus Christi,"4,046",14.9
24500,TX Austin,"4,787",8.0
24501,TX Beaumont,"3,758",16.3
24502,TX Austin,"5,251",13.0
24503,TX Brownsville,"2,647",18.9
24504,TX Austin,"2,552",8.0
24505,TX Austin,"4,147",7.6
24506,TX Austin,"7,257",11.4
24507,TX Beaumont,"5,926",17.7
24508,TX Austin,"5,105",9.4
24509,TX Austin,"5,853",11.7
24510,TX Brownsville,984,20.4
24511,TX Austin,"6,422",6.3
24513,TX Corpus Christi,"4,012",18.3
24514,TX Austin,"3,574",3.8
24515,TX Austin,"3,869",5.8
24516,TX Corpus Christi,"5,059",9.5
24518,TX Carrollton,"119,097",10.0
24519,TX Austin,"7,157",12.9
24520,TX Corpus Christi,"1,969",21.1
24521,TX College Station,"5,813",5.4
24522,TX Austin,421,8.3
24523,TX Austin,"7,092",6.1
24524,TX Austin,"6,496",2.9
24525,TX Brownsville,"2,476",24.1
